"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: abril 2019"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/may/2019 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/04/2019","1","2836.7486","0.019","26.0965","1329.4521","17569.329","368.5653","608.2715","971.2142","1426.9885","3280.4098","1330.5057"
"SEN","01/04/2019","2","2712.623","0.019","25.4621","1342.0083","17143.8265","371.2576","620.9625","892.7844","1426.428","3149.7734","1136.1372"
"SEN","01/04/2019","3","2556.9157","0","24.5642","1392.8664","16870.385","369.1935","621.9675","855.1229","1425.5902","3097.6908","980.092"
"SEN","01/04/2019","4","2546.0837","0","23.6194","1388.847","16727.1457","364.7321","622.9928","860.8037","1424.9063","2978.7097","970.432"
"SEN","01/04/2019","5","2577.4604","0","23.6293","1409.3633","16707.1693","359.9384","623.7536","786.986","1424.4006","3073.0281","974.3984"
"SEN","01/04/2019","6","2598.3798","0","24.7405","1744.9445","17629.1278","362.0899","622.7193","999.7281","1424.2315","3050.8198","979.488"
"SEN","01/04/2019","7","2680.0506","14.8964","24.4775","2207.7648","18186.5603","370.6957","622.7874","1133.2506","1423.3987","3362.0833","1215.5537"
"SEN","01/04/2019","8","2595.9519","580.2","19.2228","2251.059","18586.042","367.0144","621.4704","1263.8557","1423.1121","3743.7998","1378.0725"
"SEN","01/04/2019","9","2602.2211","1837.4703","19.8956","2257.2303","18810.8363","368.8318","612.862","995.2037","1422.7443","3826.9556","1570.7547"
"SEN","01/04/2019","10","2679.5701","2515.8327","19.1179","2280.8268","19010.3057","382.6076","611.58","1320.4171","1422.4419","3985.552","1588.3661"
