"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: agosto 2020"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/sep/2020 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/08/2020","1","2771.0018","0.0001","2.5831","781.3388","23343.5125","507.5058","477.0061","6181.9322","1342.7773","1798.6904","2335.497"
"SEN","01/08/2020","2","3000.5589","0.0001","2.5835","783.4575","23406.522","508.252","476.9344","5062.5171","1343.8529","1784.5252","1922.9619"
"SEN","01/08/2020","3","3116.3333","0.0001","2.3646","786.5511","23595.9468","510.1971","476.041","3470.4644","1344.9951","1786.6708","1896.2885"
"SEN","01/08/2020","4","3087.4787","0.0001","2.5755","785.1974","23597.7288","513.8574","474.7857","2786.2716","1345.1867","1780.9715","1813.9888"
"SEN","01/08/2020","5","2943.0049","0.0001","2.5736","787.6124","23938.1285","518.755","477.3137","2097.5617","1345.4014","1612.844","1744.8832"
"SEN","01/08/2020","6","2986.9065","0.0001","2.5737","789.7822","23889.9587","517.8117","478.0859","1902.2897","1345.7452","1455.7953","1705.5383"
"SEN","01/08/2020","7","2895.8536","3.5063","2.54","787.2347","23880.0834","516.965","475.6498","1753.9167","1345.6403","1440.8879","1693.3102"
"SEN","01/08/2020","8","2807.8742","133.7951","2.5369","787.7937","23590.6185","513.7468","474.3444","1905.0884","1345.8825","1476.5245","1699.598"
"SEN","01/08/2020","9","2139.5044","1105.3282","2.5395","788.3272","23356.3289","513.1844","471.461","2293.256","1345.4039","1516.0342","1804.0209"
"SEN","01/08/2020","10","1955.9078","2373.8951","2.5455","788.0107","23458.8824","508.5265","466.2384","2374.608","1342.3287","1569.2534","1829.9122"
"SEN","01/08/2020","11","2071.7913","3370.5371","2.5739","786.919","23183.9807","512.3635","464.0538","2335.3388","1339.7586","1689.1565","1845.6949"
"SEN","01/08/2020","12","2186.2071","4168.5595","2.4088","786.6362","22606.1642","508.4579","454.8031","2573.6145","1337.4817","1799.2557","1831.6705"
"SEN","01/08/2020","13","2123.6841","4215.4112","2.0224","786.8131","22735.4","507.3974","447.5213","3105.3949","1334.8312","1971.5108","1800.5547"
"SEN","01/08/2020","14","2081.0135","4165.7605","1.9409","784.9582","22952.6376","503.2308","432.8222","3133.8314","1332.9434","2029.1686","1802.8115"
"SEN","01/08/2020","15","2039.4168","3910.9886","1.9863","784.7904","23107.6589","500.7758","435.9003","3199.5832","1330.6003","2033.8531","1841.2138"
"SEN","01/08/2020","16","2135.5145","3861.4774","2.555","784.7156","23128.5699","500.1824","430.8469","3314.5945","1328.2093","2075.9706","1883.9952"
"SEN","01/08/2020","17","2388.3306","3861.5372","2.5569","783.4241","23108.3598","488.7333","434.584","3286.2846","1326.3835","2139.9013","1919.4814"
"SEN","01/08/2020","18","2354.4876","2961.2784","2.5795","785.7838","23445.5732","491.9554","436.4158","3444.5038","1324.8694","2162.1146","1945.4787"
"SEN","01/08/2020","19","2340.8729","2385.2454","2.5784","784.4243","23332.1215","486.0188","436.4293","3753.5322","1326.4401","2204.6065","1951.7046"
"SEN","01/08/2020","20","2053.6137","1440.2729","2.5367","787.3545","23837.9955","480.7958","434.7437","4166.8519","1329.2398","2306.6028","1922.3054"
"SEN","01/08/2020","21","2073.8486","247.8161","2.5335","786.421","24287.701","489.5903","432.6425","6384.1084","1331.4013","2488.4572","1909.5949"
"SEN","01/08/2020","22","2381.9487","1.5037","2.5324","783.8955","24227.8722","495.7679","434.8547","7214.6907","1335.4502","2458.6972","1889.0047"
"SEN","01/08/2020","23","2600.5956","0.0001","2.5396","784.9323","24068.365","496.4159","435.3191","6615.3108","1337.5892","2271.3554","1920.1978"
"SEN","01/08/2020","24","1815.9245","0.0002","2.5343","785.9102","23802.7416","499.0057","399.9463","6195.4214","1338.7571","2198.8891","1971.6689"
"SEN","02/08/2020","1","1689.9036","0.0001","2.5559","784.7184","23494.0601","499.9491","389.1443","4641.5919","1340.4614","2165.8565","1923.4921"
"SEN","02/08/2020","2","1964.5631","0.0001","2.5534","787.2389","22803.2286","495.2012","389.5069","4083.838","1340.9143","2060.4117","1795.8088"
"SEN","02/08/2020","3","1912.5156","0.0001","2.5335","787.4805","22624.3029","498.6029","390.1096","3410.7573","1341.7234","1984.4183","1755.6762"
"SEN","02/08/2020","4","1664.989","0.0001","2.5233","788.0345","22478.2494","498.0644","391.0098","2941.1883","1341.6499","1960.7344","1747.4819"
"SEN","02/08/2020","5","1081.2179","0.0002","2.5309","788.235","22475.1855","496.6007","392.5125","2963.3935","1340.5848","1834.1783","1736.9319"
"SEN","02/08/2020","6","1115.7324","0.0002","2.5334","788.3635","22150.5363","495.9875","393.3345","2621.187","1340.6115","1898.7043","1733.4744"
"SEN","02/08/2020","7","1110.4099","3.4792","2.5409","788.4793","21900.2441","502.1587","393.5359","2421.1336","1340.7817","1901.2814","1714.1637"
"SEN","02/08/2020","8","1352.9398","140.6998","2.3742","785.2417","21090.5846","502.3645","393.9348","2060.4934","1340.364","1844.0296","1707.2527"
"SEN","02/08/2020","9","1214.5938","1512.8963","2.5489","782.9433","20237.6137","502.027","399.7182","1748.8281","1340.0027","1802.5295","1698.4881"
"SEN","02/08/2020","10","1184.902","3029.5195","2.5485","778.2094","19726.4876","444.1535","404.3803","1887.9712","1339.7974","1763.3712","1685.8739"
"SEN","02/08/2020","11","1356.4776","3852.5408","2.5386","779.5359","19320.2614","426.4722","404.3942","2104.7345","1339.0051","1769.4365","1679.531"
"SEN","02/08/2020","12","1605.0054","4031.1887","2.536","781.8172","19290.7244","378.0991","403.4714","2442.0576","1338.4843","1748.9377","1776.5787"
"SEN","02/08/2020","13","1879.6301","4062.6764","1.9373","782.0743","19597.6357","386.3815","402.7209","2434.2492","1337.2842","1824.9405","1806.1204"
"SEN","02/08/2020","14","1918.772","4064.7771","1.8889","782.2983","19987.6954","469.8085","403.4547","2543.6727","1335.0811","1854.6237","1772.7316"
"SEN","02/08/2020","15","2106.8868","3932.58","1.8343","781.378","20324.1653","498.4392","404.2705","2511.3148","1333.8055","1866.1972","1774.4474"
"SEN","02/08/2020","16","2103.275","3734.0015","1.4326","783.1173","20568.452","496.7893","399.9731","2679.8277","1333.2014","1937.4712","1761.0644"
"SEN","02/08/2020","17","2387.0353","3541.8987","1.4731","779.3059","20808.9404","494.2275","399.4968","2661.832","1332.6845","2125.259","1770.6766"
"SEN","02/08/2020","18","2525.8589","3270.5108","2.2239","780.3167","21108.5023","498.7421","402.709","2580.6929","1332.0825","2155.0239","1750.0458"
"SEN","02/08/2020","19","2319.7307","2787.7181","2.3689","781.2842","21587.2727","497.417","402.6451","2877.2102","1332.2212","1970.0853","1850.7735"
"SEN","02/08/2020","20","2076.3697","1414.1936","2.5955","784.2243","22297.6849","504.5152","402.9453","4274.4857","1332.996","1910.5684","1889.8425"
"SEN","02/08/2020","21","2014.784","248.5371","2.6534","933.2827","23475.5958","507.605","409.862","5763.622","1334.8059","2321.5279","1918.8902"
"SEN","02/08/2020","22","1939.0888","0.9734","2.6189","1024.4123","24203.4494","511.9372","417.9735","6297.2331","1335.9872","2393.1161","1986.677"
"SEN","02/08/2020","23","2257.9038","0.0002","2.6323","1096.7821","24153.0091","514.2453","425.3327","5617.4261","1332.6303","2384.7887","2023.3842"
"SEN","02/08/2020","24","2114.7224","0.0001","2.6267","1094.2669","23934.7175","517.6016","426.2812","4783.871","1331.2729","2323.5346","2027.5177"
"SEN","03/08/2020","1","1935.3254","0.0001","2.6326","1095.7458","23539.9089","523.1805","425.2161","3834.2034","1330.2198","2260.341","2009.0861"
"SEN","03/08/2020","2","1932.7399","0.0001","2.6108","899.1342","23089.3934","521.1755","423.4313","3309.554","1329.5528","2098.3283","1922.2747"
"SEN","03/08/2020","3","2009.1795","0.0001","2.5387","871.2127","22483.6378","519.2146","424.9128","2928.0011","1329.186","2070.6784","1752.7913"
"SEN","03/08/2020","4","1788.5463","0.0002","2.5712","870.4519","22289.6307","515.6161","425.1905","2652.4035","1328.9347","2073.0108","1731.234"
"SEN","03/08/2020","5","1635.9071","0.0001","2.5752","868.7141","22460.4795","521.6544","425.9811","2332.7249","1328.8909","2061.9218","1708.2719"
"SEN","03/08/2020","6","1421.9058","0.0002","2.5896","869.3582","22709.7679","524.0574","426.6024","2328.9846","1328.89","2074.5255","1688.5413"
"SEN","03/08/2020","7","973.7337","3.338","2.5834","838.8723","24030.3762","525.0069","426.6839","2174.9179","1329.0609","2218.0556","1683.7221"
"SEN","03/08/2020","8","872.5942","145.6394","2.5834","864.7878","24366.5267","525.2914","427.7456","2810.2772","1329.0929","2221.4998","1679.5171"
"SEN","03/08/2020","9","1270.4743","1506.9633","2.4118","946.7358","24215.157","522.392","425.5003","2702.0012","1329.0493","2226.092","1733.0116"
"SEN","03/08/2020","10","1266.217","3111.2435","2.4963","1008.2067","24253.1025","517.1269","423.0452","2811.3476","1328.567","2268.9209","1730.6558"
"SEN","03/08/2020","11","1484.8128","3906.5031","2.499","1009.8388","24178.0227","510.907","423.5988","3072.8377","1328.7217","2220.6657","1831.5566"
"SEN","03/08/2020","12","1570.1747","4274.2115","2.0544","1024.9687","23915.1778","515.7291","434.9407","4091.6451","1326.44","2280.2125","1729.4743"
"SEN","03/08/2020","13","1687.7087","4470.3044","1.9856","1194.4456","23860.961","511.8601","429.7457","4285.1751","1325.553","2322.6492","1667.6501"
"SEN","03/08/2020","14","1877.2768","4578.6949","1.9616","1309.8324","24138.0451","506.9754","429.359","4189.2903","1324.5923","2420.7825","1645.8404"
"SEN","03/08/2020","15","1959.9548","4407.9709","2.5783","1343.2334","24142.9807","502.8541","447.6484","4941.8057","1324.4308","2428.9269","1675.5132"
"SEN","03/08/2020","16","2038.7774","4099.8276","2.6153","1452.1246","24293.9104","499.1113","452.9003","5407.0984","1323.797","2540.3447","1679.8558"
"SEN","03/08/2020","17","2148.1162","3653.4845","2.6786","1461.153","24359.6965","497.9273","451.9983","5767.8478","1323.497","2612.4196","1727.6774"
"SEN","03/08/2020","18","2170.3563","3260.2422","2.6537","1459.4111","24447.5674","496.8668","452.6259","5566.3006","1323.4178","2680.331","1765.9949"
"SEN","03/08/2020","19","2496.5991","2705.7045","2.6563","1458.0376","24398.1726","502.859","455.1496","4647.8672","1323.6439","2702.4655","1756.47"
"SEN","03/08/2020","20","2165.6207","1338.7588","2.6351","1463.2853","24647.3527","499.327","453.1042","4704.4276","1323.4556","2819.1965","1786.9121"
"SEN","03/08/2020","21","1958.189","218.3706","2.6302","1465.7242","24952.2069","506.2902","452.7844","6905.9447","1323.3449","3025.6564","1820.5238"
"SEN","03/08/2020","22","2101.5198","3.7679","2.6015","1466.6228","25077.5588","514.0473","452.6269","7847.1286","1323.7599","3028.6384","1873.9665"
"SEN","03/08/2020","23","2051.1811","0.0001","2.6297","1466.9863","24959.2809","517.866","453.245","7806.4819","1323.6351","3010.4143","1928.7853"
"SEN","03/08/2020","24","1952.4974","0.0001","2.6098","1305.9225","24729.5507","517.7986","451.4118","7380.592","1323.9216","2946.5172","1935.0638"
"SEN","04/08/2020","1","2026.381","0.0001","2.5734","1083.4641","24431.9354","516.7112","448.9899","6061.6126","1324.8442","2932.9072","1799.4966"
"SEN","04/08/2020","2","2055.8249","0.0001","2.5699","1086.0261","24196.5345","518.9342","447.3175","4955.5226","1325.4425","2760.6914","1682.8933"
"SEN","04/08/2020","3","1736.3724","0.0001","2.5727","1086.2914","24095.0697","520.4831","449.6116","4176.8517","1326.3073","2558.3673","1646.4986"
"SEN","04/08/2020","4","1669.0334","0.0001","2.5283","1237.8322","24379.5448","518.6936","451.029","3152.9587","1328.7765","2436.6853","1672.7368"
"SEN","04/08/2020","5","1700.2616","0","2.5372","1389.661","24474.1733","519.2515","452.5021","2308.4171","1329.0004","2352.3909","1656.9268"
"SEN","04/08/2020","6","1542.1203","0","2.525","1388.2282","24540.4181","518.8106","453.1263","2056.842","1329.3949","2570.8986","1602.0328"
"SEN","04/08/2020","7","1519.9647","3.0639","2.5267","1390.5593","24618.519","514.5556","452.6786","1946.7392","1329.23","2729.7547","1596.8253"
"SEN","04/08/2020","8","1532.0424","133.6359","2.5408","1388.0935","24700.9631","516.3477","450.1703","2578.1508","1328.9779","2807.3264","1598.7908"
"SEN","04/08/2020","9","1609.5965","1371.7127","2.5327","1386.9943","24499.5978","520.2848","449.1556","2356.5851","1328.6664","2905.1113","1617.7394"
"SEN","04/08/2020","10","1619.3349","2654.7093","2.5322","1362.5076","24661.9775","517.7963","447.6446","2587.383","1328.1118","2856.614","1632.9852"
"SEN","04/08/2020","11","1670.9195","3628.6608","2.5396","1336.4565","24303.7595","509.5742","446.5536","2872.8521","1327.349","2794.5348","1754.5454"
"SEN","04/08/2020","12","1419.9276","4075.4428","2.0286","1319.0085","24610.8914","513.3721","448.0673","3167.9922","1326.274","2843.5388","1808.5966"
"SEN","04/08/2020","13","1332.9461","4273.0853","2.0086","1368.8934","24643.1819","515.1697","451.5411","3041.2219","1325.0835","3038.8362","2399.0604"
"SEN","04/08/2020","14","1217.7638","4354.2117","1.7569","1384.1524","24823.0798","507.5168","451.8136","3333.85","1323.7377","3092.372","2452.2578"
"SEN","04/08/2020","15","1478.6236","4353.475","2.4061","1458.9638","24720.5687","501.1686","451.1055","3479.4959","1323.2934","3096.2141","2481.2308"
"SEN","04/08/2020","16","1756.8671","4271.1143","2.6618","1464.6966","24863.9516","502.7886","447.3003","3763.5727","1321.8808","3079.1425","2402.2698"
"SEN","04/08/2020","17","2107.8886","3873.3336","2.7166","1461.0299","25025.1966","503.209","446.6703","3989.4452","1319.9865","3049.2215","2428.8786"
"SEN","04/08/2020","18","2376.9344","3323.1591","2.7335","1456.3764","25027.8166","504.5508","447.2812","3787.6712","1319.8946","3054.6448","2481.5555"
"SEN","04/08/2020","19","2426.7399","2578.9189","2.681","1457.2955","25007.4899","507.6166","448.5504","3363.2336","1319.7394","3038.6942","2526.5405"
"SEN","04/08/2020","20","2384.4094","1465.4666","2.6734","1458.4098","25140.0502","510.7575","445.9107","3549.9703","1319.6731","3014.2698","2509.129"
"SEN","04/08/2020","21","2548.1464","234.8805","1.6856","1457.9656","25260.5004","515.5307","455.5278","5898.4247","1319.6664","3006.131","2512.5935"
"SEN","04/08/2020","22","2836.5467","1.3216","2.6296","1457.7165","25345.1409","517.9732","480.731","6663.5036","1319.932","3008.6375","2530.3639"
"SEN","04/08/2020","23","2809.4476","0.058","2.6252","1455.5911","25312.7701","516.8862","481.9605","6486.3505","1320.4777","3006.8554","2572.9249"
"SEN","04/08/2020","24","2806.8655","0.0133","2.6318","1456.4442","24473.5888","518.7602","480.2849","6288.4294","1320.8387","2941.3402","2466.9555"
"SEN","05/08/2020","1","3003.0815","0.0121","2.6303","1298.2884","24189.328","513.4164","480.8759","5384.9642","1321.5749","2842.3524","1856.5712"
"SEN","05/08/2020","2","2746.4435","0.0121","2.6287","1085.2683","24146.5088","514.915","481.1685","4631.0958","1321.9932","2540.2132","1792.2885"
"SEN","05/08/2020","3","2449.702","0.0121","2.5894","1084.956","23851.4252","514.2686","482.8783","4090.08","1323.1062","2489.4288","1755.1331"
"SEN","05/08/2020","4","2157.6382","0.012","2.5801","1084.0718","23592.9067","515.826","483.2902","3738.2155","1323.815","2462.9918","1753.5991"
"SEN","05/08/2020","5","1902.1638","0.0121","2.5805","1083.0383","23601.804","459.7535","484.0604","3304.4356","1324.3845","2474.1299","1786.3003"
"SEN","05/08/2020","6","1460.8127","0.0122","2.5748","1260.7457","23814.3597","458.8597","484.989","3044.7409","1324.7617","2599.9486","1771.4821"
"SEN","05/08/2020","7","1413.4695","2.9017","2.587","1463.9356","24182.2755","398.1473","486.066","2849.2544","1325.1252","2767.3695","1745.7989"
"SEN","05/08/2020","8","1519.8705","137.4116","2.633","1464.3514","24350.7602","386.1492","483.4671","3172.2756","1325.2844","2763.2933","1739.419"
"SEN","05/08/2020","9","1606.8135","1681.5657","2.6321","1465.2102","24169.0576","388.3999","480.5268","2544.8554","1325.321","2784.2171","2219.5644"
"SEN","05/08/2020","10","1563.2041","3372.4975","2.6528","1465.3112","24244.9552","391.6554","480.5221","2338.1768","1324.658","2758.1125","2341.2106"
"SEN","05/08/2020","11","1899.0928","4156.0885","2.6813","1466.3667","24187.9573","392.2704","483.8939","2454.4248","1323.1108","2546.0629","2424.8704"
"SEN","05/08/2020","12","2223.2653","4441.9573","2.0469","1465.5067","24373.0716","394.3664","482.4307","2615.3889","1323.0801","2510.5806","2495.4741"
