Centro Nacional de Control de Energia
Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia
Sistema Electrico Nacional
Dias de Operacion del Mes de: agosto 2022
Proceso de Liquidacion: Original (L0) 
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/sep/2022 05:00:01 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema.
Sistema, Dia, Hora, Eolica, Fotovoltaica,  Biomasa, Carboelectrica, Ciclo Combinado, Combustion Interna, Geotermoelectrica, Hidroelectrica, Nucleoelectrica, Termica Convencional, Turbo Gas
SEN,01/08/2022,1,3725.0714,0.0248,3.0892,2166.6614,21834.6412,252.2544,462.3139,5403.0219,1464.5005,1443.8063,1926.1945
SEN,01/08/2022,2,3714.1105,0,3.0892,2208.1054,21900.0048,252.0427,464.07,4183.4756,1465.5773,1443.9803,1836.604
SEN,01/08/2022,3,3269.1427,0,3.0887,2209.4609,21544.5116,251.8825,453.4372,3910.5771,1467.3546,1444.1938,1791.6448
SEN,01/08/2022,4,3375.7479,0,3.0896,2192.2939,21190.5747,252.0772,435.4291,3556.2425,1468.3298,1445.3412,1737.2263
SEN,01/08/2022,5,3513.876,0,3.0883,2177.4278,20836.2878,250.7638,441.5693,3293.4378,1470.9228,1442.8568,1699.9047
SEN,01/08/2022,6,3531.3095,0,3.09,2165.6002,20726.9076,250.4278,449.9083,3561.6482,1469.0311,1443.6246,1691.1497
SEN,01/08/2022,7,3322.5171,2.6909,3.0914,2159.8758,21099.1278,250.2135,449.7649,4436.6131,1468.0434,1447.146,1713.6549
SEN,01/08/2022,8,3326.4294,166.8939,3.0943,2175.7064,21891.6196,248.5317,449.7952,4852.7511,1469.2645,1449.9724,1774.8176
SEN,01/08/2022,9,3076.3158,2308.8759,3.0815,2187.9724,22047.4707,245.6012,450.0355,4445.1901,1469.2172,1438.2025,1855.872
SEN,01/08/2022,10,3291.0122,4424.504,3.0865,2072.1428,22014.1913,242.0799,448.4157,3907.719,1469.3514,1438.5938,1922.2341
SEN,01/08/2022,11,3415.4903,5186.0686,3.0796,2003.4981,22095.9589,238.4001,448.3759,3994.0003,1470.5706,1437.185,2151.8171
SEN,01/08/2022,12,3560.8957,5284.1675,3.0707,2071.87,22348.4588,236.464,452.7974,4399.5865,1469.5093,1437.3727,2153.0175
SEN,01/08/2022,13,3916.2672,5329.7556,3.0709,2141.055,22865.3402,236.2857,464.5812,4322.2815,1469.1081,1462.2815,2221.9042
SEN,01/08/2022,14,3976.9917,5272.4299,3.0679,2171.5649,23497.7584,235.2443,468.4635,4398.2869,1468.8685,1486.3691,2223.23
SEN,01/08/2022,15,4191.2329,4908.7548,3.0514,2168.6842,23911.3268,235.6632,470.3381,4636.2818,1467.3834,1510.2801,2239.4349
SEN,01/08/2022,16,4441.3006,4561.3564,3.0689,2138.8874,24807.9914,234.7181,469.7798,4649.5859,1465.0563,1543.2784,2212.2938
SEN,01/08/2022,17,4566.2045,3833.4979,3.0748,2055.2695,25705.0715,234.9558,470.2732,4834.9117,1462.2852,1585.9677,2240.5875
SEN,01/08/2022,18,4733.1918,3651.3535,3.0671,2059.0165,25986.9712,235.5077,469.2472,4012.8679,1458.5078,1914.9018,2258.7831
SEN,01/08/2022,19,4785.4632,2927.2643,3.0751,2071.2795,25425.66,236.4984,466.2641,4735.0272,1457.7702,1599.3407,2274.1003
SEN,01/08/2022,20,4770.6522,1704.1384,3.0792,2101.8696,24371.0435,238.0891,465.9595,5849.3127,1458.3859,1550.6819,2279.7339
SEN,01/08/2022,21,4977.0156,359.1912,3.077,2107.097,25524.1689,242.4195,464.0286,6828.3359,1459.7753,1561.1592,2488.1622
SEN,01/08/2022,22,4723.4368,3.296,3.0817,2120.9399,24469.0299,242.3419,468.1365,8252.7695,1460.2316,1630.3849,2996.2112
SEN,01/08/2022,23,4753.9563,0,3.0834,2119.3996,24228.2866,241.5692,468.4893,8164.5155,1461.1332,1748.2123,3009.5759
SEN,01/08/2022,24,4701.439,0,3.0877,2112.3092,23986.7654,240.1548,468.6419,7273.4485,1464.0304,1778.5571,2762.1921
SEN,02/08/2022,1,4534.3087,0,3.0867,2023.3944,23433.8053,239.4005,468.2052,6187.4725,1469.8423,1784.6824,2499.7239
SEN,02/08/2022,2,4476.8143,0,3.0881,1997.235,23455.5641,240.3369,468.1972,5329.8553,1475.3367,1729.8922,2045.0742
SEN,02/08/2022,3,4421.0392,0,3.0886,1995.1703,23494.6362,240.3503,468.6072,4558.6238,1477.1486,1602.9076,1921.7652
SEN,02/08/2022,4,4133.2574,0,3.0878,1998.575,23367.7652,241.5907,468.3498,4099.5803,1478.8254,1566.9937,1864.3305
SEN,02/08/2022,5,3919.7828,0,3.088,1981.1764,23011.9547,242.9724,468.3237,4077.894,1479.8952,1556.0486,1818.5833
SEN,02/08/2022,6,3623.3389,0,2.2958,1957.6978,22953.4044,242.3749,465.9621,4128.2842,1481.673,1563.6541,1779.8415
SEN,02/08/2022,7,3364.2178,4.3593,2.4982,1963.083,23027.285,243.2213,465.1417,4727.6891,1483.7088,1581.8986,1777.0153
SEN,02/08/2022,8,3149.5752,168.5225,3.0902,1959.4966,23340.0396,242.2228,455.9206,5336.9954,1485.0936,1596.5184,1781.7514
SEN,02/08/2022,9,2891.9696,1438.7254,3.0883,1955.0211,23971.5025,240.739,452.2058,5104.7411,1488.4121,1608.9637,1732.6301
SEN,02/08/2022,10,3064.682,3026.7264,3.0848,1964.4589,23997.332,237.5506,448.4781,4605.9121,1487.9406,1652.9287,1752.5046
SEN,02/08/2022,11,3556.5645,3901.7304,3.0596,1964.184,23858.3272,235.9004,446.077,4145.5568,1486.2296,1667.7267,1941.4273
SEN,02/08/2022,12,3961.1474,4441.1534,3.0628,1977.8759,23776.186,227.7327,453.1086,4044.3351,1485.8664,1652.3996,1917.465
SEN,02/08/2022,13,4032.5457,4609.374,3.0613,1987.1577,24008.7564,227.2254,458.369,4187.9305,1485.1678,1623.6938,1931.6121
SEN,02/08/2022,14,3938.4778,4697.9153,3.0595,1977.5376,23874.5258,226.0183,457.5937,4873.1888,1484.4228,1653.0518,2144.9613
SEN,02/08/2022,15,3948.6989,4738.1754,3.0425,1973.8626,23509.2252,226.881,457.0119,5728.9589,1482.4186,1671.2646,2227.8862
SEN,02/08/2022,16,3858.2026,4260.0581,3.0559,1951.9504,23940.1414,226.2577,456.3444,6736.8665,1479.7637,1712.1101,2291.6062
SEN,02/08/2022,17,3959.7702,4168.286,3.0655,1964.3438,24267.7512,225.6214,456.0027,6967.3798,1477.4594,1771.0782,2335.6098
SEN,02/08/2022,18,4261.4127,3444.3195,3.065,1969.0673,24326.6724,219.4341,453.5823,7345.9718,1474.1869,1761.2639,2351.3051
SEN,02/08/2022,19,4432.7353,2284.16,3.0684,1963.7625,24759.4788,212.4013,453.4369,6927.9419,1471.0023,1772.4218,2359.372
SEN,02/08/2022,20,4401.7799,1027.1148,3.0664,1979.3917,25389.2956,218.4623,455.8304,6531.3588,1468.5691,1777.1952,2384.9297
SEN,02/08/2022,21,4467.2231,242.644,3.0699,1979.7526,26039.9957,218.9967,454.8483,7613.1408,1469.192,1777.4055,2540.7167
SEN,02/08/2022,22,4506.3353,5.9487,3.0683,1986.0957,25686.8344,220.8337,455.0485,8384.4573,1470.7148,1779.9885,3017.2878
SEN,02/08/2022,23,4490.7873,0,3.0726,2030.7739,25508.3331,223.1239,456.948,8251.5121,1471.6777,1800.4423,2977.8689
SEN,02/08/2022,24,4524.1856,0,3.0722,2056.8607,25110.11,222.3709,455.8435,7534.3622,1474.8738,1747.7684,2881.3976
SEN,03/08/2022,1,4515.6744,0.0349,3.0749,2098.0392,24515.2764,277.6611,456.9332,6142.0275,1477.3845,1636.0426,2677.6549
SEN,03/08/2022,2,4235.237,0,3.0778,2156.8908,24246.1724,311.4464,471.8737,5186.4433,1480.9265,1667.436,2471.5533
SEN,03/08/2022,3,4324.2858,0,3.0743,2169.1948,24318.8907,296.7436,477.6372,4445.4264,1484.04,1545.5864,2020.4703
SEN,03/08/2022,4,4425.555,0,3.0779,2173.9586,23964.1842,221.5631,477.9022,3792.7394,1486.8086,1484.9991,1884.8406
SEN,03/08/2022,5,4408.5903,0,3.0756,2184.6414,23678.7217,222.854,478.3241,3766.0401,1490.255,1482.2022,1841.3097
SEN,03/08/2022,6,4135.8086,0,3.0773,2190.3417,23686.961,223.2248,477.8817,3756.2697,1492.4618,1481.5426,1794.0362
SEN,03/08/2022,7,3775.5066,3.8094,3.077,2181.0097,23633.5845,224.2434,475.1099,4649.3202,1493.6307,1498.8214,1776.8867
SEN,03/08/2022,8,3684.4812,228.4748,3.0756,2195.2252,23972.3337,223.0951,472.6488,4672.4667,1493.6981,1504.6413,1744.407
SEN,03/08/2022,9,3688.1033,1788.8123,2.7105,2184.6254,23944.9068,224.4554,469.4297,4648.4458,1493.6307,1502.7898,1762.9646
SEN,03/08/2022,10,3683.0908,3520.7823,2.1704,2181.9315,23661.1194,224.3245,468.54,4777.8646,1493.0937,1512.5536,1820.3698
