"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: diciembre 2019"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/ene/2020 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/12/2019","1","853.5237","0","21.6604","2013.132","19862.6757","375.4893","518.1164","1118.3983","773.2709","3154.6897","1534.2119"
"SEN","01/12/2019","2","589.4704","0","21.671","1861.5666","19101.5539","380.9403","517.8534","979.2048","773.692","3056.6995","1417.9886"
"SEN","01/12/2019","3","447.456","0","21.1715","1701.1704","18709.7583","376.0665","517.6166","1043.9691","774.0689","2980.2499","1364.8629"
"SEN","01/12/2019","4","414.7977","0","20.3485","1629.5456","18394.296","374.9687","517.4339","950.3772","774.3591","2920.1047","1360.8875"
"SEN","01/12/2019","5","538.8783","0","23.2706","1615.4564","18115.9109","373.9633","517.7061","937.0649","774.6294","2964.4234","1338.7874"
"SEN","01/12/2019","6","626.1038","0","22.4156","1618.8115","17839.109","377.1245","517.397","968.7187","774.5734","2966.0253","1342.197"
"SEN","01/12/2019","7","1001.1123","2.3626","21.7605","1597.606","17232.6474","374.9215","516.6085","1243.487","774.7717","2849.6448","1337.8398"
"SEN","01/12/2019","8","1680.8899","226.7801","25.0328","1616.0597","16262.4607","371.0809","515.3557","1140.4577","774.6611","2846.258","1332.5847"
"SEN","01/12/2019","9","1706.6585","1827.0268","24.4469","1618.4429","15524.139","367.1101","513.414","1058.6802","774.7896","2720.9211","1335.5304"
"SEN","01/12/2019","10","1603.2127","3147.4686","25.1083","1622.1513","14754.4211","323.5449","511.7104","1407.5262","774.4833","2703.1536","1354.5021"
"SEN","01/12/2019","11","1356.9865","3513.7207","18.9628","1642.4758","14896.1074","313.7965","512.4873","1693.9015","774.0356","2745.0035","1356.0806"
"SEN","01/12/2019","12","1350.9871","3555.1699","21.9034","1640.6413","15066.7745","307.7191","511.6982","1906.3159","773.5889","2717.417","1352.4668"
"SEN","01/12/2019","13","1211.4253","3526.3559","20.6977","1642.6282","15326.7107","296.3868","511.1405","1990.8982","773.5584","2760.6358","1349.0897"
"SEN","01/12/2019","14","1102.693","3511.3286","23.9128","1638.8823","15614.3872","303.9524","510.4027","2086.7178","773.7839","2775.1051","1344.153"
"SEN","01/12/2019","15","1257.2046","3473.076","26.3962","1626.0404","15488.3566","314.4285","509.9032","1982.6963","773.8063","2744.7026","1341.3842"
"SEN","01/12/2019","16","1576.7236","3315.6031","27.9099","1622.6175","15395.339","330.3049","509.273","1936.0706","773.9188","2791.1947","1328.2035"
"SEN","01/12/2019","17","1667.8407","2592.8891","26.9498","1628.2548","15562.7507","342.9771","510.6967","2431.5932","774.1749","2826.219","1350.6271"
"SEN","01/12/2019","18","1887.8802","665.336","25.6341","1611.9232","17377.2157","395.201","512.1667","2674.5316","774.1755","3192.5216","1432.3624"
"SEN","01/12/2019","19","2187.7354","9.2596","24.6348","1876.9801","19584.7678","395.0643","513.5017","2909.3561","774.658","3603.6499","1547.3477"
"SEN","01/12/2019","20","2654.0454","0.0393","26.409","2038.6544","19809.6614","392.298","513.6233","2956.2299","775.1075","3678.7417","1579.0301"
"SEN","01/12/2019","21","2921.3657","0","27.3195","2041.3227","19772.1995","398.6459","515.1313","2538.9062","775.1935","3690.6717","1576.9738"
"SEN","01/12/2019","22","3079.8679","0","25.9437","1892.6172","19665.7273","394.5318","516.5037","1963.3402","775.0253","3624.1153","1524.8096"
"SEN","01/12/2019","23","3122.8403","0","26.2136","1604.743","19242.9014","385.9033","516.8846","1693.0402","775.114","3147.3608","1493.3725"
"SEN","01/12/2019","24","3033.8272","0","26.6395","1598.564","17984.7503","375.9037","514.6951","1337.9246","774.9435","2949.267","1383.5504"
"SEN","02/12/2019","1","2950.4851","0","23.385","1622.4367","17099.2718","371.8741","513.5355","1050.7817","774.84","2731.7059","1327.2635"
"SEN","02/12/2019","2","2880.9199","0","28.1754","1615.1833","16352.473","371.8115","514.1636","1013.2864","774.7013","2583.6653","1326.1399"
"SEN","02/12/2019","3","2892.0013","0","26.1992","1596.8091","15536.8016","332.7581","513.7043","980.8049","774.9102","2536.9507","1324.2779"
"SEN","02/12/2019","4","2867.5951","0","22.1321","1624.5158","15268.7672","314.8346","513.9096","992.554","774.9139","2563.5546","1326.7576"
"SEN","02/12/2019","5","2855.63","0","23.205","1620.2739","15496.8005","319.7847","513.8821","1107.3441","775.1233","2508.3644","1326.6124"
"SEN","02/12/2019","6","2738.4373","0","21.424","1635.8347","16686.1241","381.654","515.1646","1118.2706","775.3271","2529.1142","1328.6476"
"SEN","02/12/2019","7","2710.2132","1.3272","23.6363","1632.2498","18674.2073","386.828","514.6985","1440.4602","775.49","2619.4389","1337.1796"
"SEN","02/12/2019","8","2704.0672","144.1988","25.3636","1637.3413","19534.1988","381.6074","511.8187","1925.4817","775.6325","2794.4239","1338.7503"
"SEN","02/12/2019","9","2792.8995","1256.7797","22.9163","1641.8812","19738.0782","374.7668","508.3014","1368.6886","775.4655","3048.1506","1340.3988"
"SEN","02/12/2019","10","2854.9284","2705.0987","22.2805","1707.6515","19700.8634","366.9677","503.7863","1497.4197","777.2872","2682.6206","1370.9985"
"SEN","02/12/2019","11","2849.2019","3293.7169","18.03","1701.3951","19721.8211","365.8096","507.0581","1518.1532","777.6268","2507.1328","1481.784"
"SEN","02/12/2019","12","2722.4623","3391.2689","19.443","1903.3774","19458.6363","369.7308","508.5854","1918.8324","775.7372","2502.8325","1546.4009"
"SEN","02/12/2019","13","2622.2617","3419.2922","18.6121","2037.2538","19356.3361","369.1944","506.5001","1966.268","775.0281","2749.4529","1572.9007"
"SEN","02/12/2019","14","2632.8898","3474.8152","18.8715","2094.6098","19342.2906","377.2453","506.8906","1715.1603","774.8565","2916.8946","1540.7054"
