"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: enero 2019"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 08/abr/2019 18:10:15 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/01/2019","1","2046.9551","0.014","24.1485","1236.4395","15212.2632","295.2078","602.0889","1639.914","1481.9633","1612.2789","1323.9454"
"SEN","01/01/2019","2","2008.7178","0.014","24.5787","1259.845","14716.7802","290.7521","600.6413","1359.4183","1482.0395","1622.8851","1316.4896"
"SEN","01/01/2019","3","2053.5246","0","23.2666","1264.3421","14158.9726","283.5448","601.0346","1109.2743","1482.5726","1631.1217","1318.2459"
"SEN","01/01/2019","4","2080.1841","0","24.9682","1264.9099","13554.0873","278.6723","603.3866","918.1252","1481.9557","1689.4191","1317.6234"
"SEN","01/01/2019","5","2183.7016","0","23.5932","1256.3677","12898.8769","274.794","603.0097","922.1471","1482.7002","1654.2472","1315.9542"
"SEN","01/01/2019","6","2207.1564","0","25.0416","1249.9596","12165.9812","275.6399","602.7088","1260.5593","1483.2946","1690.0504","1317.268"
"SEN","01/01/2019","7","2278.984","0.0017","23.0152","1229.3398","11493.9725","279.4219","602.5671","1693.8476","1483.1588","1673.7577","1319.3216"
"SEN","01/01/2019","8","2339.5011","24.7848","23.3875","1245.7385","10937.31","276.9873","603.2086","1433.9403","1482.9615","1675.4287","1361.9827"
"SEN","01/01/2019","9","2454.1725","401.0409","23.4168","1250.4044","10705.9109","280.5223","603.3888","1151.3151","1483.1639","1676.5627","1363.7617"
"SEN","01/01/2019","10","2425.5638","919.0966","27.0303","1245.0944","10692.8014","285.2703","600.5693","1238.6459","1483.0834","1679.6448","1359.394"
"SEN","01/01/2019","11","2474.6605","1174.8074","21.8241","1244.0723","10845.8015","288.4312","596.8287","1438.0494","1482.6604","1698.3747","1356.935"
"SEN","01/01/2019","12","2496.5327","1080.2151","22.2321","1241.7844","11162.7831","284.2055","594.964","1738.8428","1482.2764","1723.0267","1353.3051"
"SEN","01/01/2019","13","2541.26","1027.7528","22.5854","1237.9177","11425.4013","278.9574","595.1565","1780.8056","1481.977","1713.6332","1328.7046"
"SEN","01/01/2019","14","2503.0976","1118.7887","22.3516","1239.1863","11698.59","284.3092","595.5466","1712.825","1481.5839","1717.0006","1324.3674"
"SEN","01/01/2019","15","2522.5918","1001.536","23.5265","1235.4724","12008.669","280.2227","593.9758","1523.1148","1480.6984","1670.0061","1317.3101"
"SEN","01/01/2019","16","2534.1212","917.671","22.4836","1245.6192","12149.5809","286.5822","594.1388","1567.8877","1480.2142","1731.5395","1337.3598"
"SEN","01/01/2019","17","2475.5374","527.8411","21.2946","1243.2793","12625.0112","296.803","595.9132","1784.8201","1479.7646","1729.3388","1338.2868"
"SEN","01/01/2019","18","2452.6517","174.6835","21.1716","1244.0284","13291.8306","307.4651","597.1902","2126.268","1479.5285","1725.0058","1343.1534"
"SEN","01/01/2019","19","2524.9225","3.5103","21.0087","1273.6451","14768.0248","327.6352","597.1782","3593.247","1480.0858","1756.8265","1330.5812"
"SEN","01/01/2019","20","2522.5501","0.0016","23.397","1490.1144","15712.9913","315.1627","599.6573","4146.8414","1480.55","1820.0001","1349.4913"
"SEN","01/01/2019","21","2488.4309","0","21.2223","1771.443","15822.4303","309.9055","601.4617","3845.318","1480.2946","1824.9232","1360.3774"
"SEN","01/01/2019","22","2497.4599","0","24.4218","1755.2675","16047.9698","304.7546","602.232","3134.1776","1480.7103","1794.3873","1362.9328"
"SEN","01/01/2019","23","2511.5105","0","24.1579","1681.4929","15863.7326","298.2333","601.9541","2234.0658","1480.7992","1757.3055","1374.4467"
"SEN","01/01/2019","24","2616.8268","0","23.3298","1316.4236","15389.1061","288.2761","600.9442","1596.9202","1480.286","1718.6595","1369.6031"
"SEN","02/01/2019","1","2732.4703","0","23.8143","1315.5229","14263.9331","282.9562","596.4148","1205.7984","1480.2598","1676.607","1345.2917"
"SEN","02/01/2019","2","2506.5082","0","19.7735","1322.1876","13630.7067","276.6901","597.3822","1262.8441","1480.6367","1701.3793","1302.97"
"SEN","02/01/2019","3","2481.9711","0","24.3781","1329.5786","13011.2461","284.0829","596.1119","1308.3034","1480.5122","1679.0402","1304.5855"
"SEN","02/01/2019","4","2390.2066","0","22.3638","1271.5167","12962.5352","283.2762","595.7772","1237.8577","1480.181","1702.553","1307.659"
"SEN","02/01/2019","5","2334.5407","0","13.861","1257.5209","13375.7518","287.1416","594.57","1190.9245","1480.1407","1729.5626","1309.1454"
"SEN","02/01/2019","6","2158.0949","0","11.4747","1265.9475","14338.4462","293.8118","596.5185","1234.3983","1479.9992","1739.6284","1309.837"
"SEN","02/01/2019","7","2087.5561","0.0089","5.6133","1431.4062","15839.1778","306.0401","597.8962","1335.1698","1480.0771","1800.0935","1316.9557"
"SEN","02/01/2019","8","1883.5773","14.3222","7.6874","2091.635","16647.3789","313.96","596.1527","1358.5159","1481.2964","2134.6904","1339.8506"
"SEN","02/01/2019","9","1987.6475","302.8143","5.6236","2245.1668","17274.7236","302.8894","593.2447","1531.426","1481.6816","2253.9064","1536.8779"
"SEN","02/01/2019","10","2276.489","676.0913","4.8227","2318.2527","17423.6054","307.6238","589.8173","1969.1677","1482.178","2451.869","1787.9561"
"SEN","02/01/2019","11","2315.1132","869.7861","6.4396","2383.6237","17668.5977","323.5393","588.9821","2517.7042","1482.1226","2512.241","1795.0813"
"SEN","02/01/2019","12","2213.4594","1205.7424","10.3157","2387.36","17813.3171","331.4527","589.1465","2739.7183","1482.3402","2624.3358","1815.6514"
"SEN","02/01/2019","13","2325.7116","1053.1426","15.0232","2381.0733","17850.3082","334.4401","590.1212","3004.0599","1482.018","2661.5035","1824.7152"
"SEN","02/01/2019","14","2454.6021","906.1866","20.5457","2379.1435","17992.9715","334.1519","589.1516","3010.3196","1482.0741","2662.7038","1820.5981"
"SEN","02/01/2019","15","2688.0874","904.6389","22.4617","2378.9239","18048.4415","337.6021","591.0775","2550.1299","1481.8569","2747.9127","1809.1391"
"SEN","02/01/2019","16","2782.7438","767.3202","23.5275","2382.8925","18210.463","327.4801","594.7611","2797.7276","1481.9112","2588.6021","1802.227"
"SEN","02/01/2019","17","2745.9826","616.0589","22.927","2372.836","18262.701","325.9357","598.0882","3059.279","1481.6397","2694.2393","1819.9824"
"SEN","02/01/2019","18","2604.5379","240.514","23.338","2378.8699","18427.2885","379.006","600.7948","3380.1607","1481.0538","2804.0899","1869.797"
"SEN","02/01/2019","19","2567.0668","5.1768","20.2028","2390.9661","18637.0385","426.5886","600.6016","4549.9938","1481.7999","2918.0045","1896.4868"
"SEN","02/01/2019","20","2454.6301","0.0016","23.8919","2382.3615","18769.8356","431.4126","601.5792","5269.3052","1481.5895","3030.7934","1907.2356"
"SEN","02/01/2019","21","1941.2459","0","25.1639","2377.6307","18771.6724","425.357","603.5663","5409.7901","1481.7664","3098.0233","1915.4621"
"SEN","02/01/2019","22","1751.7524","0","24.6593","2374.5162","18726.6667","420.2386","603.4071","4674.5024","1481.6902","3000.6521","1903.6054"
"SEN","02/01/2019","23","1634.2229","0","22.2797","2384.8032","18566.0348","404.7143","604.0917","3731.1251","1481.5733","2992.0879","1874.2014"
"SEN","02/01/2019","24","1811.949","0","14.1169","2380.3941","18274.795","326.932","602.083","2875.4241","1481.9001","2955.7039","1635.3079"
"SEN","03/01/2019","1","2010.2724","0","19.9503","2377.7773","17563.4985","369.7112","602.8448","1668.3801","1481.3335","2950.7918","1522.8984"
"SEN","03/01/2019","2","2265.8542","0","22.5909","2383.3144","17185.8856","297.2909","603.5219","1179.7308","1481.202","2389.809","1453.6585"
"SEN","03/01/2019","3","2567.8319","0","24.3251","1998.6595","17253.7103","288.6715","604.3711","970.1791","1480.3753","2077.75","1391.8877"
"SEN","03/01/2019","4","2821.3805","0","24.8074","1587.3241","16955.6552","288.2373","603.9086","938.8698","1480.206","2068.0171","1390.4622"
"SEN","03/01/2019","5","2722.3549","0","24.4142","1406.7062","17157.3211","303.5843","604.8634","1133.5942","1480.5161","2090.2411","1391.1389"
"SEN","03/01/2019","6","2806.0785","0","25.6959","1715.1302","17078.8045","314.8612","603.9203","1265.7186","1480.1784","2123.2365","1416.5122"
"SEN","03/01/2019","7","2744.1837","0.0095","24.3966","2527.2672","16786.7801","383.912","603.5229","1515.748","1480.555","2288.7655","1733.8626"
"SEN","03/01/2019","8","2772.3288","10.4276","24.4893","2768.5953","16984.5857","391.4283","603.9717","1472.0454","1480.5829","2712.4536","1792.2882"
"SEN","03/01/2019","9","2276.7059","476.6647","22.6905","2800.5854","17379.197","370.5858","588.594","2166.8414","1480.8401","2741.4653","1864.3094"
"SEN","03/01/2019","10","2177.6871","1148.6549","23.5207","2759.6939","17378.6365","376.1893","517.4001","2841.4509","1481.0887","2717.7558","1925.1841"
"SEN","03/01/2019","11","2487.0235","1513.5239","23.071","2803.879","17463.9137","387.735","514.7673","2577.8187","1481.055","2848.4578","2044.8554"
"SEN","03/01/2019","12","2465.3887","1601.6638","25.3808","2929.5012","18061.9043","407.877","521.1899","2261.1558","1472.1909","2892.4688","2043.9734"
"SEN","03/01/2019","13","2593.3444","1563.9119","25.5098","2918.8307","18077.39","410.0461","528.7768","2485.4624","1470.6211","2883.6297","2006.5876"
"SEN","03/01/2019","14","2424.2489","1544.811","25.2242","2909.0693","18227.5201","398.4489","557.3563","2588.2735","1471.1678","2876.6489","2008.7563"
"SEN","03/01/2019","15","2159.3993","1562.6353","25.7722","2917.4135","18303.8184","401.0578","564.4442","2564.0164","1471.0363","2841.9177","2020.1946"
"SEN","03/01/2019","16","1765.0358","1511.5922","23.8398","2890.5803","18453.9448","414.4017","568.4588","2858.4514","1469.7178","2823.5321","2011.8425"
"SEN","03/01/2019","17","1543.5367","1266.2512","26.1874","2891.7949","18787.3414","418.5375","571.5182","3315.3148","1466.9422","2860.7346","1967.1873"
"SEN","03/01/2019","18","1495.0513","507.8071","25.333","2961.4153","19057.4574","423.363","573.6095","3569.3184","1467.7881","2787.359","1955.84"
"SEN","03/01/2019","19","1672.0912","18.3153","23.1699","2964.49","19522.544","416.4522","575.7634","4697.7461","1477.7665","2862.0256","1948.1358"
"SEN","03/01/2019","20","1598.1824","11.3196","21.3887","2922.8226","19707.454","412.3959","575.403","5329.6822","1479.0512","3067.5092","2005.3719"
"SEN","03/01/2019","21","1328.3238","11.318","22.405","2937.2135","19727.9657","405.4072","574.8526","5173.7647","1479.4089","3124.4174","2006.282"
"SEN","03/01/2019","22","1063.051","11.318","22.7064","2932.9499","19268.4839","393.6336","574.7137","4805.2241","1479.1517","3120.7479","2007.739"
"SEN","03/01/2019","23","1090.2285","11.318","22.3444","2922.6202","19109.0499","376.5054","571.9437","3818.2109","1479.486","3157.5164","2020.1116"
"SEN","03/01/2019","24","1267.4367","11.318","24.9663","2919.2313","18864.3666","355.9529","571.6716","2764.5306","1480.2098","3112.125","1969.8427"
"SEN","04/01/2019","1","1517.8729","0","26.6221","2939.0856","18257.7263","341.0973","572.0658","1348.6081","1480.4272","2791.4923","1951.5597"
"SEN","04/01/2019","2","1701.5186","0","25.7241","2674.2244","18039.4758","289.4725","573.166","1299.6895","1480.32","2285.4817","1916.6923"
"SEN","04/01/2019","3","1768.8193","0","25.2004","2125.9029","18135.6422","291.3861","575.3793","1265.3098","1480.1442","2154.9173","1657.4057"
"SEN","04/01/2019","4","1716.9472","0","26.3685","2020.4872","17875.6271","289.1459","574.1122","1207.4693","1480.3026","2074.2808","1656.4481"
