"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: enero 2021"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/feb/2021 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/01/2021","1","1388.1341","0.0001","15.6217","982.7848","16857.3064","180.6495","508.3629","1913.3282","781.9987","1784.4967","1778.8389"
"SEN","01/01/2021","2","1492.7999","0.0002","13.5872","979.3094","16354.8846","179.2034","507.9265","1345.4814","782.2119","1806.9669","1780.2522"
"SEN","01/01/2021","3","1180.3226","0.0001","11.34","979.5039","16165.2577","173.1339","507.5203","1035.8147","782.6132","1793.0791","1780.7227"
"SEN","01/01/2021","4","920.5768","0.0001","12.3633","979.4385","16080.51","173.2048","507.4526","745.094","782.4428","1723.9772","1770.4071"
"SEN","01/01/2021","5","861.4942","0","10.8163","976.9088","15823.6851","172.0791","506.7159","596.8291","782.6224","1715.3655","1762.8503"
"SEN","01/01/2021","6","723.7067","0.0087","2.8598","975.393","15550.2513","171.9337","507.1522","618.6738","781.9871","1717.4828","1767.482"
"SEN","01/01/2021","7","736.6951","0.5685","2.0031","974.1605","14954.2431","170.8058","506.652","1065.9627","782.1122","1721.9524","1768.6602"
"SEN","01/01/2021","8","788.7833","117.4959","3.6123","973.9146","14320.4954","172.3313","507.2874","1029.9818","781.8144","1716.5924","1770.5634"
"SEN","01/01/2021","9","736.6333","1413.7142","12.4707","978.5297","13168.8203","171.681","507.5168","799.6346","781.6674","1726.0156","1772.0791"
"SEN","01/01/2021","10","823.0492","2285.6026","18.8449","979.1768","12542.969","165.7979","505.0276","690.4873","781.4471","1724.5875","1772.1311"
"SEN","01/01/2021","11","846.8458","2759.3367","20.0466","958.6776","12414.4143","166.9303","504.9656","885.9188","781.3594","1739.1592","1736.8851"
"SEN","01/01/2021","12","967.2448","3340.8002","22.9247","958.2326","12187.7391","169.1657","503.8531","1021.6217","780.4129","1730.6875","1720.6375"
"SEN","01/01/2021","13","1081.0946","3422.0199","21.1926","951.4607","12205.8262","168.7816","502.5207","1236.4866","780.4453","1715.7208","1720.2062"
"SEN","01/01/2021","14","1140.343","3364.1885","24.0689","914.0958","12346.0285","166.7853","502.2884","1245.7084","780.3012","1704.3474","1708.5375"
"SEN","01/01/2021","15","1161.1913","3361.3775","23.2544","902.125","12360.908","166.257","502.5226","1260.6526","780.2371","1673.8767","1718.4426"
"SEN","01/01/2021","16","1162.3056","3129.5174","22.5874","904.3362","12669.0235","171.6372","502.8703","1319.2268","779.8407","1632.9308","1757.4007"
"SEN","01/01/2021","17","1261.5992","2568.8352","25.0036","899.227","13526.8317","177.5747","503.1439","1307.051","780.1164","1626.6933","1796.0677"
"SEN","01/01/2021","18","1315.8034","1055.7653","23.1337","1074.7201","15421.449","177.7768","506.2344","1521.0778","780.1848","1833.4962","1845.3092"
"SEN","01/01/2021","19","1318.674","44.1323","23.718","1193.9505","16735.3995","178.3553","508.6991","2706.166","780.1341","2333.3123","2045.3006"
"SEN","01/01/2021","20","1312.2779","0.0007","21.5421","1198.2576","17371.4995","178.0446","508.4932","3942.7239","780.2666","2332.8468","2032.0387"
"SEN","01/01/2021","21","1330.1418","0.0003","24.7247","1220.7982","17367.3057","177.934","509.6757","3859.6067","780.1047","2329.0773","1955.3504"
"SEN","01/01/2021","22","1375.9908","0.0003","24.0486","1187.1703","17756.1473","179.2446","510.8983","3123.4972","780.7895","2202.579","1778.5558"
"SEN","01/01/2021","23","1453.1811","0.0003","26.259","1189.458","17431.5663","177.5142","510.5899","2724.8404","780.4693","1784.2899","1773.6515"
"SEN","01/01/2021","24","1536.621","0.0002","25.3849","1184.6457","16961.7297","176.0197","510.2117","1858.7242","780.8198","1624.4499","1757.4774"
"SEN","02/01/2021","1","1986.0577","0.0003","22.1254","1018.2807","15968.4364","167.4223","509.7051","1494.8463","780.8345","1622.5471","1758.3426"
"SEN","02/01/2021","2","2138.3877","0.0005","10.7815","989.229","14990.3412","164.9209","505.9204","1466.1252","780.7529","1624.3682","1754.6948"
"SEN","02/01/2021","3","2145.8635","0.0006","20.7762","994.9552","14695.3462","164.7764","486.7702","1241.2122","780.6106","1621.1429","1749.5754"
"SEN","02/01/2021","4","2395.5165","0.0006","23.311","1004.3633","14137.2283","164.9167","486.2886","1052.9555","780.6436","1604.8509","1748.3234"
"SEN","02/01/2021","5","2430.9203","0.0005","21.5998","1010.304","13956.2043","164.7854","487.8632","1105.8389","780.8582","1604.0793","1749.3236"
"SEN","02/01/2021","6","2523.4323","0.0151","20.6042","1012.8","14173.5021","165.0173","487.7398","1107.8959","781.0196","1539.4998","1750.9457"
"SEN","02/01/2021","7","2524.1571","0.6281","21.9399","1046.4173","15105.4267","164.4791","485.6412","1106.1089","781.1089","1431.2545","1758.5798"
"SEN","02/01/2021","8","2674.5851","134.7792","19.8366","1102.0866","15412.6054","165.4025","468.3879","1004.1922","781.0684","1415.2163","1787.1683"
"SEN","02/01/2021","9","2589.0308","1883.0416","21.1823","1066.9931","14948.7988","172.1063","462.5106","1053.8661","781.1945","1417.9376","1779.6011"
"SEN","02/01/2021","10","2582.3292","4091.5466","24.3949","1020.218","13985.6837","169.5845","459.8638","1327.6515","781.3038","1413.1406","1772.5198"
"SEN","02/01/2021","11","2754.076","4579.7624","23.8237","884.2728","14060.4693","169.9954","459.7103","1581.8446","781.1344","1428.6118","1798.1929"
"SEN","02/01/2021","12","2854.243","4729.4606","20.9458","901.0896","14297.6097","174.1533","465.4164","1626.5007","781.5978","1425.9619","1791.9241"
"SEN","02/01/2021","13","2876.591","4592.7276","3.2328","1021.5922","14381.9789","173.3155","474.3791","1671.1118","780.9662","1438.642","1790.3534"
"SEN","02/01/2021","14","2920.5546","4635.2776","2.7064","1095.5956","14178.2743","172.3726","477.1641","1645.2485","781.1207","1441.8285","1776.9536"
"SEN","02/01/2021","15","2992.7787","4612.0556","2.7736","1015.516","14194.5961","175.8357","478.7803","1676.1975","781.2033","1447.9612","1768.4774"
"SEN","02/01/2021","16","3018.9134","4545.3891","2.8375","991.2791","14208.7601","193.1654","477.7968","1878.037","781.6437","1459.9596","1761.3185"
"SEN","02/01/2021","17","2724.4525","4082.2347","2.692","1038.13","14927.1162","213.5902","478.8479","2124.951","782.0451","1465.6408","1800.3726"
"SEN","02/01/2021","18","2543.7592","1523.0896","2.6034","1153.0472","16819.3111","224.3535","478.9545","2908.9984","782.7459","1817.2017","1840.1909"
"SEN","02/01/2021","19","2557.44","53.7407","2.5036","1295.5767","18781.3731","220.0842","484.905","4261.7363","783.4199","2066.5774","1885.2052"
