"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: febrero 2019"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 08/abr/2019 18:10:22 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/02/2019","1","705.1494","0","20.9217","2979.0972","18211.4843","368.429","634.8748","1875.771","783.6197","3279.0335","1666.5881"
"SEN","01/02/2019","2","678.9011","0","23.097","2960.7305","17847.4157","364.498","634.306","1400.8803","783.1106","3234.6922","1598.787"
"SEN","01/02/2019","3","613.5721","0","20.2878","2857.2188","17685.5439","374.3691","637.9421","1032.4967","783.1401","3170.0994","1599.1768"
"SEN","01/02/2019","4","497.5938","0","22.2867","2948.9076","17517.64","372.875","637.6566","1015.156","782.8984","3173.8665","1599.9554"
"SEN","01/02/2019","5","498.8847","0","17.9438","2983.7163","17639.775","373.4598","636.4031","1046.5297","782.8724","3108.9817","1599.4263"
"SEN","01/02/2019","6","602.4917","0","16.7655","2991.0266","17843.8124","383.5863","637.9899","1241.162","782.5654","3334.8485","1601.5472"
"SEN","01/02/2019","7","601.2262","0.1304","23.0413","2987.3462","17940.0704","392.7059","638.2537","1873.1949","782.2522","4216.1811","1635.275"
"SEN","01/02/2019","8","600.6513","56.2076","18.9185","2981.4454","18352.1038","396.5686","638.4353","2175.1859","782.4179","4377.1275","1639.3597"
"SEN","01/02/2019","9","453.4762","807.2789","16.8521","2930.6767","18546.8682","373.178","634.1032","2644.0596","782.5408","4326.2335","1585.7079"
"SEN","01/02/2019","10","480.6019","1546.2259","21.0563","2890.9394","18447.2566","382.1435","629.9795","2967.6428","782.4503","4277.6753","1585.8949"
"SEN","01/02/2019","11","614.6316","1742.7418","21.8604","2913.7698","18368.9544","371.8997","633.2938","3091.5405","782.2839","4187.8436","1634.4597"
"SEN","01/02/2019","12","670.6739","1784.9495","19.1485","2891.787","18401.4577","372.7033","632.68","3300.3101","781.9162","4279.4101","1643.6763"
"SEN","01/02/2019","13","818.4195","1788.2897","20.6046","2920.1555","18383.0307","385.8854","634.0152","3180.6955","781.8346","4324.798","1657.6225"
"SEN","01/02/2019","14","885.5333","1717.0031","22.7179","3025.7739","18227.9518","395.2463","632.8678","3186.741","781.6798","4434.8977","1626.7371"
"SEN","01/02/2019","15","950.4357","1578.1652","22.4736","3123.2308","18307.3223","385.283","631.8627","2894.9265","781.9551","4507.1425","1582.7864"
"SEN","01/02/2019","16","1086.403","1727.3235","23.0044","3160.779","18266.5098","353.113","629.7916","2800.6107","782.5378","4510.5095","1499.7302"
"SEN","01/02/2019","17","1375.9214","1555.9802","22.3279","3157.823","18212.8988","390.7748","630.3762","2522.0712","782.2365","4643.0384","1427.6518"
"SEN","01/02/2019","18","1447.2368","663.3842","24.4986","3173.3084","18213.1157","400.3565","631.9313","2890.7654","782.2879","4753.9796","1510.9551"
"SEN","01/02/2019","19","1430.6554","67.1942","20.3916","3164.8722","18390.2849","407.4673","632.6308","4010.0706","782.1272","4741.828","1540.7905"
"SEN","01/02/2019","20","1700.5676","0.0016","19.864","3151.8402","18549.4487","391.3827","631.5248","4831.928","781.6658","4660.3497","1588.5254"
"SEN","01/02/2019","21","1729.1929","0","19.795","3170.8766","18464.5036","396.0579","630.1402","4200.0485","781.8224","4749.4123","1636.0905"
"SEN","01/02/2019","22","1868.4755","0","20.7019","3162.8859","18531.9429","396.6321","630.9088","3184.5205","781.8977","4444.4163","1630.5689"
"SEN","01/02/2019","23","1847.1639","0","23.8131","3169.7801","18477.1116","393.7098","633.5673","2574.1489","781.8614","4077.3285","1627.1653"
"SEN","01/02/2019","24","1864.4804","0","18.6713","3149.2925","18340.3864","394.4777","633.7297","1603.9632","781.9601","3928.2553","1602.3235"
