"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: febrero 2021"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/mar/2021 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/02/2021","1","4197.5497","0.001","23.1771","1097.5896","16067.6743","169.9088","466.9513","2435.1999","0","1991.6418","1461.574"
"SEN","01/02/2021","2","4375.3248","0.0009","23.6664","1094.36","15393.0034","172.6172","467.0774","2154.2289","0","1842.8221","1441.8388"
"SEN","01/02/2021","3","4617.9372","0.0008","25.3145","1095.897","15255.5201","176.7617","466.9877","1454.6528","0","1833.569","1347.161"
"SEN","01/02/2021","4","4796.2356","0.0007","21.8035","1099.3007","15025.2431","179.5","466.4844","1036.6267","0","1829.5709","1326.5009"
"SEN","01/02/2021","5","4610.6764","0.0008","23.5481","1101.6091","15094.4611","179.0607","466.8769","1068.5053","0","1829.3","1323.5987"
"SEN","01/02/2021","6","4434.6438","0.0007","24.974","1105.0813","15510.7788","179.1643","467.4398","903.1658","0","1843.8976","1330.2366"
"SEN","01/02/2021","7","4265.9182","0.357","16.3308","1112.8159","15972.7993","176.1112","467.4206","931.9899","0","1893.8048","1421.7887"
"SEN","01/02/2021","8","4232.8487","73.4637","14.0909","1115.8099","16277.063","177.5789","465.9051","836.9965","0","1954.3456","1471.9489"
"SEN","01/02/2021","9","4144.1631","1141.4415","13.8059","1120.6621","16082.4758","174.7422","464.2544","754.3562","0","2055.4656","1474.0822"
"SEN","01/02/2021","10","3895.5819","3039.1606","18.6895","1113.5003","15203.4143","179.5361","462.7788","1081.7111","0","2179.2958","1473.5717"
"SEN","01/02/2021","11","3667.4091","4405.8815","21.5566","1120.1294","14602.9272","176.6847","467.3749","1250.5099","0","2172.9742","1496.5874"
"SEN","01/02/2021","12","3451.7162","4877.3869","22.69","1118.2992","14807.2747","177.1144","467.0989","1329.9434","0","2179.3814","1490.3207"
"SEN","01/02/2021","13","3369.0338","4988.1904","18.8564","1111.8047","15143.1512","174.7044","466.7463","1226.6762","0","2178.2499","1483.3024"
"SEN","01/02/2021","14","3215.0821","4879.1304","23.4952","1118.1673","15271.5882","174.7522","468.3932","1409.9822","0","2153.3858","1478.2449"
"SEN","01/02/2021","15","3023.1325","4837.2212","22.6195","1113.031","15452.5741","177.4507","468.0937","1503.5509","0","2146.4069","1482.3778"
"SEN","01/02/2021","16","3036.5925","4526.4706","24.2071","1119.6019","15860.772","176.8031","466.35","1573.0943","0","2041.8215","1502.7428"
"SEN","01/02/2021","17","3072.2514","4073.9874","24.6668","1115.1738","16188.5532","178.9782","467.0011","2044.7608","0","1826.6389","1588.4724"
"SEN","01/02/2021","18","2957.1712","2096.0307","25.6548","1116.8963","17538.1989","179.9917","467.1193","2876.6966","0","1842.1244","1614.2946"
"SEN","01/02/2021","19","3115.3748","227.3273","26.9448","1113.3379","18921.6547","181.624","467.4954","4275.9191","0","2153.5734","1633.7784"
"SEN","01/02/2021","20","3155.3605","0.192","24.3206","1113.2181","20014.8456","178.7992","469.5631","5566.3398","0","2224.773","1642.4829"
"SEN","01/02/2021","21","3092.4008","0.0011","21.5659","1105.3466","19942.6643","176.3759","468.5313","5715.0862","0","2226.3257","1638.7262"
"SEN","01/02/2021","22","3042.995","0.001","24.1619","1104.4936","19670.8572","177.2406","468.5259","4809.4702","0","2249.9563","1610.8424"
"SEN","01/02/2021","23","3088.2492","0.001","24.9977","1097.5705","19034.6516","169.6623","466.54","3513.6697","0","2380.5664","1598.1538"
"SEN","01/02/2021","24","2970.0702","0.001","22.4052","1101.6498","18539.5732","173.5052","466.4101","2265.6763","0","2376.6545","1536.5886"
"SEN","02/02/2021","1","2702.0767","0.0012","15.041","1141.1532","18467.639","194.333","461.8477","1079.7411","0","2331.6117","1434.0357"
"SEN","02/02/2021","2","2488.6221","0.0013","14.1777","1183.0808","17991.9938","200.1626","454.6701","906.1103","0","1995.7791","1434.4014"
"SEN","02/02/2021","3","2444.2071","0.0013","13.5045","1189.6368","17972.4754","196.9392","456.7214","789.6622","0","1774.1624","1439.0833"
"SEN","02/02/2021","4","2408.36","0.0012","15.6352","1188.5858","17819.162","196.2522","466.6168","826.9426","0","1748.0174","1440.3538"
"SEN","02/02/2021","5","2290.1144","0.0012","11.6486","1176.1474","18029.3808","196.0402","469.9614","787.6494","0","1742.4946","1443.6937"
"SEN","02/02/2021","6","2192.244","0.0011","14.6914","1173.4266","18799.1533","197.58","471.8559","807.4909","0","1809.4553","1447.5781"
"SEN","02/02/2021","7","2172.7159","0.1934","7.5301","1172.7188","19363.8895","198.6167","472.0712","1488.9747","0","2115.2289","1454.4141"
"SEN","02/02/2021","8","2260.2046","83.7759","3.2362","1179.5055","19884.721","196.4897","471.3315","2552.022","0","2302.3525","1573.3513"
"SEN","02/02/2021","9","2266.7191","1316.1727","3.0742","1184.2779","19902.2824","192.9738","468.531","2908.8102","0","2319.6734","1618.3581"
"SEN","02/02/2021","10","2262.377","3484.3404","3.0531","1187.9211","19691.781","189.8376","465.5082","2585.8621","0","2039.8783","1621.2394"
"SEN","02/02/2021","11","2528.1826","4606.6735","4.3946","1032.936","19777.6947","188.2995","456.3026","2328.9661","0","1826.8822","1565.5953"
"SEN","02/02/2021","12","2723.6962","4897.0891","14.8569","980.5732","19620.1883","181.8782","461.1039","2336.3065","0","1791.9617","1585.2516"
"SEN","02/02/2021","13","2671.5869","4986.4886","20.2378","977.6235","19844.4424","186.4707","463.5539","2312.1495","0","1851.5881","1605.1532"
