"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: julio 2019"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/ago/2019 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/07/2019","1","2866.205","0","1.98","2084.4062","21194.979","380.825","579.7884","2209.7339","1456.7158","4673.9043","1550.8936"
"SEN","01/07/2019","2","2838.6738","0","1.98","2073.1456","20958.2702","378.8068","581.1254","1598.8791","1368.8872","4399.2042","1479.6744"
"SEN","01/07/2019","3","2719.6556","0","1.98","2078.2385","20544.8919","376.6427","581.6008","1180.9086","1411.8505","4352.5356","1422.8718"
"SEN","01/07/2019","4","2878.2292","0","1.9848","1974.0213","20251.962","374.175","581.7088","658.0435","1429.0445","4360.6875","1516.9824"
"SEN","01/07/2019","5","2688.5095","0","1.99","2098.7074","19968.0651","372.353","580.1717","735.4858","1440.6241","4267.8629","1583.1114"
"SEN","01/07/2019","6","2504.791","0.0554","1.984","2142.6576","20093.1868","371.5083","578.7317","1011.338","1444.2635","4154.6923","1618.2789"
"SEN","01/07/2019","7","2253.0827","13.7169","1.9807","2189.1201","20898.1859","375.4166","579.5719","1050.3599","1457.6314","4417.1869","1962.931"
"SEN","01/07/2019","8","2327.4931","186.7278","1.98","2242.3313","21134.0638","380.5786","578.0802","1455.9987","1473.0255","4447.247","2088.8825"
"SEN","01/07/2019","9","2053.143","1346.8069","1.98","2478.5903","20891.6114","375.8472","578.5058","1960.1535","1482.7571","4599.897","2183.5935"
"SEN","01/07/2019","10","1878.3834","2757.9384","1.98","2999.8895","20462.0737","366.8707","576.1665","1995.3496","1488.3261","5037.8181","2194.1529"
"SEN","01/07/2019","11","2014.5314","3155.8087","1.9815","3136.6294","20528.6788","365.7118","576.6289","2028.0942","1500.7737","5313.4299","2201.4554"
"SEN","01/07/2019","12","2069.9838","3245.6265","1.983","3148.6491","20762.7613","366.9626","574.8594","2758.0278","1511.2454","5492.3008","2054.5361"
"SEN","01/07/2019","13","2393.4436","3190.4572","1.983","3133.7142","20536.7215","365.7831","574.5898","3078.7772","1521.1104","5848.5907","2012.2383"
"SEN","01/07/2019","14","2550.7223","3092.9794","1.983","2998.5149","20326.1573","369.4047","573.7416","3876.1789","1522.0751","5862.3469","2031.2737"
"SEN","01/07/2019","15","2663.2741","2789.9586","1.9981","2979.1168","20285.0121","369.6753","570.356","4478.2297","1521.0012","5800.7878","2149.5224"
"SEN","01/07/2019","16","2630.2851","2619.6327","1.9886","3110.2926","20599.4126","369.1586","561.7286","4847.4103","1523.1813","5929.1179","2264.9148"
"SEN","01/07/2019","17","2496.2389","2577.0446","1.9934","3110.8255","20548.0861","368.6243","566.7906","5158.241","1521.3689","5968.262","2273.9957"
"SEN","01/07/2019","18","2629.7859","1980.1103","1.9821","3091.1302","20531.3955","368.7685","561.7415","5280.2772","1519.8681","6023.156","2255.4738"
"SEN","01/07/2019","19","2725.8757","1325.9713","1.9793","3087.0387","20575.2293","370.2319","563.9027","4397.3815","1517.5285","5988.1435","2255.9601"
"SEN","01/07/2019","20","2520.0067","1151.9928","1.9848","3031.1439","20891.9583","372.5391","568.4974","3544.2375","1516.5209","6188.4129","2275.6091"
"SEN","01/07/2019","21","2358.0117","266.628","1.986","3043.7248","21264.5711","375.2004","573.9899","4571.9494","1517.3941","6178.3935","2310.9691"
"SEN","01/07/2019","22","2348.6673","8.2043","1.986","3110.4946","21361.3645","376.6137","578.8887","5655.0028","1518.8034","6121.0166","2371.0861"
"SEN","01/07/2019","23","2378.3763","0.0005","1.9773","3100.5761","21302.8686","377.615","581.3705","5744.7039","1520.9247","6115.2512","2329.189"
"SEN","01/07/2019","24","2170.8493","0","1.9789","3080.4926","20856.9119","375.9912","579.9201","5346.6141","1524.0071","6032.383","2171.3249"
"SEN","02/07/2019","1","2294.2496","0","1.986","3079.6078","20913.4735","374.341","579.2562","3354.179","1526.3329","5943.2704","1955.4783"
"SEN","02/07/2019","2","2234.669","0","1.9856","3096.5735","20944.4312","375.4906","576.5411","2153.2503","1529.5544","5965.5288","1889.8157"
