"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: junio 2022"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/jul/2022 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/06/2022","1","2128.2777","0.0065","2.2615","1579.626","24034.9701","259.6978","510.277","7152.9997","1490.13","3631.4827","1534.4262"
"SEN","01/06/2022","2","1892.3959","0","2.0727","1575.5293","24262.7719","256.2813","526.1751","5813.5957","1492.3448","3637.2343","1555.4323"
"SEN","01/06/2022","3","1673.9005","0","1.5782","1577.2159","24507.7906","257.0903","538.6958","4498.8055","1494.6216","3660.026","1565.5829"
"SEN","01/06/2022","4","1504.2618","0","2.7455","1581.6411","23897.9971","258.1645","540.3624","4446.2747","1495.7663","3631.9569","1560.0407"
"SEN","01/06/2022","5","1450.6031","0.0002","2.5434","1589.8972","23668.3558","221.9992","540.7341","4434.5455","1495.031","3633.4932","1555.1129"
"SEN","01/06/2022","6","1472.1386","0.1925","2.5487","1576.8322","23555.0115","204.2485","555.5255","4216.9201","1494.4995","3645.5117","1550.3435"
"SEN","01/06/2022","7","1427.6446","14.7641","2.6279","1572.2501","24296.3367","216.9931","567.8132","4139.7892","1494.0426","3642.4987","1555.6915"
"SEN","01/06/2022","8","1319.831","491.232","2.6889","1567.9964","24763.52","303.1052","566.701","3450.5779","1493.3774","3674.0097","1574.1251"
"SEN","01/06/2022","9","1042.0141","2989.7991","2.4659","1477.8257","24567.3083","210.4404","564.8129","3244.2589","1493.0709","3701.3122","1588.1572"
"SEN","01/06/2022","10","1097.8226","4881.8163","2.5868","1381.701","23590.6037","205.643","554.9408","3471.8958","1492.5496","3776.4877","1538.7533"
"SEN","01/06/2022","11","1122.1842","5384.0266","2.5622","1389.8592","23557.1162","207.125","552.336","3694.0315","1490.5756","3779.7517","1553.9314"
"SEN","01/06/2022","12","1014.6488","5441.3153","2.6072","1400.6485","24038.4577","223.881","553.5738","3953.2657","1488.7278","3828.7785","1551.1249"
"SEN","01/06/2022","13","1108.896","5503.5107","2.8136","1440.201","24025.1954","307.4043","554.4062","4061.5014","1485.8183","3946.2984","1545.7556"
"SEN","01/06/2022","14","1384.4863","5476.5673","3.0102","1448.3752","24025.0613","302.9371","554.3836","4714.0335","1488.6239","3803.1882","1512.854"
"SEN","01/06/2022","15","1916.3777","5370.9864","3.2378","1481.632","23865.9739","210.3647","553.796","5279.6389","1482.6587","3821.7847","1498.9066"
"SEN","01/06/2022","16","2215.5462","5085.9821","3.5736","1499.3921","23970.2424","214.9569","552.3908","5757.0506","1477.8674","3868.0067","1520.2623"
"SEN","01/06/2022","17","2220.1401","4874.46","3.2735","1545.0115","24150.9498","296.6067","562.0888","5891.3056","1474.546","4043.1174","1530.1402"
"SEN","01/06/2022","18","2411.7946","4355.7867","3.3926","1629.2738","24178.4193","301.393","562.06","5771.6058","1482.5374","4100.1267","1528.6302"
"SEN","01/06/2022","19","2392.4915","3700.2015","3.9799","1793.9407","24095.1951","212.5403","562.6258","5274.2761","1485.0507","4414.2326","1567.1764"
"SEN","01/06/2022","20","2546.7188","2111.6111","3.3769","2024.1531","24338.8884","239.2709","563.7619","5572.9359","1486.0858","4416.3533","1608.2139"
"SEN","01/06/2022","21","2580.9957","427.0967","3.2997","2017.5284","24675.2985","317.8307","564.5308","6453.1147","1487.6137","4919.5417","1856.0569"
"SEN","01/06/2022","22","2361.1966","5.1284","3.2183","1898.6615","25321.368","316.6033","564.5757","6738.3637","1489.3448","5112.4379","2272.9068"
"SEN","01/06/2022","23","2086.8761","0","3.1083","1909.5454","25708.8439","325.1656","565.182","7113.7009","1491.6279","4322.0158","2171.8195"
"SEN","01/06/2022","24","2041.4757","0","3.0827","1715.9035","25755.9811","310.7255","564.219","6331.2026","1493.8605","4018.9859","2129.1881"
"SEN","02/06/2022","1","1848.5741","0","2.7461","1453.1749","25659.174","215.4069","566.5706","5557.8217","1496.7285","3578.9371","2015.1927"
"SEN","02/06/2022","2","1846.6655","0","2.6324","1534.3911","25386.5421","212.8006","566.2146","4520.2275","1498.7783","3526.4677","1656.9618"
"SEN","02/06/2022","3","1650.327","0","2.5284","1544.0106","24853.4169","213.7098","565.4373","3934.8753","1498.123","3528.9814","1629.0973"
"SEN","02/06/2022","4","1509.4378","0","2.2936","1542.8832","24226.5392","213.0804","565.6046","3928.3785","1498.1161","3530.7746","1636.7284"
"SEN","02/06/2022","5","1287.2555","0","1.9481","1546.9295","23765.2578","215.6533","567.0711","4015.0003","1499.4107","3517.1653","1637.2485"
"SEN","02/06/2022","6","1135.4692","0.199","1.925","1544.9716","23914.59","216.6119","567.9945","4082.222","1500.2805","3519.576","1548.9729"
"SEN","02/06/2022","7","845.6728","16.0764","1.8553","1540.0947","24220.5756","217.9524","567.8142","4644.7282","1497.7221","3529.656","1502.0871"
"SEN","02/06/2022","8","736.3933","298.8723","1.8447","1543.9426","24678.9239","216.1034","564.2568","4604.1583","1495.9513","3601.0946","1547.482"
"SEN","02/06/2022","9","671.0291","2547.8248","1.8399","1535.6496","24732.1546","215.5465","556.5027","3731.7656","1496.2805","3639.4632","1541.9928"
"SEN","02/06/2022","10","557.8731","4375.0865","2.2521","1530.1913","24281.0952","212.553","539.4194","3691.7835","1495.892","3670.1913","1533.659"
"SEN","02/06/2022","11","595.5661","4971.6399","2.3578","1541.1675","23816.3919","213.3026","533.4253","4249.2948","1495.2318","3570.1643","1540.9523"
"SEN","02/06/2022","12","758.8848","5363.7318","2.2999","1524.6125","23646.6269","212.9917","533.5887","4901.0375","1494.2178","3456.6714","1550.1899"
"SEN","02/06/2022","13","874.6097","5532.5101","2.2906","1531.2453","23171.7659","211.1794","545.437","5511.0854","1493.3807","3444.1042","1602.4489"
"SEN","02/06/2022","14","1110.0109","5451.46","2.4323","1518.9246","23253.1762","210.5007","548.2144","5853.3479","1490.9384","3461.8511","1652.693"
"SEN","02/06/2022","15","1053.5964","5164.8403","2.6444","1547.6765","24138.4978","210.2483","550.0925","6095.6036","1489.4494","3415.2097","1623.3539"
"SEN","02/06/2022","16","1179.8533","5148.0185","2.6412","1556.7691","24346.2871","210.7821","550.3619","6662.8477","1488.2888","3300.158","1615.4578"
"SEN","02/06/2022","17","1612.0985","4763.5049","2.525","1557.348","24368.6167","213.3577","551.3652","7005.022","1485.969","3296.6121","1635.4377"
"SEN","02/06/2022","18","2089.2075","4426.5482","2.5204","1552.001","24371.6741","210.9011","551.4561","6276.7005","1483.3743","3305.5646","1702.7514"
"SEN","02/06/2022","19","2132.2885","3899.6248","2.6514","1693.6403","24921.0189","211.3312","548.9636","5254.7384","1482.4753","3255.5366","1777.0039"
