"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: marzo 2020"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/abr/2020 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/03/2020","1","4239.0454","0.024","18.0911","1511.0698","17229.6407","342.038","559.2032","770.5682","1564.1854","1629.6531","1420.4263"
"SEN","01/03/2020","2","4149.6613","0.024","16.0667","1395.3957","16192.3501","335.8785","560.4095","780.6042","1561.7157","1608.3","1419.9952"
"SEN","01/03/2020","3","3973.9106","0","17.9277","1400.8839","15469.3131","329.382","560.7943","756.621","1562.4039","1612.851","1419.1172"
"SEN","01/03/2020","4","3705.6587","0","16.8632","1411.8221","15058.064","325.2533","562.0767","758.0261","1563.4268","1620.1467","1422.4146"
"SEN","01/03/2020","5","3530.4446","0","14.3413","1412.2577","14962.8134","325.2394","561.5177","811.9964","1564.5905","1618.7342","1426.2206"
"SEN","01/03/2020","6","3459.299","0","17.5051","1411.7578","15053.7763","327.6232","561.9159","866.5479","1565.3921","1620.8168","1430.837"
"SEN","01/03/2020","7","3428.0549","2.659","19.167","1403.1068","14731.9688","330.9979","563.6301","1256.3587","1565.6588","1622.4011","1432.3053"
"SEN","01/03/2020","8","3318.5106","315.9454","18.4815","1400.4747","14395.462","327.5725","566.9325","1248.0611","1566.0745","1615.6403","1430.597"
"SEN","01/03/2020","9","2970.6169","1986.6359","18.4229","1393.484","14060.6344","325.1593","564.6044","882.0067","1565.8407","1652.8997","1421.4571"
"SEN","01/03/2020","10","2755.1215","3194.8799","16.7699","1388.3753","13841.4479","326.5231","561.6362","1048.3279","1566.5252","1756.8899","1416.5983"
"SEN","01/03/2020","11","2507.8563","3784.1585","17.6249","1393.9185","14221.7211","319.0265","557.0868","1160.8355","1566.1419","1808.9321","1428.0736"
"SEN","01/03/2020","12","2144.9086","4078.1","14.584","1392.0726","14348.3512","321.8553","556.5783","1659.5745","1565.8969","1799.2521","1416.4596"
"SEN","01/03/2020","13","1999.2786","4039.8786","13.9186","1397.1037","14706.94","330.8912","561.7065","1773.074","1564.7005","1795.2851","1407.5616"
"SEN","01/03/2020","14","1758.1298","4160.908","16.5327","1397.9701","15058.7212","309.7815","565.0225","1573.5144","1562.2848","1800.6734","1430.558"
"SEN","01/03/2020","15","1828.8033","3990.6925","15.8394","1395.5072","15452.8137","273.0645","563.3394","1542.669","1559.5475","1806.2938","1448.7618"
"SEN","01/03/2020","16","1949.2555","3933.6552","15.2543","1388.5899","15774.8185","269.2251","564.775","1223.1733","1556.7751","1803.9428","1489.2208"
"SEN","01/03/2020","17","2149.7579","3371.043","16.9762","1390.0107","16122.0263","288.6261","563.9193","1451.9402","1555.9181","1793.963","1502.8168"
"SEN","01/03/2020","18","2302.3199","2053.0848","18.9706","1389.0049","17058.413","315.0744","562.6642","1792.5174","1556.6681","1790.2037","1513.6519"
"SEN","01/03/2020","19","2379.741","346.2072","19.5406","1695.3455","19227.7467","325.6657","564.7235","2060.6747","1558.2947","1821.623","1540.9544"
"SEN","01/03/2020","20","2364.3321","3.0419","18.2831","2139.7709","20731.6107","325.8051","566.7725","3307.4548","1558.6445","1885.2671","1517.6217"
"SEN","01/03/2020","21","2349.6972","0.0001","19.3037","2152.204","21027.9508","324.805","566.5575","3508.7577","1560.4745","1862.8367","1566.4362"
"SEN","01/03/2020","22","2452.8994","0.0002","18.749","2124.3921","21008.732","313.0587","568.6713","2780.5224","1562.5312","1831.4852","1546.0225"
"SEN","01/03/2020","23","2498.1848","0.0007","18.9458","1620.368","20757.0589","287.8928","570.7397","1957.1465","1563.4995","1743.3299","1512.8795"
"SEN","01/03/2020","24","2435.3362","0.0007","20.2311","1396.0794","19726.3418","273.6825","570.8755","1137.8226","1564.7755","1709.4972","1503.076"
"SEN","02/03/2020","1","2344.7265","0.0011","19.319","1391.7924","18327.8901","268.785","591.7692","847.9614","1565.5901","1704.5926","1501.4692"
"SEN","02/03/2020","2","2246.853","0.0007","18.8572","1393.1986","17424.0519","264.6734","592.3875","778.2653","1566.4643","1699.6213","1505.0313"
