"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: mayo 2019"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/jun/2019 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/05/2019","1","1783.6324","0","8.0673","2238.6848","18062.3412","364.5339","602.7119","5590.5896","772.537","5741.9319","1547.1622"
"SEN","01/05/2019","2","1703.1735","0","3.1363","2238.7022","17773.6335","360.4272","605.9918","4411.7824","773.2919","5791.8915","1550.283"
"SEN","01/05/2019","3","1664.2992","0","2.4414","2224.245","17840.7751","358.1024","606.1278","3238.4419","773.7951","5762.5758","1689.8848"
"SEN","01/05/2019","4","1629.999","0","2.2764","2234.6396","17882.3777","361.5264","605.8352","2621.5398","774.5225","5716.6219","1594.6536"
"SEN","01/05/2019","5","1569.4589","0","2.2889","2241.8197","17951.7373","361.0098","606.279","2119.5076","774.9677","5699.0382","1475.274"
"SEN","01/05/2019","6","1476.4475","0","3.0105","2190.5829","17782.549","362.2998","605.8134","1894.6229","775.4234","5742.4766","1472.238"
"SEN","01/05/2019","7","1383.5204","9.1653","4.0213","2157.9223","17661.0312","363.7697","606.1962","1737.5339","775.5949","5647.8534","1474.2941"
"SEN","01/05/2019","8","1344.75","133.3307","4.4863","2133.4311","17629.8507","362.2376","606.1701","1385.7728","775.5779","5679.217","1427.2646"
"SEN","01/05/2019","9","1355.654","1246.8176","4.3642","2093.1447","17573.5692","365.0604","603.0362","1144.3916","775.5468","5654.496","1414.4855"
"SEN","01/05/2019","10","1337.8762","2269.3642","3.8987","2073.0261","17058.2628","364.141","600.0119","1225.5387","775.4441","5619.0102","1704.6158"
"SEN","01/05/2019","11","1327.5754","2511.1693","3.9752","2092.9173","17020.9169","358.694","597.9381","2033.1642","775.179","5599.6432","1742.1506"
"SEN","01/05/2019","12","1269.7022","2546.032","3.5265","2138.9799","17234.9196","351.9235","594.5016","2533.0906","774.6131","5629.6222","1775.0956"
