"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: noviembre 2019"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/dic/2019 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/11/2019","1","2421.1476","0","4.0246","1542.8929","17999.8476","390.932","547.0798","1726.7466","1555.2884","3537.7042","1435.5659"
"SEN","01/11/2019","2","2232.6737","0","4.025","1509.284","17498.4248","388.0198","545.6302","1188.5722","1555.3625","3473.0685","1422.679"
"SEN","01/11/2019","3","2034.5846","0","4.0248","1540.8085","17643.2714","382.6931","545.9658","701.0821","1555.3982","3490.6038","1422.4794"
"SEN","01/11/2019","4","1873.5999","0","4.0228","1535.0916","17043.1448","390.2783","546.765","969.1426","1556.5626","3479.9384","1411.7929"
"SEN","01/11/2019","5","1713.9104","0","4.0236","1536.6835","17526.5363","388.8337","547.066","983.6575","1557.1926","3487.9646","1413.7445"
"SEN","01/11/2019","6","1755.2069","0","4.0234","1523.2935","18055.9844","387.8066","546.8778","1022.8836","1557.8702","3461.5497","1428.037"
"SEN","01/11/2019","7","1853.8211","4.6207","4.0182","1512.6293","18615.6385","391.6442","547.5818","1482.5291","1558.4656","3547.1422","1431.3867"
"SEN","01/11/2019","8","1882.0914","284.8735","3.7355","1519.6002","18911.1221","381.227","545.9058","1407.3985","1558.6376","3730.5835","1435.1457"
"SEN","01/11/2019","9","1890.9604","1575.3771","4.0097","1534.6307","18687.6226","382.9802","545.7161","1437.6814","1558.3425","3727.5759","1463.1216"
"SEN","01/11/2019","10","1982.759","2681.563","4.0039","1519.1397","18327.9358","369.395","537.7119","1657.8271","1558.6725","3689.1952","1487.2268"
"SEN","01/11/2019","11","2102.7044","3209.3088","3.9988","1525.7917","17779.3266","374.1453","544.3904","1927.4588","1558.0919","3639.2733","1517.6957"
"SEN","01/11/2019","12","2108.8376","3376.2893","4.0247","1526.8903","17755.8119","376.3489","544.8331","2499.5051","1558.0525","3631.1536","1507.0588"
