"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: octubre 2022"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/nov/2022 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/10/2022","1","2350.9823","0.0194","2.9481","1381.1605","22628.8443","268.1752","450.1017","6258.4758","772.0538","2387.6819","1593.4773"
"SEN","01/10/2022","2","2198.0428","0.0088","2.9451","1384.8762","22024.0689","268.1254","450.1807","5911.4597","772.1547","2108.8865","1493.8007"
"SEN","01/10/2022","3","2276.8207","0.0073","2.9485","1376.7305","21348.6234","268.3367","450.0165","5501.3933","771.9541","1963.3609","1460.5326"
"SEN","01/10/2022","4","2118.5245","0.0039","2.9506","1375.022","20924.2385","215.6984","450.057","5438.7851","772.0191","1922.7935","1443.0981"
"SEN","01/10/2022","5","1735.0665","0.0039","2.9523","1369.0458","21236.8053","213.2881","450.2149","5262.8108","771.8916","1924.2352","1301.1627"
"SEN","01/10/2022","6","1483.6395","0.0039","2.9513","1372.029","21326.6","212.5841","450.5711","5173.0559","772.2795","1927.0565","1259.4562"
"SEN","01/10/2022","7","1537.8938","0.2285","2.9577","1347.3189","21060.8192","205.4758","450.5876","5494.3296","772.2893","1916.4351","1277.6823"
"SEN","01/10/2022","8","1338.557","72.1809","2.9574","1334.4107","20695.2128","202.6776","443.9596","6393.9225","772.2693","1877.2647","1331.4886"
"SEN","01/10/2022","9","1158.3898","1430.1643","2.9636","1352.4907","20124.2117","198.6677","447.5648","6180.7092","772.4359","1850.5265","1381.7512"
"SEN","01/10/2022","10","1098.2538","3555.1615","2.956","1387.0079","20129.9924","193.5402","446.9489","5211.7257","771.8501","1837.2948","1381.136"
"SEN","01/10/2022","11","1401.281","4368.1858","2.9548","1388.2282","20189.9582","187.1043","446.0368","4754.16","771.1487","1822.7179","1436.655"
"SEN","01/10/2022","12","1818.6691","4712.1165","2.9501","1349.665","20331.3426","188.7014","446.0949","4386.7912","770.5685","1821.0124","1472.8341"
"SEN","01/10/2022","13","2121.5269","4782.4866","2.9519","1370.7353","20676.4759","189.6998","447.3584","4129.3635","770.0492","1829.1274","1481.6081"
"SEN","01/10/2022","14","2317.0687","4828.5261","2.9469","1380.3003","20819.3401","188.5045","448.3844","4123.1044","769.3732","1832.1958","1482.3887"
"SEN","01/10/2022","15","2328.0337","4821.9873","2.9477","1370.9684","20826.5943","194.2105","448.0049","4024.1199","768.6635","1830.8273","1521.0385"
"SEN","01/10/2022","16","2211.0134","4530.2622","2.9488","1370.4813","21155.725","196.6792","447.652","4293.7315","768.6656","1890.8139","1528.3375"
"SEN","01/10/2022","17","2103.9867","4237.8873","2.949","1365.2209","21474.7165","196.3827","448.2368","4613.7827","768.8426","1904.5331","1535.3772"
"SEN","01/10/2022","18","1848.2862","3525.2983","2.9508","1433.7812","21775.5565","201.1647","448.5612","5353.041","769.1462","1951.809","1540.442"
"SEN","01/10/2022","19","1917.2051","1763.8188","2.9551","1624.9088","21921.4957","210.5839","446.7752","6337.1379","769.4338","2195.2852","1553.1189"
"SEN","01/10/2022","20","2481.5973","270.4499","2.9515","1618.5947","22340.9245","213.6871","447.0193","7472.0923","769.8955","2395.9701","1880.2834"
"SEN","01/10/2022","21","2694.298","3.0071","2.953","1620.1582","22832.9103","215.1026","447.4547","7813.4427","769.9647","2447.9037","2218.2288"
"SEN","01/10/2022","22","2671.7536","0.0013","2.9541","1440.971","22778.5605","221.2161","448.3322","7906.3006","770.0332","2326.7506","1709.0274"
"SEN","01/10/2022","23","2494.9475","0.0012","2.9546","1354.3644","22685.8784","220.0673","449.2427","7287.6733","770.3345","2040.8845","1635.8918"
"SEN","01/10/2022","24","2268.1039","0.0021","2.9564","1360.2795","21645.1981","220.3578","448.9577","6972.4588","770.1999","1823.6238","1596.1462"
"SEN","02/10/2022","1","2094.8627","0","2.9325","1353.2464","20384.1373","216.216","448.9154","6861.5231","770.3066","1835.1363","1557.6705"
"SEN","02/10/2022","2","1890.5821","0","2.9326","1351.2401","19188.9029","216.394","449.3409","6742.8163","770.3877","1907.6221","1437.3013"
"SEN","02/10/2022","3","1769.7719","0","2.9348","1324.2673","18859.6733","216.3545","449.6646","6335.266","770.2487","1883.7163","1366.995"
"SEN","02/10/2022","4","1550.8728","0","2.9373","1318.214","18759.7982","216.3443","449.7431","5930.9476","770.2539","1824.1727","1347.3461"
"SEN","02/10/2022","5","1334.5722","0","2.9316","1335.389","19306.0375","215.2896","450.5267","5074.4248","770.2172","1821.2304","1333.4999"
"SEN","02/10/2022","6","1343.9386","0","2.9375","1335.8095","19715.3473","217.5644","450.238","4499.3822","770.4446","1794.3073","1298.9919"
"SEN","02/10/2022","7","1460.1762","0.2485","2.94","1345.0357","19699.9634","216.8111","450.3352","4163.8269","770.4708","1779.7808","1290.0034"
"SEN","02/10/2022","8","1499.5804","75.9173","2.9348","1348.1914","18933.961","219.1655","450.153","4625.432","770.7409","1802.5116","1303.5483"
"SEN","02/10/2022","9","1524.1697","1368.682","2.9323","1349.8435","18119.492","217.7762","448.9832","4037.5325","770.5851","1787.6944","1288.3733"
"SEN","02/10/2022","10","1543.6048","3477.9379","2.5614","1358.7804","17214.5704","206.6237","446.0274","3492.2845","770.625","1769.909","1277.9782"
"SEN","02/10/2022","11","1808.1174","4326.8687","2.0343","1330.5823","17008.4093","204.6333","445.3263","3256.3154","769.9729","1749.3325","1279.0161"
"SEN","02/10/2022","12","2214.1616","4629.9587","2.4965","1337.3382","16854.7584","204.8464","447.2786","3197.3966","769.6746","1785.8411","1374.8233"
"SEN","02/10/2022","13","2470.5102","4883.6102","2.5368","1316.7055","16742.1874","209.7111","447.1284","3446.4045","768.2996","1783.2134","1392.0333"
"SEN","02/10/2022","14","2537.5252","4800.4556","2.9152","1364.6242","17117.6214","210.7944","446.8309","3426.7485","767.3397","1757.383","1395.6261"
"SEN","02/10/2022","15","2643.1697","4630.5138","2.9105","1348.9922","17107.3725","210.3783","446.7859","3740.7286","766.0464","1797.3213","1407.1388"
"SEN","02/10/2022","16","2631.9693","4597.0949","2.8961","1359.0715","17006.4422","214.5309","446.6707","4187.2456","765.7074","1880.7348","1399.5218"
"SEN","02/10/2022","17","2482.974","4192.8096","2.8785","1366.5893","16995.1069","218.6631","447.0911","5289.6307","766.2439","1885.3987","1436.8754"
"SEN","02/10/2022","18","2385.6585","3367.4481","2.1682","1365.5582","17557.6894","218.2345","445.1138","6135.5656","765.7988","1896.4469","1505.6452"
"SEN","02/10/2022","19","2176.6795","1740.5485","2.1689","1357.8012","19349.1031","217.9178","443.7084","6531.7688","766.5658","1946.9344","1574.8395"
"SEN","02/10/2022","20","2157.5923","296.004","2.1781","1499.2638","21188.6876","218.175","445.2206","7365.9341","766.5863","2260.1037","1683.6035"
"SEN","02/10/2022","21","2256.3743","0.8579","2.179","1597.9651","21747.2406","217.9672","445.8881","7956.6114","766.9923","2337.0583","2185.61"
"SEN","02/10/2022","22","2291.4064","0.0132","2.1891","1592.4523","22047.7393","219.0251","446.0736","7836.4349","767.2891","2265.9511","1857.0991"
"SEN","02/10/2022","23","2067.6169","0","2.1963","1596.414","22591.6338","218.4849","447.5671","6977.6708","767.8835","2257.0598","1613.5157"
"SEN","02/10/2022","24","1900.5227","0","1.7547","1493.2213","22711.5347","216.4546","448.1829","5515.1097","767.9827","2125.1367","1529.5298"
"SEN","03/10/2022","1","1984.9006","0","0.9257","1335.67","21702.1516","220.8548","448.009","5323.6549","768.1756","1679.4441","1481.5739"
"SEN","03/10/2022","2","2049.147","0","0.9334","1329.4912","20810.332","217.5312","449.233","4986.0641","768.1362","1598.8524","1361.2623"
"SEN","03/10/2022","3","2078.7749","0","0.9467","1360.869","20508.1969","186.7083","447.7833","4266.1769","768.4812","1605.3758","1353.6841"
"SEN","03/10/2022","4","2157.9416","0","0.9467","1364.6311","19966.0198","183.917","447.5097","4057.9977","768.6907","1595.019","1313.7415"
"SEN","03/10/2022","5","1882.019","0","0.9538","1353.0638","20136.9725","184.1462","448.4451","4216.0435","768.7829","1575.29","1295.8164"
"SEN","03/10/2022","6","1746.601","0","0.9594","1367.9649","20819.6409","183.875","447.8768","4234.1872","769.1029","1583.1677","1287.2109"
"SEN","03/10/2022","7","1620.5517","0.2712","0.9583","1375.2638","22232.9235","184.1552","445.5409","4579.6067","768.8606","1608.3234","1318.7734"
"SEN","03/10/2022","8","1780.0321","74.3975","0.9598","1371.5245","22791.0356","183.7098","435.1434","5176.8681","769.067","1625.8046","1421.3159"
"SEN","03/10/2022","9","1751.4609","864.2587","1.5553","1366.6708","22905.966","183.9861","431.2996","5796.5286","769.4545","1657.1566","1496.0443"
"SEN","03/10/2022","10","1737.8637","2475.7419","1.6311","1366.6767","22943.9157","181.7165","429.3588","5290.0608","769.1736","1620.6873","1484.5311"
"SEN","03/10/2022","11","2031.4513","3530.0252","1.0808","1371.8466","22702.6489","181.5378","431.3212","5008.5666","769.2197","1789.7406","1505.9224"
"SEN","03/10/2022","12","2462.2152","3934.9187","1.6245","1438.8403","22290.5726","180.6672","432.457","4829.1735","768.7279","1977.1177","1586.0992"
"SEN","03/10/2022","13","2609.71","4145.93","1.6314","1457.2361","22141.2479","181.2072","431.3083","4998.8841","767.7587","2006.0336","1609.5338"
"SEN","03/10/2022","14","2598.1828","4204.3695","1.6272","1388.3168","21978.5576","180.8588","430.6171","5396.2063","766.8586","2002.2676","1655.9801"
"SEN","03/10/2022","15","2703.4987","3832.4061","1.6015","1368.1145","22169.2496","193.6466","430.7772","5967.3899","766.2784","2007.6991","1652.237"
"SEN","03/10/2022","16","2664.806","3602.605","1.6014","1379.2674","22906.8984","204.2561","431.958","6215.8531","765.6541","2026.2875","1633.4567"
"SEN","03/10/2022","17","2696.9625","2986.8689","1.602","1382.2495","23385.7032","202.596","427.8953","6575.6456","765.5999","2017.4934","1667.375"
"SEN","03/10/2022","18","2596.014","2445.2977","1.2255","1388.4098","23432.7276","218.2733","412.0071","6872.9609","765.2051","1973.7156","1688.3411"
"SEN","03/10/2022","19","2190.5201","1438.6908","2.0943","1458.2292","22990.2136","219.1368","423.3847","7904.2566","765.2982","2121.4604","1774.1154"
"SEN","03/10/2022","20","2180.9396","284.135","2.5141","1511.9762","23749.3953","219.6802","437.3511","8245.7229","766.1294","2384.2076","2065.6506"
"SEN","03/10/2022","21","2253.016","0.7674","2.4143","1439.2831","24208.5604","221.1726","449.0107","8753.5249","766.2076","2625.1902","2171.1902"
"SEN","03/10/2022","22","2228.583","0","2.418","1432.2242","24585.0156","221.821","447.0346","7863.934","766.9547","2670.8728","2247.4109"
"SEN","03/10/2022","23","2216.7786","0","2.0069","1447.3116","24642.4224","220.4339","447.9871","6758.1086","767.0334","2679.1103","2138.3166"
