"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: septiembre 2021"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/oct/2021 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/09/2021","1","2545.3192","0","2.3494","530.2354","24170.4321","272.3084","486.7178","5410.7333","1546.0903","3432.8254","2125.726"
"SEN","01/09/2021","2","2594.7879","0","2.3503","527.9627","23496.7253","270.4416","484.6088","4669.9801","1548.1687","3365.4518","2104.6414"
"SEN","01/09/2021","3","2519.7625","0","2.3506","521.0215","23359.3336","270.3418","487.9976","3729.194","1549.2505","3330.3566","2101.2461"
"SEN","01/09/2021","4","2384.2739","0","2.3506","536.9592","22979.3609","273.6525","489.565","3669.8411","1549.7165","3341.8901","2079.3389"
"SEN","01/09/2021","5","2085.492","0","2.3512","538.2522","22652.6546","271.5329","489.5304","3695.5787","1550.2535","3354.3814","2062.7912"
"SEN","01/09/2021","6","1744.5944","0","2.3512","539.2367","22630.4358","272.9196","488.8716","4080.6328","1550.4565","3306.7212","2021.2514"
"SEN","01/09/2021","7","1653.421","1.6678","2.3512","533.7915","22862.9128","271.6402","488.3125","4423.1137","1550.6271","3298.0048","2017.296"
"SEN","01/09/2021","8","1607.4057","58.1663","2.3707","533.9588","22936.3211","270.1791","486.8282","5279.433","1550.4198","3337.095","2010.6235"
"SEN","01/09/2021","9","1517.8358","993.6961","3.0538","531.639","22060.5331","270.5256","487.0457","6190.2023","1550.132","3405.9276","2018.2475"
"SEN","01/09/2021","10","1740.2456","2620.4654","2.9065","535.4432","21480.1825","270.9029","485.5293","6347.8702","1549.9156","3388.7683","2008.6104"
"SEN","01/09/2021","11","1759.2223","3975.2178","2.9491","534.7789","21138.1792","266.6915","483.9264","6259.1755","1547.7116","3384.7084","2013.6215"
"SEN","01/09/2021","12","1637.222","4136.2912","2.9904","417.5265","22376.0298","267.2912","482.1258","5745.1199","1547.0218","3478.4658","2052.6202"
"SEN","01/09/2021","13","1666.5834","4582.0076","2.9876","342.4785","22994.8478","267.6952","482.4944","5292.292","1545.6813","3960.3827","2019.6789"
"SEN","01/09/2021","14","1669.1689","4448.782","2.9864","340.6213","23205.357","267.8502","482.437","5122.0259","1542.9048","4623.9865","2046.515"
"SEN","01/09/2021","15","1810.2852","4284.9846","2.9698","363.3177","23613.7996","267.466","484.9619","5103.2565","1540.7168","4693.5548","2042.2663"
"SEN","01/09/2021","16","2002.8568","4264.1633","2.9839","399.4232","23822.3061","269.3344","484.0402","5167.0428","1539.5403","4664.243","2058.9947"
"SEN","01/09/2021","17","2274.0525","3670.5667","2.9909","335.9517","24358.8179","269.3479","483.4035","5315.4056","1538.4255","4623.7171","2072.3821"
"SEN","01/09/2021","18","2304.9736","2531.6296","2.9936","361.7274","24333.0286","268.4576","483.3978","5949.7146","1537.5378","4626.3547","2132.0936"
"SEN","01/09/2021","19","2355.2006","1745.0783","2.9943","426.5364","24440.6464","268.6086","484.7322","5871.9168","1536.5502","4626.932","2212.1242"
"SEN","01/09/2021","20","2524.2571","770.2438","2.3624","522.9969","24571.5019","268.6534","485.8902","5920.0911","1535.9352","4649.6411","2264.1317"
"SEN","01/09/2021","21","2603.4846","72.9485","2.3428","537.965","24907.6952","268.682","486.1909","7805.8325","1535.9298","4590.2579","2222.3156"
"SEN","01/09/2021","22","2635.7181","0.0002","2.3449","533.7281","25165.8326","270.3935","486.2478","8642.4393","1536.6571","3622.236","2228.2822"
"SEN","01/09/2021","23","2836.534","0.0002","2.3465","533.7092","24540.006","270.6293","486.0275","8509.2729","1537.2796","3421.8182","2227.4102"
"SEN","01/09/2021","24","2750.8166","0.0002","2.3476","534.5933","23948.7952","271.0369","485.1836","7631.151","1537.6991","3379.8352","2230.3587"
"SEN","02/09/2021","1","2668.4951","0","2.3494","533.0663","23678.2066","269.4083","485.4569","6230.1424","1539.3094","3327.1273","2154.8226"
"SEN","02/09/2021","2","2430.4071","0","2.3503","530.5098","23366.5758","269.7769","485.8398","5299.1621","1541.2102","3325.2992","2121.7514"
"SEN","02/09/2021","3","2162.5058","0","2.3506","521.9602","23395.0237","269.2991","486.8469","4487.7079","1542.6815","3260.2841","2117.594"
"SEN","02/09/2021","4","2033.469","0.0008","2.3506","518.7973","22916.8938","270.303","487.9918","4340.5505","1543.9393","3195.5272","2098.1566"
"SEN","02/09/2021","5","1872.1999","0.0024","2.3512","526.8379","23238.6758","268.1934","488.6442","3701.8416","1545.2867","3191.7766","2082.5679"
"SEN","02/09/2021","6","1691.3443","0.0032","2.3512","528.5548","23210.6933","268.4267","490.477","3700.0407","1546.169","3219.1729","2086.8408"
"SEN","02/09/2021","7","1749.2973","1.9536","2.3512","526.6009","22902.5286","267.1287","491.0928","4303.2272","1546.7063","3157.3863","2302.1359"
"SEN","02/09/2021","8","1661.2866","54.087","2.3684","524.9528","22867.4866","267.1059","487.9068","5470.8496","1546.1602","3081.5711","2316.3352"
"SEN","02/09/2021","9","1468.5701","1092.3804","2.8769","448.7933","22987.1386","265.9596","486.6726","5859.483","1544.3066","2889.6643","2338.6537"
"SEN","02/09/2021","10","1427.9113","3071.6833","2.9459","356.3666","22220.0529","267.3316","485.296","6101.1501","1543.9108","2804.9684","2402.3075"
"SEN","02/09/2021","11","1289.1661","4313.9399","2.9413","339.2228","22114.9517","266.006","483.9076","5996.6006","1544.231","2783.2158","2443.0813"
"SEN","02/09/2021","12","1338.6817","4887.8034","2.9358","336.6263","22514.7871","263.3677","482.5551","5460.3515","1544.1178","2865.7475","2432.0775"
"SEN","02/09/2021","13","1323.3584","4969.2811","2.9323","342.8708","22248.2149","263.5264","481.4708","6180.1595","1542.4399","2980.1152","2412.1484"
"SEN","02/09/2021","14","1375.7745","4966.2153","2.9312","344.0821","22472.2251","266.4203","481.3116","6385.4003","1542.4836","3047.4329","2415.7031"
"SEN","02/09/2021","15","1491.5754","4963.2424","2.9144","347.0976","22861.8399","264.923","481.2256","6465.771","1539.7403","3114.3046","2443.669"
"SEN","02/09/2021","16","1756.538","4751.9829","2.9284","343.2224","23259.8404","264.3609","478.8458","6520.0949","1538.3921","3141.2833","2453.195"
"SEN","02/09/2021","17","2458.7385","3725.3878","2.9356","345.7398","23474.1399","264.6446","479.2728","7199.556","1535.9423","3084.2271","2414.3751"
"SEN","02/09/2021","18","2750.0052","2496.9705","2.9391","346.7824","24039.6145","264.6847","481.5349","7138.1465","1535.4057","3069.4134","2527.1446"
"SEN","02/09/2021","19","2940.4743","1635.7852","2.939","346.2051","24560.8995","266.9488","482.4196","6475.3087","1535.4148","3201.7164","2653.9507"
"SEN","02/09/2021","20","3152.7083","778.2772","2.3729","309.791","24736.8212","268.8004","483.7233","6346.4297","1536.5772","3251.5914","2677.2028"
"SEN","02/09/2021","21","2981.3562","57.5663","2.3428","336.8967","25354.0496","273.9676","484.6655","7711.5099","1539.8323","3292.7808","2705.8587"
"SEN","02/09/2021","22","2844.7119","0.0008","2.3449","342.0899","25477.8135","326.6009","485.2386","7530.613","1542.4185","3305.534","2721.3937"
"SEN","02/09/2021","23","2794.1594","0","2.3465","341.8054","25342.3368","273.1505","486.0599","7146.3922","1544.1284","3272.5675","2693.0785"
"SEN","02/09/2021","24","2726.2635","0","2.3476","343.3244","24448.5918","270.3527","485.1868","6664.6555","1545.9738","3221.7332","2575.1304"
"SEN","03/09/2021","1","2562.8855","0","2.3494","339.3438","23559.037","271.1281","389.2134","6383.6214","1547.1921","3192.5224","2186.2874"
"SEN","03/09/2021","2","2224.5589","0","2.3503","341.2426","23109.7675","272.6149","386.6167","5896.689","1548.1044","3192.2606","2140.6905"
