price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06BER-115,2019-01-01,1,469.33,595.7,-77.84,-48.53
PML,MTR,SIN,06BER-115,2019-01-01,2,468.09,596.18,-78.15,-49.94
PML,MTR,SIN,06BER-115,2019-01-01,3,460.31,578.62,-75.58,-42.73
PML,MTR,SIN,06BER-115,2019-01-01,4,460.35,567.21,-69.36,-37.5
PML,MTR,SIN,06BER-115,2019-01-01,5,447.02,531.83,-60.98,-23.83
PML,MTR,SIN,06BER-115,2019-01-01,6,435.09,513.08,-58.01,-19.99
PML,MTR,SIN,06BER-115,2019-01-01,7,423.67,477.53,-48.13,-5.73
PML,MTR,SIN,06BER-115,2019-01-01,8,398.36,443.16,-44.81,0
PML,MTR,SIN,06BER-115,2019-01-01,9,387.81,430.99,-43.18,0
PML,MTR,SIN,06BER-115,2019-01-01,10,408.25,453.7,-45.45,0
PML,MTR,SIN,06BER-115,2019-01-01,11,437.61,508.13,-52.79,-17.74
PML,MTR,SIN,06BER-115,2019-01-01,12,442.25,519.18,-53.23,-23.7
PML,MTR,SIN,06BER-115,2019-01-01,13,442.11,516.25,-54.17,-19.97
PML,MTR,SIN,06BER-115,2019-01-01,14,441.57,518.6,-52,-25.03
PML,MTR,SIN,06BER-115,2019-01-01,15,446.02,517.96,-52.92,-19.02
PML,MTR,SIN,06BER-115,2019-01-01,16,443.11,520.88,-53.29,-24.49
PML,MTR,SIN,06BER-115,2019-01-01,17,454.24,525.68,-52.08,-19.36
PML,MTR,SIN,06BER-115,2019-01-01,18,462.64,534.95,-56.26,-16.05
PML,MTR,SIN,06BER-115,2019-01-01,19,516.4,613.8,-74.75,-22.66
PML,MTR,SIN,06BER-115,2019-01-01,20,562.4,647.81,-82.86,-2.56
PML,MTR,SIN,06BER-115,2019-01-01,21,678.59,848.78,-98.48,-71.71
PML,MTR,SIN,06BER-115,2019-01-01,22,643.96,801.56,-85.71,-71.9
PML,MTR,SIN,06BER-115,2019-01-01,23,540.5,657.98,-69.9,-47.58
PML,MTR,SIN,06BER-115,2019-01-01,24,486.25,605.59,-67.61,-51.73
PML,MTR,SIN,06BER-115,2019-01-02,1,475.07,564.84,-64.94,-24.83
PML,MTR,SIN,06BER-115,2019-01-02,2,463.97,544.76,-59,-21.79
PML,MTR,SIN,06BER-115,2019-01-02,3,451.36,535.87,-57.56,-26.96
PML,MTR,SIN,06BER-115,2019-01-02,4,447.66,535.41,-58,-29.75
PML,MTR,SIN,06BER-115,2019-01-02,5,455.92,546.03,-57.58,-32.53
PML,MTR,SIN,06BER-115,2019-01-02,6,465.93,564.46,-62.18,-36.35
PML,MTR,SIN,06BER-115,2019-01-02,7,488.67,617.62,-71.17,-57.78
PML,MTR,SIN,06BER-115,2019-01-02,8,796.67,1027.92,-105.76,-125.48
PML,MTR,SIN,06BER-115,2019-01-02,9,982.64,1279.68,-127.3,-169.75
PML,MTR,SIN,06BER-115,2019-01-02,10,1065.56,1368.46,-125.87,-177.04
PML,MTR,SIN,06BER-115,2019-01-02,11,1078.31,1388.85,-131.42,-179.12
PML,MTR,SIN,06BER-115,2019-01-02,12,1118.97,1459.43,-138.48,-201.98
PML,MTR,SIN,06BER-115,2019-01-02,13,1179.98,1399.31,-119.22,-100.11
PML,MTR,SIN,06BER-115,2019-01-02,14,1254.92,1376.9,-121.98,0
PML,MTR,SIN,06BER-115,2019-01-02,15,1211.87,1369.39,-127.64,-29.88
PML,MTR,SIN,06BER-115,2019-01-02,16,1145,1467.46,-142.68,-179.78
PML,MTR,SIN,06BER-115,2019-01-02,17,1166.63,1525.69,-153.18,-205.89
PML,MTR,SIN,06BER-115,2019-01-02,18,1217.88,1563.32,-147.81,-197.64
PML,MTR,SIN,06BER-115,2019-01-02,19,1547.18,1700.09,-152.91,0
PML,MTR,SIN,06BER-115,2019-01-02,20,1587.21,1739.69,-152.49,0
PML,MTR,SIN,06BER-115,2019-01-02,21,1616.14,1750.95,-134.81,0
PML,MTR,SIN,06BER-115,2019-01-02,22,1539.99,1659.75,-119.76,0
PML,MTR,SIN,06BER-115,2019-01-02,23,1522.89,1651.94,-129.05,0
PML,MTR,SIN,06BER-115,2019-01-02,24,1410.77,1535.34,-124.57,0
PML,MTR,SIN,06BER-115,2019-01-03,1,1142.85,1460.92,-145.93,-172.15
PML,MTR,SIN,06BER-115,2019-01-03,2,890.47,1143.83,-127.5,-125.86
PML,MTR,SIN,06BER-115,2019-01-03,3,768.28,972.58,-114.16,-90.14
PML,MTR,SIN,06BER-115,2019-01-03,4,649.13,797.57,-97.01,-51.43
PML,MTR,SIN,06BER-115,2019-01-03,5,671.96,844.49,-109.48,-63.06
PML,MTR,SIN,06BER-115,2019-01-03,6,691.29,907.6,-115.11,-101.2
