price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06CIS-115,2019-01-01,1,469.7,595.7,-78.03,-47.97
PML,MTR,SIN,06CIS-115,2019-01-01,2,468.56,596.18,-78.25,-49.37
PML,MTR,SIN,06CIS-115,2019-01-01,3,460.73,578.62,-75.66,-42.24
PML,MTR,SIN,06CIS-115,2019-01-01,4,460.98,567.21,-69.17,-37.07
PML,MTR,SIN,06CIS-115,2019-01-01,5,447.65,531.83,-60.63,-23.55
PML,MTR,SIN,06CIS-115,2019-01-01,6,435.71,513.08,-57.61,-19.76
PML,MTR,SIN,06CIS-115,2019-01-01,7,424.24,477.53,-47.63,-5.66
PML,MTR,SIN,06CIS-115,2019-01-01,8,398.32,443.16,-44.84,0
PML,MTR,SIN,06CIS-115,2019-01-01,9,387.88,430.99,-43.11,0
PML,MTR,SIN,06CIS-115,2019-01-01,10,408.38,453.7,-45.33,0
PML,MTR,SIN,06CIS-115,2019-01-01,11,437.8,508.13,-52.76,-17.58
PML,MTR,SIN,06CIS-115,2019-01-01,12,442.49,519.18,-53.22,-23.48
PML,MTR,SIN,06CIS-115,2019-01-01,13,442.23,516.25,-54.23,-19.78
PML,MTR,SIN,06CIS-115,2019-01-01,14,442.46,518.6,-51.4,-24.75
PML,MTR,SIN,06CIS-115,2019-01-01,15,446.7,517.96,-52.45,-18.8
PML,MTR,SIN,06CIS-115,2019-01-01,16,443.83,520.88,-52.84,-24.21
PML,MTR,SIN,06CIS-115,2019-01-01,17,454.73,525.68,-51.8,-19.14
PML,MTR,SIN,06CIS-115,2019-01-01,18,462.71,534.95,-56.37,-15.87
PML,MTR,SIN,06CIS-115,2019-01-01,19,515.63,613.8,-75.77,-22.4
PML,MTR,SIN,06CIS-115,2019-01-01,20,561.05,647.81,-84.23,-2.53
PML,MTR,SIN,06CIS-115,2019-01-01,21,676.94,848.78,-100.94,-70.9
PML,MTR,SIN,06CIS-115,2019-01-01,22,642.1,801.56,-88.38,-71.08
PML,MTR,SIN,06CIS-115,2019-01-01,23,538.97,657.98,-71.97,-47.04
PML,MTR,SIN,06CIS-115,2019-01-01,24,485.13,605.59,-69.32,-51.14
PML,MTR,SIN,06CIS-115,2019-01-02,1,474.32,564.84,-65.97,-24.55
PML,MTR,SIN,06CIS-115,2019-01-02,2,463.58,544.76,-59.63,-21.54
PML,MTR,SIN,06CIS-115,2019-01-02,3,451.27,535.87,-57.95,-26.66
PML,MTR,SIN,06CIS-115,2019-01-02,4,447.75,535.41,-58.25,-29.42
PML,MTR,SIN,06CIS-115,2019-01-02,5,455.91,546.03,-57.96,-32.16
PML,MTR,SIN,06CIS-115,2019-01-02,6,465.63,564.46,-62.9,-35.94
PML,MTR,SIN,06CIS-115,2019-01-02,7,487.61,617.62,-72.88,-57.13
PML,MTR,SIN,06CIS-115,2019-01-02,8,794.64,1027.92,-109.22,-124.06
