price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06FUG-115,2019-01-01,1,472.23,595.7,-75.25,-48.22
PML,MTR,SIN,06FUG-115,2019-01-01,2,471,596.18,-75.56,-49.62
PML,MTR,SIN,06FUG-115,2019-01-01,3,462.91,578.62,-73.25,-42.45
PML,MTR,SIN,06FUG-115,2019-01-01,4,462.96,567.21,-66.99,-37.26
PML,MTR,SIN,06FUG-115,2019-01-01,5,449.56,531.83,-58.6,-23.67
PML,MTR,SIN,06FUG-115,2019-01-01,6,437.51,513.08,-55.71,-19.86
PML,MTR,SIN,06FUG-115,2019-01-01,7,425.97,477.53,-45.87,-5.69
PML,MTR,SIN,06FUG-115,2019-01-01,8,400.36,443.16,-42.81,0
PML,MTR,SIN,06FUG-115,2019-01-01,9,389.87,430.99,-41.12,0
PML,MTR,SIN,06FUG-115,2019-01-01,10,410.42,453.7,-43.28,0
PML,MTR,SIN,06FUG-115,2019-01-01,11,439.94,508.13,-50.52,-17.67
PML,MTR,SIN,06FUG-115,2019-01-01,12,444.7,519.18,-50.88,-23.6
PML,MTR,SIN,06FUG-115,2019-01-01,13,444.47,516.25,-51.89,-19.89
PML,MTR,SIN,06FUG-115,2019-01-01,14,444.11,518.6,-49.59,-24.91
PML,MTR,SIN,06FUG-115,2019-01-01,15,448.52,517.96,-50.51,-18.92
PML,MTR,SIN,06FUG-115,2019-01-01,16,445.71,520.88,-50.81,-24.37
PML,MTR,SIN,06FUG-115,2019-01-01,17,456.86,525.68,-49.56,-19.26
PML,MTR,SIN,06FUG-115,2019-01-01,18,465.13,534.95,-53.85,-15.97
PML,MTR,SIN,06FUG-115,2019-01-01,19,518.68,613.8,-72.58,-22.55
PML,MTR,SIN,06FUG-115,2019-01-01,20,564.48,647.81,-80.78,-2.55
PML,MTR,SIN,06FUG-115,2019-01-01,21,681.24,848.78,-96.18,-71.36
PML,MTR,SIN,06FUG-115,2019-01-01,22,646.34,801.56,-83.68,-71.54
PML,MTR,SIN,06FUG-115,2019-01-01,23,542.31,657.98,-68.33,-47.35
PML,MTR,SIN,06FUG-115,2019-01-01,24,488.2,605.59,-65.92,-51.48
PML,MTR,SIN,06FUG-115,2019-01-02,1,477.05,564.84,-63.09,-24.7
PML,MTR,SIN,06FUG-115,2019-01-02,2,465.98,544.76,-57.1,-21.68
PML,MTR,SIN,06FUG-115,2019-01-02,3,453.5,535.87,-55.55,-26.83
PML,MTR,SIN,06FUG-115,2019-01-02,4,449.95,535.41,-55.86,-29.61
PML,MTR,SIN,06FUG-115,2019-01-02,5,458.09,546.03,-55.57,-32.37
PML,MTR,SIN,06FUG-115,2019-01-02,6,467.95,564.46,-60.34,-36.17
PML,MTR,SIN,06FUG-115,2019-01-02,7,490.66,617.62,-69.47,-57.5
PML,MTR,SIN,06FUG-115,2019-01-02,8,799.92,1027.92,-103.13,-124.87
PML,MTR,SIN,06FUG-115,2019-01-02,9,987.11,1279.68,-123.66,-168.92
PML,MTR,SIN,06FUG-115,2019-01-02,10,1070.39,1368.46,-121.91,-176.17
PML,MTR,SIN,06FUG-115,2019-01-02,11,1082.65,1388.85,-127.94,-178.26
PML,MTR,SIN,06FUG-115,2019-01-02,12,1123.62,1459.43,-134.81,-201
PML,MTR,SIN,06FUG-115,2019-01-02,13,1183.76,1399.31,-115.93,-99.62
PML,MTR,SIN,06FUG-115,2019-01-02,14,1258.06,1376.9,-118.84,0
PML,MTR,SIN,06FUG-115,2019-01-02,15,1215.44,1369.39,-124.23,-29.72
PML,MTR,SIN,06FUG-115,2019-01-02,16,1149.93,1467.46,-139.01,-178.53
PML,MTR,SIN,06FUG-115,2019-01-02,17,1171.49,1525.69,-149.75,-204.45
PML,MTR,SIN,06FUG-115,2019-01-02,18,1222.17,1563.32,-144.89,-196.26
