price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06FUN-115,2019-01-01,1,472.21,595.7,-75.34,-48.16
PML,MTR,SIN,06FUN-115,2019-01-01,2,470.95,596.18,-75.67,-49.56
PML,MTR,SIN,06FUN-115,2019-01-01,3,462.79,578.62,-73.43,-42.4
PML,MTR,SIN,06FUN-115,2019-01-01,4,462.86,567.21,-67.14,-37.21
PML,MTR,SIN,06FUN-115,2019-01-01,5,449.49,531.83,-58.7,-23.64
PML,MTR,SIN,06FUN-115,2019-01-01,6,437.44,513.08,-55.8,-19.84
PML,MTR,SIN,06FUN-115,2019-01-01,7,425.9,477.53,-45.94,-5.69
PML,MTR,SIN,06FUN-115,2019-01-01,8,400.19,443.16,-42.97,0
PML,MTR,SIN,06FUN-115,2019-01-01,9,389.71,430.99,-41.28,0
PML,MTR,SIN,06FUN-115,2019-01-01,10,410.26,453.7,-43.44,0
PML,MTR,SIN,06FUN-115,2019-01-01,11,439.72,508.13,-50.77,-17.65
PML,MTR,SIN,06FUN-115,2019-01-01,12,444.49,519.18,-51.12,-23.57
PML,MTR,SIN,06FUN-115,2019-01-01,13,444.22,516.25,-52.16,-19.87
PML,MTR,SIN,06FUN-115,2019-01-01,14,443.98,518.6,-49.74,-24.88
PML,MTR,SIN,06FUN-115,2019-01-01,15,448.37,517.96,-50.69,-18.9
PML,MTR,SIN,06FUN-115,2019-01-01,16,445.6,520.88,-50.95,-24.34
PML,MTR,SIN,06FUN-115,2019-01-01,17,456.76,525.68,-49.68,-19.24
PML,MTR,SIN,06FUN-115,2019-01-01,18,465,534.95,-54,-15.95
PML,MTR,SIN,06FUN-115,2019-01-01,19,518.5,613.8,-72.78,-22.52
PML,MTR,SIN,06FUN-115,2019-01-01,20,564.28,647.81,-80.98,-2.54
PML,MTR,SIN,06FUN-115,2019-01-01,21,681.04,848.78,-96.47,-71.27
PML,MTR,SIN,06FUN-115,2019-01-01,22,646.15,801.56,-83.95,-71.46
PML,MTR,SIN,06FUN-115,2019-01-01,23,542.1,657.98,-68.6,-47.29
PML,MTR,SIN,06FUN-115,2019-01-01,24,488.09,605.59,-66.09,-51.42
PML,MTR,SIN,06FUN-115,2019-01-02,1,476.94,564.84,-63.22,-24.67
PML,MTR,SIN,06FUN-115,2019-01-02,2,465.83,544.76,-57.27,-21.65
PML,MTR,SIN,06FUN-115,2019-01-02,3,453.34,535.87,-55.74,-26.8
PML,MTR,SIN,06FUN-115,2019-01-02,4,449.83,535.41,-56.01,-29.57
PML,MTR,SIN,06FUN-115,2019-01-02,5,457.98,546.03,-55.73,-32.33
PML,MTR,SIN,06FUN-115,2019-01-02,6,467.79,564.46,-60.54,-36.13
PML,MTR,SIN,06FUN-115,2019-01-02,7,490.48,617.62,-69.71,-57.43
PML,MTR,SIN,06FUN-115,2019-01-02,8,799.71,1027.92,-103.49,-124.71
PML,MTR,SIN,06FUN-115,2019-01-02,9,986.89,1279.68,-124.08,-168.71
PML,MTR,SIN,06FUN-115,2019-01-02,10,1070.17,1368.46,-122.34,-175.96
PML,MTR,SIN,06FUN-115,2019-01-02,11,1082.12,1388.85,-128.68,-178.05
PML,MTR,SIN,06FUN-115,2019-01-02,12,1123.2,1459.43,-135.49,-200.75
PML,MTR,SIN,06FUN-115,2019-01-02,13,1183.27,1399.31,-116.54,-99.49
PML,MTR,SIN,06FUN-115,2019-01-02,14,1257.49,1376.9,-119.42,0
PML,MTR,SIN,06FUN-115,2019-01-02,15,1215,1369.39,-124.7,-29.69
PML,MTR,SIN,06FUN-115,2019-01-02,16,1149.66,1467.46,-139.48,-178.32
PML,MTR,SIN,06FUN-115,2019-01-02,17,1171.15,1525.69,-150.33,-204.21
PML,MTR,SIN,06FUN-115,2019-01-02,18,1221.78,1563.32,-145.51,-196.03
PML,MTR,SIN,06FUN-115,2019-01-02,19,1549.37,1700.09,-150.72,0
PML,MTR,SIN,06FUN-115,2019-01-02,20,1588.47,1739.69,-151.22,0
PML,MTR,SIN,06FUN-115,2019-01-02,21,1616.67,1750.95,-134.28,0
PML,MTR,SIN,06FUN-115,2019-01-02,22,1540.39,1659.75,-119.36,0
PML,MTR,SIN,06FUN-115,2019-01-02,23,1523.39,1651.94,-128.55,0
PML,MTR,SIN,06FUN-115,2019-01-02,24,1411.55,1535.34,-123.78,0
PML,MTR,SIN,06FUN-115,2019-01-03,1,1145.77,1460.92,-144.41,-170.75
PML,MTR,SIN,06FUN-115,2019-01-03,2,892.89,1143.83,-126.11,-124.84
PML,MTR,SIN,06FUN-115,2019-01-03,3,770.18,972.58,-113,-89.41
PML,MTR,SIN,06FUN-115,2019-01-03,4,650.68,797.57,-95.88,-51.01
PML,MTR,SIN,06FUN-115,2019-01-03,5,673.4,844.49,-108.55,-62.54
PML,MTR,SIN,06FUN-115,2019-01-03,6,692.93,907.6,-114.31,-100.37
PML,MTR,SIN,06FUN-115,2019-01-03,7,872.11,1143.3,-130.59,-140.61
PML,MTR,SIN,06FUN-115,2019-01-03,8,997.82,1307.29,-143.74,-165.74
PML,MTR,SIN,06FUN-115,2019-01-03,9,899.42,1386.8,-164.71,-322.67
PML,MTR,SIN,06FUN-115,2019-01-03,10,1023.62,1426.96,-156.29,-247.06
PML,MTR,SIN,06FUN-115,2019-01-03,11,1066.37,1523.52,-185.15,-272
PML,MTR,SIN,06FUN-115,2019-01-03,12,1133.87,1587.35,-202.31,-251.16
PML,MTR,SIN,06FUN-115,2019-01-03,13,943.57,1614.82,-212.95,-458.31
PML,MTR,SIN,06FUN-115,2019-01-03,14,875.06,1632.86,-216.22,-541.58
PML,MTR,SIN,06FUN-115,2019-01-03,15,831.93,1633.47,-215.33,-586.21
PML,MTR,SIN,06FUN-115,2019-01-03,16,747.43,1650.04,-209.45,-693.16
PML,MTR,SIN,06FUN-115,2019-01-03,17,837.3,1707.89,-211.79,-658.8
PML,MTR,SIN,06FUN-115,2019-01-03,18,842.58,1633.27,-199.65,-591.03
PML,MTR,SIN,06FUN-115,2019-01-03,19,911.74,1659.42,-205.26,-542.43
PML,MTR,SIN,06FUN-115,2019-01-03,20,1454.87,1731,-211.25,-64.89
PML,MTR,SIN,06FUN-115,2019-01-03,21,927.1,1709.21,-210.69,-571.42
PML,MTR,SIN,06FUN-115,2019-01-03,22,1477.52,1647.21,-173.86,4.18
PML,MTR,SIN,06FUN-115,2019-01-03,23,1500.28,1682.23,-181.95,0
PML,MTR,SIN,06FUN-115,2019-01-03,24,1431.6,1611.42,-179.82,0
PML,MTR,SIN,06FUN-115,2019-01-04,1,780.14,1412.1,-162.57,-469.39
PML,MTR,SIN,06FUN-115,2019-01-04,2,670.63,1110.72,-131.47,-308.62
PML,MTR,SIN,06FUN-115,2019-01-04,3,590.11,931.47,-110.74,-230.62
PML,MTR,SIN,06FUN-115,2019-01-04,4,585.98,857.93,-101.8,-170.15
PML,MTR,SIN,06FUN-115,2019-01-04,5,544.2,856.1,-102.45,-209.46
PML,MTR,SIN,06FUN-115,2019-01-04,6,567.8,1001.56,-120.09,-313.67
PML,MTR,SIN,06FUN-115,2019-01-04,7,680.68,1138.06,-133.65,-323.73
PML,MTR,SIN,06FUN-115,2019-01-04,8,879.25,1350.5,-158.91,-312.34
PML,MTR,SIN,06FUN-115,2019-01-04,9,1010.59,1336.59,-157.62,-168.38
PML,MTR,SIN,06FUN-115,2019-01-04,10,913.49,1406.44,-167.96,-324.99
PML,MTR,SIN,06FUN-115,2019-01-04,11,1035.22,1457.82,-174.06,-248.54
PML,MTR,SIN,06FUN-115,2019-01-04,12,1084.76,1520.36,-181.08,-254.53
PML,MTR,SIN,06FUN-115,2019-01-04,13,1090.88,1469.78,-160.28,-218.62
PML,MTR,SIN,06FUN-115,2019-01-04,14,1176.42,1524.75,-139.22,-209.12
PML,MTR,SIN,06FUN-115,2019-01-04,15,1163.23,1531.09,-147.22,-220.64
