price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06ORN-115,2019-01-01,1,471.01,595.7,-76.22,-48.48
PML,MTR,SIN,06ORN-115,2019-01-01,2,469.79,596.18,-76.51,-49.88
PML,MTR,SIN,06ORN-115,2019-01-01,3,461.86,578.62,-74.08,-42.68
PML,MTR,SIN,06ORN-115,2019-01-01,4,461.84,567.21,-67.92,-37.45
PML,MTR,SIN,06ORN-115,2019-01-01,5,448.45,531.83,-59.59,-23.8
PML,MTR,SIN,06ORN-115,2019-01-01,6,436.45,513.08,-56.67,-19.97
PML,MTR,SIN,06ORN-115,2019-01-01,7,424.99,477.53,-46.83,-5.72
PML,MTR,SIN,06ORN-115,2019-01-01,8,399.72,443.16,-43.44,0
PML,MTR,SIN,06ORN-115,2019-01-01,9,389.2,430.99,-41.79,0
PML,MTR,SIN,06ORN-115,2019-01-01,10,409.7,453.7,-44.01,0
PML,MTR,SIN,06ORN-115,2019-01-01,11,439.14,508.13,-51.26,-17.73
PML,MTR,SIN,06ORN-115,2019-01-01,12,443.83,519.18,-51.68,-23.68
PML,MTR,SIN,06ORN-115,2019-01-01,13,443.62,516.25,-52.67,-19.96
PML,MTR,SIN,06ORN-115,2019-01-01,14,442.92,518.6,-50.66,-25.02
PML,MTR,SIN,06ORN-115,2019-01-01,15,447.44,517.96,-51.51,-19.01
PML,MTR,SIN,06ORN-115,2019-01-01,16,444.57,520.88,-51.84,-24.47
PML,MTR,SIN,06ORN-115,2019-01-01,17,455.75,525.68,-50.58,-19.35
PML,MTR,SIN,06ORN-115,2019-01-01,18,464.12,534.95,-54.79,-16.04
PML,MTR,SIN,06ORN-115,2019-01-01,19,517.77,613.8,-73.39,-22.65
PML,MTR,SIN,06ORN-115,2019-01-01,20,563.68,647.81,-81.58,-2.56
PML,MTR,SIN,06ORN-115,2019-01-01,21,680.15,848.78,-96.95,-71.67
PML,MTR,SIN,06ORN-115,2019-01-01,22,645.36,801.56,-84.34,-71.86
PML,MTR,SIN,06ORN-115,2019-01-01,23,541.6,657.98,-68.83,-47.56
PML,MTR,SIN,06ORN-115,2019-01-01,24,487.35,605.59,-66.54,-51.71
PML,MTR,SIN,06ORN-115,2019-01-02,1,476.22,564.84,-63.8,-24.81
PML,MTR,SIN,06ORN-115,2019-01-02,2,465.22,544.76,-57.76,-21.78
PML,MTR,SIN,06ORN-115,2019-01-02,3,452.72,535.87,-56.2,-26.95
PML,MTR,SIN,06ORN-115,2019-01-02,4,449.1,535.41,-56.57,-29.74
PML,MTR,SIN,06ORN-115,2019-01-02,5,457.27,546.03,-56.25,-32.51
PML,MTR,SIN,06ORN-115,2019-01-02,6,467.27,564.46,-60.87,-36.33
PML,MTR,SIN,06ORN-115,2019-01-02,7,490.05,617.62,-69.81,-57.76
PML,MTR,SIN,06ORN-115,2019-01-02,8,798.88,1027.92,-103.61,-125.43
PML,MTR,SIN,06ORN-115,2019-01-02,9,985.86,1279.68,-124.15,-169.67
PML,MTR,SIN,06ORN-115,2019-01-02,10,1069.37,1368.46,-122.14,-176.96
PML,MTR,SIN,06ORN-115,2019-01-02,11,1082.35,1388.85,-127.44,-179.07
PML,MTR,SIN,06ORN-115,2019-01-02,12,1122.82,1459.43,-134.69,-201.93
PML,MTR,SIN,06ORN-115,2019-01-02,13,1183.46,1399.31,-115.76,-100.09
PML,MTR,SIN,06ORN-115,2019-01-02,14,1258.23,1376.9,-118.67,0
PML,MTR,SIN,06ORN-115,2019-01-02,15,1215.39,1369.39,-124.15,-29.85
PML,MTR,SIN,06ORN-115,2019-01-02,16,1149.09,1467.46,-138.91,-179.47
PML,MTR,SIN,06ORN-115,2019-01-02,17,1170.54,1525.69,-149.62,-205.53
PML,MTR,SIN,06ORN-115,2019-01-02,18,1221.38,1563.32,-144.65,-197.3
PML,MTR,SIN,06ORN-115,2019-01-02,19,1549.71,1700.09,-150.38,0
PML,MTR,SIN,06ORN-115,2019-01-02,20,1588.86,1739.69,-150.84,0
PML,MTR,SIN,06ORN-115,2019-01-02,21,1617.05,1750.95,-133.9,0
PML,MTR,SIN,06ORN-115,2019-01-02,22,1540.53,1659.75,-119.22,0
PML,MTR,SIN,06ORN-115,2019-01-02,23,1523.56,1651.94,-128.38,0
PML,MTR,SIN,06ORN-115,2019-01-02,24,1411.59,1535.34,-123.75,0
PML,MTR,SIN,06ORN-115,2019-01-03,1,1144.58,1460.92,-144.49,-171.85
