price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06RIE-115,2019-01-01,1,471.86,595.7,-75.75,-48.1
PML,MTR,SIN,06RIE-115,2019-01-01,2,470.59,596.18,-76.09,-49.5
PML,MTR,SIN,06RIE-115,2019-01-01,3,462.42,578.62,-73.86,-42.35
PML,MTR,SIN,06RIE-115,2019-01-01,4,462.53,567.21,-67.52,-37.16
PML,MTR,SIN,06RIE-115,2019-01-01,5,449.18,531.83,-59.04,-23.61
PML,MTR,SIN,06RIE-115,2019-01-01,6,437.16,513.08,-56.11,-19.81
PML,MTR,SIN,06RIE-115,2019-01-01,7,425.65,477.53,-46.21,-5.68
PML,MTR,SIN,06RIE-115,2019-01-01,8,399.83,443.16,-43.33,0
PML,MTR,SIN,06RIE-115,2019-01-01,9,389.38,430.99,-41.61,0
PML,MTR,SIN,06RIE-115,2019-01-01,10,409.93,453.7,-43.78,0
PML,MTR,SIN,06RIE-115,2019-01-01,11,439.37,508.13,-51.14,-17.62
PML,MTR,SIN,06RIE-115,2019-01-01,12,444.14,519.18,-51.51,-23.54
PML,MTR,SIN,06RIE-115,2019-01-01,13,443.88,516.25,-52.53,-19.84
PML,MTR,SIN,06RIE-115,2019-01-01,14,443.81,518.6,-49.96,-24.83
PML,MTR,SIN,06RIE-115,2019-01-01,15,448.13,517.96,-50.96,-18.86
PML,MTR,SIN,06RIE-115,2019-01-01,16,445.36,520.88,-51.23,-24.29
PML,MTR,SIN,06RIE-115,2019-01-01,17,456.5,525.68,-49.97,-19.2
PML,MTR,SIN,06RIE-115,2019-01-01,18,464.68,534.95,-54.35,-15.92
PML,MTR,SIN,06RIE-115,2019-01-01,19,518.08,613.8,-73.25,-22.48
PML,MTR,SIN,06RIE-115,2019-01-01,20,563.8,647.81,-81.47,-2.54
PML,MTR,SIN,06RIE-115,2019-01-01,21,680.47,848.78,-97.17,-71.13
PML,MTR,SIN,06RIE-115,2019-01-01,22,645.63,801.56,-84.62,-71.32
PML,MTR,SIN,06RIE-115,2019-01-01,23,541.66,657.98,-69.12,-47.2
PML,MTR,SIN,06RIE-115,2019-01-01,24,487.79,605.59,-66.49,-51.31
PML,MTR,SIN,06RIE-115,2019-01-02,1,476.67,564.84,-63.54,-24.63
PML,MTR,SIN,06RIE-115,2019-01-02,2,465.57,544.76,-57.58,-21.61
PML,MTR,SIN,06RIE-115,2019-01-02,3,453.08,535.87,-56.05,-26.74
PML,MTR,SIN,06RIE-115,2019-01-02,4,449.58,535.41,-56.32,-29.51
PML,MTR,SIN,06RIE-115,2019-01-02,5,457.77,546.03,-56,-32.26
PML,MTR,SIN,06RIE-115,2019-01-02,6,467.54,564.46,-60.87,-36.06
PML,MTR,SIN,06RIE-115,2019-01-02,7,490.19,617.62,-70.12,-57.32
PML,MTR,SIN,06RIE-115,2019-01-02,8,799.36,1027.92,-104.09,-124.47
PML,MTR,SIN,06RIE-115,2019-01-02,9,986.49,1279.68,-124.82,-168.38
PML,MTR,SIN,06RIE-115,2019-01-02,10,1069.65,1368.46,-123.21,-175.61
PML,MTR,SIN,06RIE-115,2019-01-02,11,1081.29,1388.85,-129.88,-177.69
PML,MTR,SIN,06RIE-115,2019-01-02,12,1122.51,1459.43,-136.59,-200.33
PML,MTR,SIN,06RIE-115,2019-01-02,13,1182.43,1399.31,-117.6,-99.28
PML,MTR,SIN,06RIE-115,2019-01-02,14,1256.53,1376.9,-120.37,0
PML,MTR,SIN,06RIE-115,2019-01-02,15,1214.02,1369.39,-125.74,-29.63
PML,MTR,SIN,06RIE-115,2019-01-02,16,1148.69,1467.46,-140.67,-178.11
PML,MTR,SIN,06RIE-115,2019-01-02,17,1170.16,1525.69,-151.56,-203.97
PML,MTR,SIN,06RIE-115,2019-01-02,18,1220.73,1563.32,-146.8,-195.8
PML,MTR,SIN,06RIE-115,2019-01-02,19,1548.03,1700.09,-152.07,0
PML,MTR,SIN,06RIE-115,2019-01-02,20,1587.08,1739.69,-152.61,0
PML,MTR,SIN,06RIE-115,2019-01-02,21,1615.36,1750.95,-135.59,0
PML,MTR,SIN,06RIE-115,2019-01-02,22,1539.23,1659.75,-120.51,0
PML,MTR,SIN,06RIE-115,2019-01-02,23,1522.29,1651.94,-129.65,0
PML,MTR,SIN,06RIE-115,2019-01-02,24,1410.62,1535.34,-124.71,0
PML,MTR,SIN,06RIE-115,2019-01-03,1,1145.11,1460.92,-145.26,-170.55
PML,MTR,SIN,06RIE-115,2019-01-03,2,892.46,1143.83,-126.68,-124.69
PML,MTR,SIN,06RIE-115,2019-01-03,3,769.78,972.58,-113.5,-89.3
PML,MTR,SIN,06RIE-115,2019-01-03,4,650.36,797.57,-96.25,-50.95
PML,MTR,SIN,06RIE-115,2019-01-03,5,673.03,844.49,-109,-62.47
PML,MTR,SIN,06RIE-115,2019-01-03,6,692.56,907.6,-114.79,-100.26
PML,MTR,SIN,06RIE-115,2019-01-03,7,871.87,1143.3,-130.99,-140.45
PML,MTR,SIN,06RIE-115,2019-01-03,8,997.69,1307.29,-144.05,-165.55
PML,MTR,SIN,06RIE-115,2019-01-03,9,899.49,1386.8,-165.14,-322.17
PML,MTR,SIN,06RIE-115,2019-01-03,10,1023.31,1426.96,-156.87,-246.78
PML,MTR,SIN,06RIE-115,2019-01-03,11,1065.89,1523.52,-185.92,-271.7
PML,MTR,SIN,06RIE-115,2019-01-03,12,1133.33,1587.35,-203.14,-250.88
PML,MTR,SIN,06RIE-115,2019-01-03,13,943.53,1614.82,-213.82,-457.47
PML,MTR,SIN,06RIE-115,2019-01-03,14,874.96,1632.86,-217.37,-540.53
PML,MTR,SIN,06RIE-115,2019-01-03,15,832.01,1633.47,-216.41,-585.05
PML,MTR,SIN,06RIE-115,2019-01-03,16,747.95,1650.04,-210.37,-691.73
PML,MTR,SIN,06RIE-115,2019-01-03,17,837.75,1707.89,-212.7,-657.44
PML,MTR,SIN,06RIE-115,2019-01-03,18,842.63,1633.27,-200.82,-589.83
PML,MTR,SIN,06RIE-115,2019-01-03,19,911.8,1659.42,-206.51,-541.11
PML,MTR,SIN,06RIE-115,2019-01-03,20,1453.74,1731,-212.53,-64.73
PML,MTR,SIN,06RIE-115,2019-01-03,21,927.27,1709.21,-211.91,-570.03
PML,MTR,SIN,06RIE-115,2019-01-03,22,1476.54,1647.21,-174.86,4.19
PML,MTR,SIN,06RIE-115,2019-01-03,23,1499.21,1682.23,-183.02,0
PML,MTR,SIN,06RIE-115,2019-01-03,24,1430.72,1611.42,-180.7,0
PML,MTR,SIN,06RIE-115,2019-01-04,1,780.31,1412.1,-163.37,-468.42
PML,MTR,SIN,06RIE-115,2019-01-04,2,670.71,1110.72,-132.03,-307.98
PML,MTR,SIN,06RIE-115,2019-01-04,3,590.14,931.47,-111.22,-230.11
PML,MTR,SIN,06RIE-115,2019-01-04,4,585.9,857.93,-102.25,-169.79
PML,MTR,SIN,06RIE-115,2019-01-04,5,544.23,856.1,-102.88,-208.99
PML,MTR,SIN,06RIE-115,2019-01-04,6,568.01,1001.56,-120.58,-312.97
PML,MTR,SIN,06RIE-115,2019-01-04,7,680.69,1138.06,-134.32,-323.06
PML,MTR,SIN,06RIE-115,2019-01-04,8,878.99,1350.5,-159.75,-311.77
