price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06VSA-115,2019-01-01,1,471.75,595.7,-75.81,-48.15
PML,MTR,SIN,06VSA-115,2019-01-01,2,470.46,596.18,-76.17,-49.55
PML,MTR,SIN,06VSA-115,2019-01-01,3,462.32,578.62,-73.91,-42.39
PML,MTR,SIN,06VSA-115,2019-01-01,4,462.39,567.21,-67.61,-37.2
PML,MTR,SIN,06VSA-115,2019-01-01,5,449.03,531.83,-59.16,-23.64
PML,MTR,SIN,06VSA-115,2019-01-01,6,437.03,513.08,-56.22,-19.83
PML,MTR,SIN,06VSA-115,2019-01-01,7,425.5,477.53,-46.35,-5.68
PML,MTR,SIN,06VSA-115,2019-01-01,8,399.76,443.16,-43.4,0
PML,MTR,SIN,06VSA-115,2019-01-01,9,389.29,430.99,-41.7,0
PML,MTR,SIN,06VSA-115,2019-01-01,10,409.82,453.7,-43.88,0
PML,MTR,SIN,06VSA-115,2019-01-01,11,439.28,508.13,-51.22,-17.64
PML,MTR,SIN,06VSA-115,2019-01-01,12,444.04,519.18,-51.59,-23.56
PML,MTR,SIN,06VSA-115,2019-01-01,13,443.77,516.25,-52.62,-19.85
PML,MTR,SIN,06VSA-115,2019-01-01,14,443.63,518.6,-50.13,-24.85
PML,MTR,SIN,06VSA-115,2019-01-01,15,447.96,517.96,-51.12,-18.88
PML,MTR,SIN,06VSA-115,2019-01-01,16,445.19,520.88,-51.39,-24.31
PML,MTR,SIN,06VSA-115,2019-01-01,17,456.34,525.68,-50.11,-19.22
PML,MTR,SIN,06VSA-115,2019-01-01,18,464.57,534.95,-54.45,-15.93
PML,MTR,SIN,06VSA-115,2019-01-01,19,518.04,613.8,-73.26,-22.5
PML,MTR,SIN,06VSA-115,2019-01-01,20,563.8,647.81,-81.47,-2.54
PML,MTR,SIN,06VSA-115,2019-01-01,21,680.48,848.78,-97.11,-71.19
PML,MTR,SIN,06VSA-115,2019-01-01,22,645.65,801.56,-84.53,-71.38
PML,MTR,SIN,06VSA-115,2019-01-01,23,541.7,657.98,-69.04,-47.24
PML,MTR,SIN,06VSA-115,2019-01-01,24,487.77,605.59,-66.46,-51.36
PML,MTR,SIN,06VSA-115,2019-01-02,1,476.61,564.84,-63.58,-24.65
PML,MTR,SIN,06VSA-115,2019-01-02,2,465.47,544.76,-57.65,-21.63
PML,MTR,SIN,06VSA-115,2019-01-02,3,452.94,535.87,-56.16,-26.77
