price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06CEL-115,2019-01-01,1,470.7,595.7,-76.84,-48.17
PML,MTR,SIN,06CEL-115,2019-01-01,2,469.43,596.18,-77.19,-49.57
PML,MTR,SIN,06CEL-115,2019-01-01,3,461.44,578.62,-74.77,-42.41
PML,MTR,SIN,06CEL-115,2019-01-01,4,461.51,567.21,-68.48,-37.22
PML,MTR,SIN,06CEL-115,2019-01-01,5,448.14,531.83,-60.05,-23.65
PML,MTR,SIN,06CEL-115,2019-01-01,6,436.18,513.08,-57.06,-19.84
PML,MTR,SIN,06CEL-115,2019-01-01,7,424.66,477.53,-47.18,-5.69
PML,MTR,SIN,06CEL-115,2019-01-01,8,399.01,443.16,-44.16,0
PML,MTR,SIN,06CEL-115,2019-01-01,9,388.51,430.99,-42.48,0
PML,MTR,SIN,06CEL-115,2019-01-01,10,409.02,453.7,-44.69,0
PML,MTR,SIN,06CEL-115,2019-01-01,11,438.45,508.13,-52.04,-17.64
PML,MTR,SIN,06CEL-115,2019-01-01,12,443.17,519.18,-52.46,-23.56
PML,MTR,SIN,06CEL-115,2019-01-01,13,442.93,516.25,-53.46,-19.85
PML,MTR,SIN,06CEL-115,2019-01-01,14,442.77,518.6,-50.98,-24.85
PML,MTR,SIN,06CEL-115,2019-01-01,15,447.09,517.96,-51.99,-18.88
PML,MTR,SIN,06CEL-115,2019-01-01,16,444.28,520.88,-52.3,-24.31
PML,MTR,SIN,06CEL-115,2019-01-01,17,455.39,525.68,-51.07,-19.22
PML,MTR,SIN,06CEL-115,2019-01-01,18,463.6,534.95,-55.42,-15.93
PML,MTR,SIN,06CEL-115,2019-01-01,19,517.03,613.8,-74.27,-22.5
PML,MTR,SIN,06CEL-115,2019-01-01,20,562.75,647.81,-82.52,-2.54
PML,MTR,SIN,06CEL-115,2019-01-01,21,679.14,848.78,-98.44,-71.2
PML,MTR,SIN,06CEL-115,2019-01-01,22,644.38,801.56,-85.81,-71.38
PML,MTR,SIN,06CEL-115,2019-01-01,23,540.73,657.98,-70.01,-47.24
PML,MTR,SIN,06CEL-115,2019-01-01,24,486.76,605.59,-67.48,-51.36
PML,MTR,SIN,06CEL-115,2019-01-02,1,475.62,564.84,-64.57,-24.65
PML,MTR,SIN,06CEL-115,2019-01-02,2,464.55,544.76,-58.58,-21.63
PML,MTR,SIN,06CEL-115,2019-01-02,3,452.01,535.87,-57.09,-26.77
PML,MTR,SIN,06CEL-115,2019-01-02,4,448.42,535.41,-57.46,-29.54
PML,MTR,SIN,06CEL-115,2019-01-02,5,456.66,546.03,-57.08,-32.29
PML,MTR,SIN,06CEL-115,2019-01-02,6,466.54,564.46,-61.83,-36.09
PML,MTR,SIN,06CEL-115,2019-01-02,7,489.13,617.62,-71.12,-57.37
PML,MTR,SIN,06CEL-115,2019-01-02,8,797.55,1027.92,-105.79,-124.58
PML,MTR,SIN,06CEL-115,2019-01-02,9,984.05,1279.68,-127.11,-168.53
PML,MTR,SIN,06CEL-115,2019-01-02,10,1067,1368.46,-125.7,-175.77
PML,MTR,SIN,06CEL-115,2019-01-02,11,1079.3,1388.85,-131.72,-177.84
PML,MTR,SIN,06CEL-115,2019-01-02,12,1120.35,1459.43,-138.58,-200.5
PML,MTR,SIN,06CEL-115,2019-01-02,13,1180.41,1399.31,-119.53,-99.37
PML,MTR,SIN,06CEL-115,2019-01-02,14,1254.48,1376.9,-122.42,0
PML,MTR,SIN,06CEL-115,2019-01-02,15,1211.71,1369.39,-128.01,-29.67
PML,MTR,SIN,06CEL-115,2019-01-02,16,1145.86,1467.46,-143.18,-178.42
PML,MTR,SIN,06CEL-115,2019-01-02,17,1167.43,1525.69,-153.93,-204.33
PML,MTR,SIN,06CEL-115,2019-01-02,18,1218.28,1563.32,-148.9,-196.14
PML,MTR,SIN,06CEL-115,2019-01-02,19,1545.68,1700.09,-154.41,0
PML,MTR,SIN,06CEL-115,2019-01-02,20,1584.84,1739.69,-154.85,0
PML,MTR,SIN,06CEL-115,2019-01-02,21,1613.21,1750.95,-137.74,0
PML,MTR,SIN,06CEL-115,2019-01-02,22,1537.09,1659.75,-122.66,0
PML,MTR,SIN,06CEL-115,2019-01-02,23,1520.11,1651.94,-131.83,0
PML,MTR,SIN,06CEL-115,2019-01-02,24,1408.37,1535.34,-126.96,0
PML,MTR,SIN,06CEL-115,2019-01-03,1,1142.49,1460.92,-147.59,-170.85
PML,MTR,SIN,06CEL-115,2019-01-03,2,890.43,1143.83,-128.49,-124.91
PML,MTR,SIN,06CEL-115,2019-01-03,3,768.23,972.58,-114.9,-89.46
PML,MTR,SIN,06CEL-115,2019-01-03,4,649.03,797.57,-97.5,-51.04
PML,MTR,SIN,06CEL-115,2019-01-03,5,671.75,844.49,-110.16,-62.58
PML,MTR,SIN,06CEL-115,2019-01-03,6,691.3,907.6,-115.87,-100.44
PML,MTR,SIN,06CEL-115,2019-01-03,7,869.78,1143.3,-132.83,-140.7
PML,MTR,SIN,06CEL-115,2019-01-03,8,994.6,1307.29,-146.85,-165.85
PML,MTR,SIN,06CEL-115,2019-01-03,9,896.32,1386.8,-167.88,-322.61
PML,MTR,SIN,06CEL-115,2019-01-03,10,1019.78,1426.96,-159.95,-247.23
PML,MTR,SIN,06CEL-115,2019-01-03,11,1062.5,1523.52,-188.84,-272.18
PML,MTR,SIN,06CEL-115,2019-01-03,12,1129.75,1587.35,-206.29,-251.31
PML,MTR,SIN,06CEL-115,2019-01-03,13,939.99,1614.82,-216.88,-457.94
PML,MTR,SIN,06CEL-115,2019-01-03,14,872.12,1632.86,-219.71,-541.03
PML,MTR,SIN,06CEL-115,2019-01-03,15,829.11,1633.47,-218.78,-585.58
PML,MTR,SIN,06CEL-115,2019-01-03,16,744.95,1650.04,-212.82,-692.28
PML,MTR,SIN,06CEL-115,2019-01-03,17,834.92,1707.89,-215,-657.98
PML,MTR,SIN,06CEL-115,2019-01-03,18,839.89,1633.27,-203.07,-590.32
PML,MTR,SIN,06CEL-115,2019-01-03,19,909.31,1659.42,-208.75,-541.36
PML,MTR,SIN,06CEL-115,2019-01-03,20,1451.53,1731,-214.71,-64.76
PML,MTR,SIN,06CEL-115,2019-01-03,21,924.67,1709.21,-214.24,-570.29
PML,MTR,SIN,06CEL-115,2019-01-03,22,1474.51,1647.21,-176.91,4.22
PML,MTR,SIN,06CEL-115,2019-01-03,23,1497.15,1682.23,-185.08,0
PML,MTR,SIN,06CEL-115,2019-01-03,24,1428.6,1611.42,-182.81,0
PML,MTR,SIN,06CEL-115,2019-01-04,1,778.13,1412.1,-165.18,-468.79
PML,MTR,SIN,06CEL-115,2019-01-04,2,668.92,1110.72,-133.59,-308.21
PML,MTR,SIN,06CEL-115,2019-01-04,3,588.6,931.47,-112.6,-230.27
