price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06FAR-115,2020-01-01,1,316.72,357.37,-40.65,0
PML,MTR,SIN,06FAR-115,2020-01-01,2,316.61,357.13,-40.51,0
PML,MTR,SIN,06FAR-115,2020-01-01,3,315.12,355,-39.88,0
PML,MTR,SIN,06FAR-115,2020-01-01,4,304.11,342.25,-38.13,0
PML,MTR,SIN,06FAR-115,2020-01-01,5,292.61,327.32,-34.71,0
PML,MTR,SIN,06FAR-115,2020-01-01,6,258.27,284.26,-26,0
PML,MTR,SIN,06FAR-115,2020-01-01,7,253.77,276.06,-22.29,0
PML,MTR,SIN,06FAR-115,2020-01-01,8,241.27,261.2,-19.93,0
PML,MTR,SIN,06FAR-115,2020-01-01,9,239.76,261.09,-21.33,0
PML,MTR,SIN,06FAR-115,2020-01-01,10,263.49,287.89,-24.4,0
PML,MTR,SIN,06FAR-115,2020-01-01,11,271.22,296.94,-25.72,0
PML,MTR,SIN,06FAR-115,2020-01-01,12,306.77,354.93,-48.17,0
PML,MTR,SIN,06FAR-115,2020-01-01,13,323.45,367.94,-44.49,0
PML,MTR,SIN,06FAR-115,2020-01-01,14,326.93,371.17,-44.24,0
PML,MTR,SIN,06FAR-115,2020-01-01,15,326.53,371.92,-45.39,0
PML,MTR,SIN,06FAR-115,2020-01-01,16,327.58,370.91,-43.32,0
PML,MTR,SIN,06FAR-115,2020-01-01,17,327.96,373.12,-45.16,0
PML,MTR,SIN,06FAR-115,2020-01-01,18,336.4,379.17,-42.78,0
PML,MTR,SIN,06FAR-115,2020-01-01,19,355.07,384.97,-48.78,18.89
PML,MTR,SIN,06FAR-115,2020-01-01,20,357.55,380.39,-49.45,26.62
PML,MTR,SIN,06FAR-115,2020-01-01,21,360.95,390,-49.15,20.1
PML,MTR,SIN,06FAR-115,2020-01-01,22,357.01,385.22,-47.19,18.97
PML,MTR,SIN,06FAR-115,2020-01-01,23,349.84,400.61,-48.22,-2.55
PML,MTR,SIN,06FAR-115,2020-01-01,24,344.89,389.71,-44.82,0
PML,MTR,SIN,06FAR-115,2020-01-02,1,331.25,375.69,-44.44,0
PML,MTR,SIN,06FAR-115,2020-01-02,2,321.61,369.71,-48.1,0
PML,MTR,SIN,06FAR-115,2020-01-02,3,319.01,362.67,-43.66,0
PML,MTR,SIN,06FAR-115,2020-01-02,4,313.97,359.19,-45.23,0
PML,MTR,SIN,06FAR-115,2020-01-02,5,315.02,360.41,-45.39,0
PML,MTR,SIN,06FAR-115,2020-01-02,6,321.61,371.17,-49.56,0
PML,MTR,SIN,06FAR-115,2020-01-02,7,330.1,379.77,-49.68,0
PML,MTR,SIN,06FAR-115,2020-01-02,8,349.19,396.58,-47.38,0
PML,MTR,SIN,06FAR-115,2020-01-02,9,353.69,416.79,-55.83,-7.28
PML,MTR,SIN,06FAR-115,2020-01-02,10,344.8,429.72,-54.4,-30.52
PML,MTR,SIN,06FAR-115,2020-01-02,11,348.4,392.61,-53.87,9.66
PML,MTR,SIN,06FAR-115,2020-01-02,12,344.61,383.89,-52.5,13.22
PML,MTR,SIN,06FAR-115,2020-01-02,13,352.19,381.28,-54.63,25.53
PML,MTR,SIN,06FAR-115,2020-01-02,14,353,377.46,-48.14,23.68
PML,MTR,SIN,06FAR-115,2020-01-02,15,351.78,392.03,-52.8,12.55
PML,MTR,SIN,06FAR-115,2020-01-02,16,337.8,395.65,-59.78,1.92
PML,MTR,SIN,06FAR-115,2020-01-02,17,342.68,388.05,-59.56,14.18
PML,MTR,SIN,06FAR-115,2020-01-02,18,349.27,457.98,-60.89,-47.82
PML,MTR,SIN,06FAR-115,2020-01-02,19,364.52,341.57,-44.93,67.88
PML,MTR,SIN,06FAR-115,2020-01-02,20,368.56,602.32,-75.97,-157.8
PML,MTR,SIN,06FAR-115,2020-01-02,21,383.43,407.46,-51.66,27.64
PML,MTR,SIN,06FAR-115,2020-01-02,22,372.66,349.49,-46.4,69.58
PML,MTR,SIN,06FAR-115,2020-01-02,23,350.92,356.82,-46.28,40.37
PML,MTR,SIN,06FAR-115,2020-01-02,24,346.84,406.8,-56.06,-3.9
PML,MTR,SIN,06FAR-115,2020-01-03,1,343.06,426.75,-56.11,-27.59
PML,MTR,SIN,06FAR-115,2020-01-03,2,316.27,433.22,-57.2,-59.75
PML,MTR,SIN,06FAR-115,2020-01-03,3,306.31,409.79,-54.76,-48.72
PML,MTR,SIN,06FAR-115,2020-01-03,4,300.54,412.17,-54.57,-57.07
PML,MTR,SIN,06FAR-115,2020-01-03,5,300.12,401.06,-53.35,-47.6
PML,MTR,SIN,06FAR-115,2020-01-03,6,300.12,406.36,-54.1,-52.15
PML,MTR,SIN,06FAR-115,2020-01-03,7,295.63,425.27,-55.47,-74.18
PML,MTR,SIN,06FAR-115,2020-01-03,8,304.22,454.11,-58.09,-91.79
PML,MTR,SIN,06FAR-115,2020-01-03,9,327.17,376.42,-56.93,7.68
PML,MTR,SIN,06FAR-115,2020-01-03,10,309.75,280.57,-44.1,73.28
PML,MTR,SIN,06FAR-115,2020-01-03,11,312.55,324.95,-50.93,38.52
PML,MTR,SIN,06FAR-115,2020-01-03,12,308.82,289.55,-44.97,64.25
PML,MTR,SIN,06FAR-115,2020-01-03,13,297.08,292.51,-45.93,50.5
PML,MTR,SIN,06FAR-115,2020-01-03,14,296.96,280.79,-45.06,61.24
PML,MTR,SIN,06FAR-115,2020-01-03,15,284.5,285.31,-45.75,44.93
PML,MTR,SIN,06FAR-115,2020-01-03,16,284.27,305.51,-48.52,27.29
PML,MTR,SIN,06FAR-115,2020-01-03,17,284.03,287.79,-45.64,41.88
PML,MTR,SIN,06FAR-115,2020-01-03,18,282.91,249.28,-34.27,67.9
PML,MTR,SIN,06FAR-115,2020-01-03,19,329.94,643.86,-81.86,-232.06
PML,MTR,SIN,06FAR-115,2020-01-03,20,319.16,808.29,-100.59,-388.54
PML,MTR,SIN,06FAR-115,2020-01-03,21,303.09,775.47,-97.2,-375.19
PML,MTR,SIN,06FAR-115,2020-01-03,22,318.17,758.75,-94.74,-345.84
PML,MTR,SIN,06FAR-115,2020-01-03,23,327.8,692.15,-86.78,-277.57
PML,MTR,SIN,06FAR-115,2020-01-03,24,332.19,507.94,-63.29,-112.46
PML,MTR,SIN,06FAR-115,2020-01-04,1,355.55,419.66,-51.81,-12.31
PML,MTR,SIN,06FAR-115,2020-01-04,2,344.33,395.18,-50.85,0
PML,MTR,SIN,06FAR-115,2020-01-04,3,333.48,378.31,-44.83,0
PML,MTR,SIN,06FAR-115,2020-01-04,4,323.91,374.56,-46.2,-4.46
PML,MTR,SIN,06FAR-115,2020-01-04,5,328.29,372.94,-44.65,0
PML,MTR,SIN,06FAR-115,2020-01-04,6,333.19,377.65,-44.46,0
PML,MTR,SIN,06FAR-115,2020-01-04,7,339.44,383.96,-44.52,0
PML,MTR,SIN,06FAR-115,2020-01-04,8,348.45,390.56,-42.11,0
PML,MTR,SIN,06FAR-115,2020-01-04,9,345.8,392.98,-43.92,-3.26
PML,MTR,SIN,06FAR-115,2020-01-04,10,338.19,426.72,-52.43,-36.1
PML,MTR,SIN,06FAR-115,2020-01-04,11,339.33,422.23,-56.42,-26.48
PML,MTR,SIN,06FAR-115,2020-01-04,12,338.75,377.19,-50.65,12.21
PML,MTR,SIN,06FAR-115,2020-01-04,13,342.3,414.94,-54.78,-17.87
PML,MTR,SIN,06FAR-115,2020-01-04,14,340.7,397.98,-51.94,-5.35
PML,MTR,SIN,06FAR-115,2020-01-04,15,339,386.63,-52.04,4.41
PML,MTR,SIN,06FAR-115,2020-01-04,16,337.91,395.88,-54.08,-3.9
PML,MTR,SIN,06FAR-115,2020-01-04,17,346.64,403.34,-54.71,-1.99
PML,MTR,SIN,06FAR-115,2020-01-04,18,368.18,431.97,-54.1,-9.68
PML,MTR,SIN,06FAR-115,2020-01-04,19,558.06,628.77,-65.44,-5.27
PML,MTR,SIN,06FAR-115,2020-01-04,20,558.6,627.85,-69.25,0
PML,MTR,SIN,06FAR-115,2020-01-04,21,416.56,548.12,-68.64,-62.91
PML,MTR,SIN,06FAR-115,2020-01-04,22,364.33,445.85,-64.4,-17.12
PML,MTR,SIN,06FAR-115,2020-01-04,23,345.93,444.26,-54.95,-43.38
PML,MTR,SIN,06FAR-115,2020-01-04,24,353.6,404.72,-48.55,-2.57
PML,MTR,SIN,06FAR-115,2020-01-05,1,336.86,387.01,-43.45,-6.7
