price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06JEP-115,2020-01-01,1,316.25,357.37,-41.11,0
PML,MTR,SIN,06JEP-115,2020-01-01,2,316.1,357.13,-41.03,0
PML,MTR,SIN,06JEP-115,2020-01-01,3,314.64,355,-40.36,0
PML,MTR,SIN,06JEP-115,2020-01-01,4,303.67,342.25,-38.58,0
PML,MTR,SIN,06JEP-115,2020-01-01,5,292.2,327.32,-35.12,0
PML,MTR,SIN,06JEP-115,2020-01-01,6,257.9,284.26,-26.36,0
PML,MTR,SIN,06JEP-115,2020-01-01,7,253.43,276.06,-22.63,0
PML,MTR,SIN,06JEP-115,2020-01-01,8,240.94,261.2,-20.26,0
PML,MTR,SIN,06JEP-115,2020-01-01,9,239.42,261.09,-21.67,0
PML,MTR,SIN,06JEP-115,2020-01-01,10,263.09,287.89,-24.8,0
PML,MTR,SIN,06JEP-115,2020-01-01,11,270.81,296.94,-26.14,0
PML,MTR,SIN,06JEP-115,2020-01-01,12,306.13,354.93,-48.8,0
PML,MTR,SIN,06JEP-115,2020-01-01,13,322.8,367.94,-45.14,0
PML,MTR,SIN,06JEP-115,2020-01-01,14,326.3,371.17,-44.87,0
PML,MTR,SIN,06JEP-115,2020-01-01,15,325.92,371.92,-46,0
PML,MTR,SIN,06JEP-115,2020-01-01,16,326.95,370.91,-43.95,0
PML,MTR,SIN,06JEP-115,2020-01-01,17,327.32,373.12,-45.8,0
PML,MTR,SIN,06JEP-115,2020-01-01,18,335.78,379.17,-43.39,0
PML,MTR,SIN,06JEP-115,2020-01-01,19,354.61,384.97,-49.23,18.87
PML,MTR,SIN,06JEP-115,2020-01-01,20,357.13,380.39,-49.84,26.58
PML,MTR,SIN,06JEP-115,2020-01-01,21,360.58,390,-49.5,20.08
PML,MTR,SIN,06JEP-115,2020-01-01,22,356.61,385.22,-47.56,18.96
PML,MTR,SIN,06JEP-115,2020-01-01,23,349.39,400.61,-48.66,-2.56
PML,MTR,SIN,06JEP-115,2020-01-01,24,344.44,389.71,-45.27,0
PML,MTR,SIN,06JEP-115,2020-01-02,1,330.82,375.69,-44.86,0
PML,MTR,SIN,06JEP-115,2020-01-02,2,321.14,369.71,-48.57,0
PML,MTR,SIN,06JEP-115,2020-01-02,3,318.56,362.67,-44.12,0
PML,MTR,SIN,06JEP-115,2020-01-02,4,313.53,359.19,-45.67,0
