price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06MOD-115,2020-01-01,1,315.8,357.37,-41.57,0
PML,MTR,SIN,06MOD-115,2020-01-01,2,315.64,357.13,-41.49,0
PML,MTR,SIN,06MOD-115,2020-01-01,3,314.31,355,-40.69,0
PML,MTR,SIN,06MOD-115,2020-01-01,4,303.36,342.25,-38.88,0
PML,MTR,SIN,06MOD-115,2020-01-01,5,291.92,327.32,-35.4,0
PML,MTR,SIN,06MOD-115,2020-01-01,6,257.64,284.26,-26.63,0
PML,MTR,SIN,06MOD-115,2020-01-01,7,253.17,276.06,-22.89,0
PML,MTR,SIN,06MOD-115,2020-01-01,8,240.67,261.2,-20.53,0
PML,MTR,SIN,06MOD-115,2020-01-01,9,239.12,261.09,-21.97,0
PML,MTR,SIN,06MOD-115,2020-01-01,10,262.79,287.89,-25.1,0
PML,MTR,SIN,06MOD-115,2020-01-01,11,270.5,296.94,-26.45,0
PML,MTR,SIN,06MOD-115,2020-01-01,12,305.74,354.93,-49.19,0
PML,MTR,SIN,06MOD-115,2020-01-01,13,322.4,367.94,-45.53,0
PML,MTR,SIN,06MOD-115,2020-01-01,14,325.89,371.17,-45.28,0
PML,MTR,SIN,06MOD-115,2020-01-01,15,325.54,371.92,-46.38,0
PML,MTR,SIN,06MOD-115,2020-01-01,16,326.51,370.91,-44.4,0
PML,MTR,SIN,06MOD-115,2020-01-01,17,326.9,373.12,-46.21,0
PML,MTR,SIN,06MOD-115,2020-01-01,18,335.36,379.17,-43.82,0
PML,MTR,SIN,06MOD-115,2020-01-01,19,354.24,384.97,-49.61,18.88
PML,MTR,SIN,06MOD-115,2020-01-01,20,356.79,380.39,-50.21,26.61
PML,MTR,SIN,06MOD-115,2020-01-01,21,360.24,390,-49.85,20.09
PML,MTR,SIN,06MOD-115,2020-01-01,22,356.31,385.22,-47.88,18.97
PML,MTR,SIN,06MOD-115,2020-01-01,23,349.01,400.61,-49.05,-2.55
PML,MTR,SIN,06MOD-115,2020-01-01,24,344.12,389.71,-45.59,0
PML,MTR,SIN,06MOD-115,2020-01-02,1,330.46,375.69,-45.23,0
PML,MTR,SIN,06MOD-115,2020-01-02,2,320.76,369.71,-48.95,0
PML,MTR,SIN,06MOD-115,2020-01-02,3,318.18,362.67,-44.5,0
PML,MTR,SIN,06MOD-115,2020-01-02,4,313.12,359.19,-46.08,0
PML,MTR,SIN,06MOD-115,2020-01-02,5,314.21,360.41,-46.2,0
