price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06MTY-115,2020-01-01,1,315.6,357.37,-41.77,0
PML,MTR,SIN,06MTY-115,2020-01-01,2,315.49,357.13,-41.64,0
PML,MTR,SIN,06MTY-115,2020-01-01,3,314.07,355,-40.93,0
PML,MTR,SIN,06MTY-115,2020-01-01,4,303.19,342.25,-39.06,0
PML,MTR,SIN,06MTY-115,2020-01-01,5,291.77,327.32,-35.55,0
PML,MTR,SIN,06MTY-115,2020-01-01,6,257.5,284.26,-26.76,0
PML,MTR,SIN,06MTY-115,2020-01-01,7,253,276.06,-23.06,0
PML,MTR,SIN,06MTY-115,2020-01-01,8,240.48,261.2,-20.72,0
PML,MTR,SIN,06MTY-115,2020-01-01,9,239,261.09,-22.09,0
PML,MTR,SIN,06MTY-115,2020-01-01,10,262.68,287.89,-25.21,0
PML,MTR,SIN,06MTY-115,2020-01-01,11,270.38,296.94,-26.57,0
PML,MTR,SIN,06MTY-115,2020-01-01,12,305.75,354.93,-49.18,0
PML,MTR,SIN,06MTY-115,2020-01-01,13,322.48,367.94,-45.46,0
PML,MTR,SIN,06MTY-115,2020-01-01,14,326.03,371.17,-45.14,0
PML,MTR,SIN,06MTY-115,2020-01-01,15,325.63,371.92,-46.29,0
PML,MTR,SIN,06MTY-115,2020-01-01,16,326.56,370.91,-44.35,0
PML,MTR,SIN,06MTY-115,2020-01-01,17,327.01,373.12,-46.1,0
PML,MTR,SIN,06MTY-115,2020-01-01,18,335.31,379.17,-43.86,0
PML,MTR,SIN,06MTY-115,2020-01-01,19,353.78,384.97,-50.13,18.94
PML,MTR,SIN,06MTY-115,2020-01-01,20,356.26,380.39,-50.85,26.72
PML,MTR,SIN,06MTY-115,2020-01-01,21,359.55,390,-50.6,20.15
PML,MTR,SIN,06MTY-115,2020-01-01,22,355.78,385.22,-48.46,19.02
PML,MTR,SIN,06MTY-115,2020-01-01,23,348.58,400.61,-49.51,-2.53
PML,MTR,SIN,06MTY-115,2020-01-01,24,343.88,389.71,-45.83,0
PML,MTR,SIN,06MTY-115,2020-01-02,1,330.22,375.69,-45.47,0
PML,MTR,SIN,06MTY-115,2020-01-02,2,320.73,369.71,-48.98,0
PML,MTR,SIN,06MTY-115,2020-01-02,3,318.15,362.67,-44.52,0
PML,MTR,SIN,06MTY-115,2020-01-02,4,313.07,359.19,-46.12,0
PML,MTR,SIN,06MTY-115,2020-01-02,5,314.15,360.41,-46.26,0
