price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06OBI-115,2020-04-26,1,446.67,495.3,-48.18,-0.45
PML,MTR,SIN,06OBI-115,2020-04-26,2,443.67,496.12,-51.81,-0.65
PML,MTR,SIN,06OBI-115,2020-04-26,3,432.2,482.95,-49.76,-1
PML,MTR,SIN,06OBI-115,2020-04-26,4,429.87,482.17,-50.51,-1.79
PML,MTR,SIN,06OBI-115,2020-04-26,5,427.89,481.44,-51.61,-1.93
PML,MTR,SIN,06OBI-115,2020-04-26,6,412.65,466.85,-52.64,-1.55
PML,MTR,SIN,06OBI-115,2020-04-26,7,400.37,457.37,-55.66,-1.34
PML,MTR,SIN,06OBI-115,2020-04-26,8,399.87,456.63,-55.09,-1.68
PML,MTR,SIN,06OBI-115,2020-04-26,9,379.18,438.07,-57.52,-1.38
PML,MTR,SIN,06OBI-115,2020-04-26,10,318.27,404.74,-58.21,-28.26
PML,MTR,SIN,06OBI-115,2020-04-26,11,332.97,404.35,-58.35,-13.03
PML,MTR,SIN,06OBI-115,2020-04-26,12,341.04,399.6,-58.56,0
PML,MTR,SIN,06OBI-115,2020-04-26,13,350.4,409.64,-59.24,0
PML,MTR,SIN,06OBI-115,2020-04-26,14,362.83,430.64,-65.42,-2.39
PML,MTR,SIN,06OBI-115,2020-04-26,15,370.19,432.48,-62.3,0
PML,MTR,SIN,06OBI-115,2020-04-26,16,380.47,440.78,-60.31,0
PML,MTR,SIN,06OBI-115,2020-04-26,17,386.43,445.17,-58.74,0
PML,MTR,SIN,06OBI-115,2020-04-26,18,391.58,454.17,-62.59,0
PML,MTR,SIN,06OBI-115,2020-04-26,19,386.37,449.15,-62.77,0
PML,MTR,SIN,06OBI-115,2020-04-26,20,382.39,448.18,-65.76,-0.02
PML,MTR,SIN,06OBI-115,2020-04-26,21,394.47,447.13,-66.64,13.99
PML,MTR,SIN,06OBI-115,2020-04-26,22,406.28,468.19,-67.48,5.57
PML,MTR,SIN,06OBI-115,2020-04-26,23,432.19,498.36,-66.17,0
PML,MTR,SIN,06OBI-115,2020-04-26,24,423.93,474.66,-50.74,0
PML,MTR,SIN,06OBI-115,2020-04-27,1,405.02,447.74,-42.72,0
PML,MTR,SIN,06OBI-115,2020-04-27,2,391.97,436.46,-44.5,0
PML,MTR,SIN,06OBI-115,2020-04-27,3,384.3,428.21,-43.91,0
PML,MTR,SIN,06OBI-115,2020-04-27,4,394.97,434.11,-39.14,0
PML,MTR,SIN,06OBI-115,2020-04-27,5,388.97,430.29,-41.32,-0.01
PML,MTR,SIN,06OBI-115,2020-04-27,6,395.25,431.37,-36.04,-0.09
PML,MTR,SIN,06OBI-115,2020-04-27,7,396.28,431.61,-35.17,-0.16
PML,MTR,SIN,06OBI-115,2020-04-27,8,398.41,434.44,-36.03,0
PML,MTR,SIN,06OBI-115,2020-04-27,9,384.71,421.29,-36.58,0
