price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06RIO-115,2020-01-01,1,316.61,357.37,-40.76,0
PML,MTR,SIN,06RIO-115,2020-01-01,2,316.49,357.13,-40.64,0
PML,MTR,SIN,06RIO-115,2020-01-01,3,315.01,355,-39.99,0
PML,MTR,SIN,06RIO-115,2020-01-01,4,304.01,342.25,-38.24,0
PML,MTR,SIN,06RIO-115,2020-01-01,5,292.52,327.32,-34.8,0
PML,MTR,SIN,06RIO-115,2020-01-01,6,258.18,284.26,-26.08,0
PML,MTR,SIN,06RIO-115,2020-01-01,7,253.69,276.06,-22.37,0
PML,MTR,SIN,06RIO-115,2020-01-01,8,241.19,261.2,-20.01,0
PML,MTR,SIN,06RIO-115,2020-01-01,9,239.68,261.09,-21.41,0
PML,MTR,SIN,06RIO-115,2020-01-01,10,263.39,287.89,-24.5,0
PML,MTR,SIN,06RIO-115,2020-01-01,11,271.12,296.94,-25.83,0
PML,MTR,SIN,06RIO-115,2020-01-01,12,306.6,354.93,-48.34,0
PML,MTR,SIN,06RIO-115,2020-01-01,13,323.28,367.94,-44.66,0
PML,MTR,SIN,06RIO-115,2020-01-01,14,326.76,371.17,-44.41,0
PML,MTR,SIN,06RIO-115,2020-01-01,15,326.37,371.92,-45.55,0
PML,MTR,SIN,06RIO-115,2020-01-01,16,327.41,370.91,-43.49,0
PML,MTR,SIN,06RIO-115,2020-01-01,17,327.78,373.12,-45.33,0
PML,MTR,SIN,06RIO-115,2020-01-01,18,336.23,379.17,-42.94,0
PML,MTR,SIN,06RIO-115,2020-01-01,19,354.98,384.97,-48.87,18.88
PML,MTR,SIN,06RIO-115,2020-01-01,20,357.48,380.39,-49.52,26.6
PML,MTR,SIN,06RIO-115,2020-01-01,21,360.9,390,-49.2,20.09
PML,MTR,SIN,06RIO-115,2020-01-01,22,356.94,385.22,-47.24,18.97
PML,MTR,SIN,06RIO-115,2020-01-01,23,349.75,400.61,-48.3,-2.56
PML,MTR,SIN,06RIO-115,2020-01-01,24,344.8,389.71,-44.91,0
PML,MTR,SIN,06RIO-115,2020-01-02,1,331.16,375.69,-44.52,0
PML,MTR,SIN,06RIO-115,2020-01-02,2,321.5,369.71,-48.21,0
PML,MTR,SIN,06RIO-115,2020-01-02,3,318.91,362.67,-43.77,0
PML,MTR,SIN,06RIO-115,2020-01-02,4,313.87,359.19,-45.32,0
PML,MTR,SIN,06RIO-115,2020-01-02,5,314.93,360.41,-45.48,0
PML,MTR,SIN,06RIO-115,2020-01-02,6,321.53,371.17,-49.64,0
PML,MTR,SIN,06RIO-115,2020-01-02,7,330.01,379.77,-49.76,0
PML,MTR,SIN,06RIO-115,2020-01-02,8,349.15,396.58,-47.43,0
PML,MTR,SIN,06RIO-115,2020-01-02,9,353.64,416.79,-55.87,-7.29
PML,MTR,SIN,06RIO-115,2020-01-02,10,344.7,429.72,-54.46,-30.56
PML,MTR,SIN,06RIO-115,2020-01-02,11,348.3,392.61,-53.94,9.63
PML,MTR,SIN,06RIO-115,2020-01-02,12,344.46,383.89,-52.61,13.17
PML,MTR,SIN,06RIO-115,2020-01-02,13,352.09,381.28,-54.71,25.52
PML,MTR,SIN,06RIO-115,2020-01-02,14,352.87,377.46,-48.25,23.67
PML,MTR,SIN,06RIO-115,2020-01-02,15,351.65,392.03,-52.93,12.54
PML,MTR,SIN,06RIO-115,2020-01-02,16,337.65,395.65,-59.91,1.9
PML,MTR,SIN,06RIO-115,2020-01-02,17,342.54,388.05,-59.67,14.16
PML,MTR,SIN,06RIO-115,2020-01-02,18,349.14,457.98,-60.95,-47.89
PML,MTR,SIN,06RIO-115,2020-01-02,19,364.43,341.57,-44.94,67.79
PML,MTR,SIN,06RIO-115,2020-01-02,20,368.28,602.32,-75.99,-158.06
PML,MTR,SIN,06RIO-115,2020-01-02,21,383.35,407.46,-51.64,27.53
PML,MTR,SIN,06RIO-115,2020-01-02,22,372.63,349.49,-46.37,69.51
PML,MTR,SIN,06RIO-115,2020-01-02,23,350.81,356.82,-46.27,40.27
PML,MTR,SIN,06RIO-115,2020-01-02,24,346.75,406.8,-56.04,-4.01
PML,MTR,SIN,06RIO-115,2020-01-03,1,343.01,426.75,-56.09,-27.65
PML,MTR,SIN,06RIO-115,2020-01-03,2,316.19,433.22,-57.2,-59.83
PML,MTR,SIN,06RIO-115,2020-01-03,3,306.25,409.79,-54.75,-48.79
PML,MTR,SIN,06RIO-115,2020-01-03,4,300.48,412.17,-54.54,-57.15
PML,MTR,SIN,06RIO-115,2020-01-03,5,300.08,401.06,-53.32,-47.67
PML,MTR,SIN,06RIO-115,2020-01-03,6,300.09,406.36,-54.05,-52.22
PML,MTR,SIN,06RIO-115,2020-01-03,7,295.58,425.27,-55.41,-74.28
PML,MTR,SIN,06RIO-115,2020-01-03,8,304.18,454.11,-58.01,-91.92
PML,MTR,SIN,06RIO-115,2020-01-03,9,327.15,376.42,-56.88,7.61
PML,MTR,SIN,06RIO-115,2020-01-03,10,309.65,280.57,-44.09,73.17
PML,MTR,SIN,06RIO-115,2020-01-03,11,312.43,324.95,-50.94,38.42
PML,MTR,SIN,06RIO-115,2020-01-03,12,308.69,289.55,-44.99,64.13
PML,MTR,SIN,06RIO-115,2020-01-03,13,296.94,292.51,-45.94,50.37
PML,MTR,SIN,06RIO-115,2020-01-03,14,296.82,280.79,-45.07,61.1
PML,MTR,SIN,06RIO-115,2020-01-03,15,284.32,285.31,-45.77,44.78
PML,MTR,SIN,06RIO-115,2020-01-03,16,284.1,305.51,-48.53,27.12
PML,MTR,SIN,06RIO-115,2020-01-03,17,283.85,287.79,-45.66,41.72
PML,MTR,SIN,06RIO-115,2020-01-03,18,282.71,249.28,-34.28,67.71
PML,MTR,SIN,06RIO-115,2020-01-03,19,329.84,643.86,-81.84,-232.18
PML,MTR,SIN,06RIO-115,2020-01-03,20,319.11,808.29,-100.53,-388.65
PML,MTR,SIN,06RIO-115,2020-01-03,21,303.02,775.47,-97.12,-375.33
PML,MTR,SIN,06RIO-115,2020-01-03,22,318.16,758.75,-94.65,-345.94
PML,MTR,SIN,06RIO-115,2020-01-03,23,327.81,692.15,-86.68,-277.66
PML,MTR,SIN,06RIO-115,2020-01-03,24,332.22,507.94,-63.16,-112.56
PML,MTR,SIN,06RIO-115,2020-01-04,1,355.64,419.66,-51.69,-12.33
PML,MTR,SIN,06RIO-115,2020-01-04,2,344.4,395.18,-50.79,0
PML,MTR,SIN,06RIO-115,2020-01-04,3,333.52,378.31,-44.79,0
PML,MTR,SIN,06RIO-115,2020-01-04,4,323.94,374.56,-46.16,-4.46
PML,MTR,SIN,06RIO-115,2020-01-04,5,328.32,372.94,-44.62,0
PML,MTR,SIN,06RIO-115,2020-01-04,6,333.23,377.65,-44.42,0
PML,MTR,SIN,06RIO-115,2020-01-04,7,339.46,383.96,-44.5,0
PML,MTR,SIN,06RIO-115,2020-01-04,8,348.46,390.56,-42.09,0
PML,MTR,SIN,06RIO-115,2020-01-04,9,345.79,392.98,-43.93,-3.26
PML,MTR,SIN,06RIO-115,2020-01-04,10,338.08,426.72,-52.5,-36.15
PML,MTR,SIN,06RIO-115,2020-01-04,11,339.17,422.23,-56.53,-26.53
PML,MTR,SIN,06RIO-115,2020-01-04,12,338.58,377.19,-50.76,12.15
PML,MTR,SIN,06RIO-115,2020-01-04,13,342.12,414.94,-54.91,-17.91
PML,MTR,SIN,06RIO-115,2020-01-04,14,340.52,397.98,-52.08,-5.39
PML,MTR,SIN,06RIO-115,2020-01-04,15,338.84,386.63,-52.18,4.38
PML,MTR,SIN,06RIO-115,2020-01-04,16,337.74,395.88,-54.22,-3.92
PML,MTR,SIN,06RIO-115,2020-01-04,17,346.6,403.34,-54.75,-2
PML,MTR,SIN,06RIO-115,2020-01-04,18,368.23,431.97,-54.04,-9.7
PML,MTR,SIN,06RIO-115,2020-01-04,19,558.27,628.77,-65.22,-5.28
PML,MTR,SIN,06RIO-115,2020-01-04,20,558.87,627.85,-68.98,0
PML,MTR,SIN,06RIO-115,2020-01-04,21,416.88,548.12,-68.34,-62.89
PML,MTR,SIN,06RIO-115,2020-01-04,22,364.59,445.85,-64.12,-17.14
PML,MTR,SIN,06RIO-115,2020-01-04,23,346.1,444.26,-54.73,-43.44
PML,MTR,SIN,06RIO-115,2020-01-04,24,353.8,404.72,-48.35,-2.57
PML,MTR,SIN,06RIO-115,2020-01-05,1,336.99,387.01,-43.31,-6.71
PML,MTR,SIN,06RIO-115,2020-01-05,2,327.63,368.84,-41.22,0
PML,MTR,SIN,06RIO-115,2020-01-05,3,316.16,364.15,-47.99,0
PML,MTR,SIN,06RIO-115,2020-01-05,4,310.55,350.16,-39.62,0
PML,MTR,SIN,06RIO-115,2020-01-05,5,303.81,349,-45.19,0
PML,MTR,SIN,06RIO-115,2020-01-05,6,295.93,338.51,-42.59,0
PML,MTR,SIN,06RIO-115,2020-01-05,7,299.8,343.56,-43.76,0
PML,MTR,SIN,06RIO-115,2020-01-05,8,297.1,338.91,-41.82,0
PML,MTR,SIN,06RIO-115,2020-01-05,9,296.35,341.88,-45.54,0
PML,MTR,SIN,06RIO-115,2020-01-05,10,296.84,345.28,-51.9,3.47
PML,MTR,SIN,06RIO-115,2020-01-05,11,308.38,359.65,-47.93,-3.35
PML,MTR,SIN,06RIO-115,2020-01-05,12,310.02,358.54,-52.3,3.78
PML,MTR,SIN,06RIO-115,2020-01-05,13,311.04,360.94,-51.07,1.18
PML,MTR,SIN,06RIO-115,2020-01-05,14,311.92,358.3,-53.04,6.66
PML,MTR,SIN,06RIO-115,2020-01-05,15,312.08,363.21,-54.81,3.68
PML,MTR,SIN,06RIO-115,2020-01-05,16,309.61,358.57,-51.2,2.24
PML,MTR,SIN,06RIO-115,2020-01-05,17,309.5,362.68,-50.18,-3.01
PML,MTR,SIN,06RIO-115,2020-01-05,18,310.92,375.79,-50.53,-14.34
PML,MTR,SIN,06RIO-115,2020-01-05,19,302.28,445.6,-53.18,-90.14
PML,MTR,SIN,06RIO-115,2020-01-05,20,314.45,457.59,-55.71,-87.44
PML,MTR,SIN,06RIO-115,2020-01-05,21,313.2,433.81,-50.28,-70.33
PML,MTR,SIN,06RIO-115,2020-01-05,22,307.21,428.49,-49.35,-71.93
PML,MTR,SIN,06RIO-115,2020-01-05,23,311.74,391.61,-53.54,-26.33
PML,MTR,SIN,06RIO-115,2020-01-05,24,316.24,377.11,-44.64,-16.23
PML,MTR,SIN,06RIO-115,2020-01-06,1,310.34,373.64,-45.15,-18.16
PML,MTR,SIN,06RIO-115,2020-01-06,2,309.15,350.79,-41.63,0
PML,MTR,SIN,06RIO-115,2020-01-06,3,295.6,334.39,-38.79,0
PML,MTR,SIN,06RIO-115,2020-01-06,4,290.53,327.13,-36.59,0
PML,MTR,SIN,06RIO-115,2020-01-06,5,297.31,338.42,-41.08,-0.04
PML,MTR,SIN,06RIO-115,2020-01-06,6,309.45,352.67,-43.21,0
PML,MTR,SIN,06RIO-115,2020-01-06,7,320.97,377.03,-44.95,-11.11
PML,MTR,SIN,06RIO-115,2020-01-06,8,339.54,392.14,-44.4,-8.21
PML,MTR,SIN,06RIO-115,2020-01-06,9,347.83,404.75,-46.35,-10.57
PML,MTR,SIN,06RIO-115,2020-01-06,10,348.13,415.33,-51.42,-15.78
PML,MTR,SIN,06RIO-115,2020-01-06,11,340.61,428.62,-49.79,-38.23
PML,MTR,SIN,06RIO-115,2020-01-06,12,342.01,437.36,-55.78,-39.57
PML,MTR,SIN,06RIO-115,2020-01-06,13,340.45,437.81,-56.65,-40.72
PML,MTR,SIN,06RIO-115,2020-01-06,14,341.99,437.93,-55.35,-40.59
PML,MTR,SIN,06RIO-115,2020-01-06,15,342.55,438.46,-55.06,-40.84
PML,MTR,SIN,06RIO-115,2020-01-06,16,355.21,436.03,-59.36,-21.46
PML,MTR,SIN,06RIO-115,2020-01-06,17,389.77,457.25,-59.7,-7.78
PML,MTR,SIN,06RIO-115,2020-01-06,18,365.94,752.98,-90.42,-296.63
PML,MTR,SIN,06RIO-115,2020-01-06,19,355.71,782.85,-91.07,-336.08
PML,MTR,SIN,06RIO-115,2020-01-06,20,364.73,795.38,-95.27,-335.38
PML,MTR,SIN,06RIO-115,2020-01-06,21,348.81,780.59,-89.09,-342.69
PML,MTR,SIN,06RIO-115,2020-01-06,22,336.81,661.73,-74.43,-250.49
PML,MTR,SIN,06RIO-115,2020-01-06,23,340.13,564.57,-69.06,-155.38
PML,MTR,SIN,06RIO-115,2020-01-06,24,357.25,447.89,-56.11,-34.53
PML,MTR,SIN,06RIO-115,2020-01-07,1,356.51,418.86,-46.37,-15.98
PML,MTR,SIN,06RIO-115,2020-01-07,2,349.27,398.9,-40.11,-9.51
PML,MTR,SIN,06RIO-115,2020-01-07,3,324.04,392.63,-42.43,-26.16
PML,MTR,SIN,06RIO-115,2020-01-07,4,311.29,385.46,-46.98,-27.18
