price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06THO-115,2020-01-01,1,315.81,357.37,-41.55,0
PML,MTR,SIN,06THO-115,2020-01-01,2,315.71,357.13,-41.42,0
PML,MTR,SIN,06THO-115,2020-01-01,3,314.31,355,-40.7,0
PML,MTR,SIN,06THO-115,2020-01-01,4,303.37,342.25,-38.88,0
PML,MTR,SIN,06THO-115,2020-01-01,5,291.91,327.32,-35.41,0
PML,MTR,SIN,06THO-115,2020-01-01,6,257.63,284.26,-26.63,0
PML,MTR,SIN,06THO-115,2020-01-01,7,253.14,276.06,-22.92,0
PML,MTR,SIN,06THO-115,2020-01-01,8,240.62,261.2,-20.58,0
PML,MTR,SIN,06THO-115,2020-01-01,9,239.13,261.09,-21.96,0
PML,MTR,SIN,06THO-115,2020-01-01,10,262.81,287.89,-25.08,0
PML,MTR,SIN,06THO-115,2020-01-01,11,270.51,296.94,-26.43,0
PML,MTR,SIN,06THO-115,2020-01-01,12,305.88,354.93,-49.05,0
PML,MTR,SIN,06THO-115,2020-01-01,13,322.62,367.94,-45.32,0
PML,MTR,SIN,06THO-115,2020-01-01,14,326.11,371.17,-45.06,0
PML,MTR,SIN,06THO-115,2020-01-01,15,325.71,371.92,-46.21,0
PML,MTR,SIN,06THO-115,2020-01-01,16,326.73,370.91,-44.18,0
PML,MTR,SIN,06THO-115,2020-01-01,17,327.14,373.12,-45.98,0
PML,MTR,SIN,06THO-115,2020-01-01,18,335.52,379.17,-43.65,0
PML,MTR,SIN,06THO-115,2020-01-01,19,354.26,384.97,-49.63,18.92
PML,MTR,SIN,06THO-115,2020-01-01,20,356.79,380.39,-50.28,26.68
PML,MTR,SIN,06THO-115,2020-01-01,21,360.15,390,-49.98,20.13
PML,MTR,SIN,06THO-115,2020-01-01,22,356.27,385.22,-47.95,19
PML,MTR,SIN,06THO-115,2020-01-01,23,348.99,400.61,-49.09,-2.54
PML,MTR,SIN,06THO-115,2020-01-01,24,344.2,389.71,-45.51,0
PML,MTR,SIN,06THO-115,2020-01-02,1,330.51,375.69,-45.17,0
PML,MTR,SIN,06THO-115,2020-01-02,2,320.9,369.71,-48.81,0
PML,MTR,SIN,06THO-115,2020-01-02,3,318.34,362.67,-44.34,0
PML,MTR,SIN,06THO-115,2020-01-02,4,313.23,359.19,-45.96,0
PML,MTR,SIN,06THO-115,2020-01-02,5,314.35,360.41,-46.06,0
PML,MTR,SIN,06THO-115,2020-01-02,6,320.81,371.17,-50.36,0
PML,MTR,SIN,06THO-115,2020-01-02,7,329.37,379.77,-50.4,0
