price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06UNI-115,2020-01-01,1,315.96,357.37,-41.41,0
PML,MTR,SIN,06UNI-115,2020-01-01,2,315.83,357.13,-41.3,0
PML,MTR,SIN,06UNI-115,2020-01-01,3,314.4,355,-40.6,0
PML,MTR,SIN,06UNI-115,2020-01-01,4,303.44,342.25,-38.8,0
PML,MTR,SIN,06UNI-115,2020-01-01,5,292,327.32,-35.32,0
PML,MTR,SIN,06UNI-115,2020-01-01,6,257.71,284.26,-26.55,0
PML,MTR,SIN,06UNI-115,2020-01-01,7,253.24,276.06,-22.82,0
PML,MTR,SIN,06UNI-115,2020-01-01,8,240.74,261.2,-20.46,0
PML,MTR,SIN,06UNI-115,2020-01-01,9,239.22,261.09,-21.88,0
PML,MTR,SIN,06UNI-115,2020-01-01,10,262.9,287.89,-25,0
PML,MTR,SIN,06UNI-115,2020-01-01,11,270.6,296.94,-26.34,0
PML,MTR,SIN,06UNI-115,2020-01-01,12,305.94,354.93,-48.99,0
PML,MTR,SIN,06UNI-115,2020-01-01,13,322.64,367.94,-45.3,0
PML,MTR,SIN,06UNI-115,2020-01-01,14,326.13,371.17,-45.04,0
PML,MTR,SIN,06UNI-115,2020-01-01,15,325.75,371.92,-46.17,0
PML,MTR,SIN,06UNI-115,2020-01-01,16,326.77,370.91,-44.14,0
PML,MTR,SIN,06UNI-115,2020-01-01,17,327.18,373.12,-45.93,0
PML,MTR,SIN,06UNI-115,2020-01-01,18,335.58,379.17,-43.59,0
PML,MTR,SIN,06UNI-115,2020-01-01,19,354.4,384.97,-49.47,18.9
PML,MTR,SIN,06UNI-115,2020-01-01,20,356.92,380.39,-50.11,26.64
PML,MTR,SIN,06UNI-115,2020-01-01,21,360.32,390,-49.79,20.11
PML,MTR,SIN,06UNI-115,2020-01-01,22,356.41,385.22,-47.8,18.98
PML,MTR,SIN,06UNI-115,2020-01-01,23,349.13,400.61,-48.93,-2.55
PML,MTR,SIN,06UNI-115,2020-01-01,24,344.28,389.71,-45.43,0
PML,MTR,SIN,06UNI-115,2020-01-02,1,330.59,375.69,-45.1,0
PML,MTR,SIN,06UNI-115,2020-01-02,2,320.93,369.71,-48.78,0
PML,MTR,SIN,06UNI-115,2020-01-02,3,318.37,362.67,-44.31,0
PML,MTR,SIN,06UNI-115,2020-01-02,4,313.29,359.19,-45.9,0
PML,MTR,SIN,06UNI-115,2020-01-02,5,314.39,360.41,-46.02,0
PML,MTR,SIN,06UNI-115,2020-01-02,6,320.94,371.17,-50.23,0
PML,MTR,SIN,06UNI-115,2020-01-02,7,329.49,379.77,-50.28,0
PML,MTR,SIN,06UNI-115,2020-01-02,8,348.59,396.58,-47.98,0
PML,MTR,SIN,06UNI-115,2020-01-02,9,353.12,416.79,-56.42,-7.26
PML,MTR,SIN,06UNI-115,2020-01-02,10,344.25,429.72,-55.03,-30.45
PML,MTR,SIN,06UNI-115,2020-01-02,11,347.87,392.61,-54.41,9.67
PML,MTR,SIN,06UNI-115,2020-01-02,12,344.04,383.89,-53.09,13.24
PML,MTR,SIN,06UNI-115,2020-01-02,13,351.75,381.28,-55.07,25.55
PML,MTR,SIN,06UNI-115,2020-01-02,14,352.57,377.46,-48.57,23.69
PML,MTR,SIN,06UNI-115,2020-01-02,15,351.26,392.03,-53.33,12.56
PML,MTR,SIN,06UNI-115,2020-01-02,16,337.17,395.65,-60.42,1.93
PML,MTR,SIN,06UNI-115,2020-01-02,17,342.15,388.05,-60.13,14.22
PML,MTR,SIN,06UNI-115,2020-01-02,18,348.79,457.98,-61.49,-47.7
PML,MTR,SIN,06UNI-115,2020-01-02,19,364.21,341.57,-45.38,68.02
PML,MTR,SIN,06UNI-115,2020-01-02,20,368.22,602.32,-76.76,-157.35
PML,MTR,SIN,06UNI-115,2020-01-02,21,383.2,407.46,-52.08,27.82
PML,MTR,SIN,06UNI-115,2020-01-02,22,372.43,349.49,-46.76,69.7
PML,MTR,SIN,06UNI-115,2020-01-02,23,350.67,356.82,-46.71,40.57
PML,MTR,SIN,06UNI-115,2020-01-02,24,346.56,406.8,-56.54,-3.7
PML,MTR,SIN,06UNI-115,2020-01-03,1,342.67,426.75,-56.61,-27.47
PML,MTR,SIN,06UNI-115,2020-01-03,2,315.84,433.22,-57.77,-59.61
PML,MTR,SIN,06UNI-115,2020-01-03,3,305.93,409.79,-55.26,-48.6
PML,MTR,SIN,06UNI-115,2020-01-03,4,300.16,412.17,-55.08,-56.93
PML,MTR,SIN,06UNI-115,2020-01-03,5,299.76,401.06,-53.83,-47.48
PML,MTR,SIN,06UNI-115,2020-01-03,6,299.75,406.36,-54.6,-52.02
PML,MTR,SIN,06UNI-115,2020-01-03,7,295.32,425.27,-55.96,-73.99
PML,MTR,SIN,06UNI-115,2020-01-03,8,303.93,454.11,-58.6,-91.58
PML,MTR,SIN,06UNI-115,2020-01-03,9,326.86,376.42,-57.32,7.76
PML,MTR,SIN,06UNI-115,2020-01-03,10,309.57,280.57,-44.44,73.44
PML,MTR,SIN,06UNI-115,2020-01-03,11,312.29,324.95,-51.33,38.66
PML,MTR,SIN,06UNI-115,2020-01-03,12,308.62,289.55,-45.32,64.39
PML,MTR,SIN,06UNI-115,2020-01-03,13,296.83,292.51,-46.34,50.66
PML,MTR,SIN,06UNI-115,2020-01-03,14,297.07,280.79,-44.96,61.25
PML,MTR,SIN,06UNI-115,2020-01-03,15,284.59,285.31,-45.68,44.96
PML,MTR,SIN,06UNI-115,2020-01-03,16,284.46,305.51,-48.36,27.32
PML,MTR,SIN,06UNI-115,2020-01-03,17,283.87,287.79,-45.99,42.07
PML,MTR,SIN,06UNI-115,2020-01-03,18,282.85,249.28,-34.65,68.22
PML,MTR,SIN,06UNI-115,2020-01-03,19,329.33,643.86,-82.74,-231.79
PML,MTR,SIN,06UNI-115,2020-01-03,20,318.48,808.29,-101.55,-388.26
PML,MTR,SIN,06UNI-115,2020-01-03,21,302.4,775.47,-98.21,-374.86
PML,MTR,SIN,06UNI-115,2020-01-03,22,317.61,758.75,-95.57,-345.57
PML,MTR,SIN,06UNI-115,2020-01-03,23,327.3,692.15,-87.5,-277.34
PML,MTR,SIN,06UNI-115,2020-01-03,24,331.97,507.94,-63.69,-112.28
PML,MTR,SIN,06UNI-115,2020-01-04,1,355.3,419.66,-52.09,-12.28
PML,MTR,SIN,06UNI-115,2020-01-04,2,343.96,395.18,-51.22,0
