price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06CBO-115,2021-01-01,1,419.48,473.74,-54.26,0
PML,MTR,SIN,06CBO-115,2021-01-01,2,418.96,473.24,-54.28,0
PML,MTR,SIN,06CBO-115,2021-01-01,3,414.73,470.52,-55.78,0
PML,MTR,SIN,06CBO-115,2021-01-01,4,413.27,465.2,-51.93,0
PML,MTR,SIN,06CBO-115,2021-01-01,5,405.91,455.08,-49.17,0
PML,MTR,SIN,06CBO-115,2021-01-01,6,396.83,443.96,-47.13,0
PML,MTR,SIN,06CBO-115,2021-01-01,7,399.08,444.69,-45.6,0
PML,MTR,SIN,06CBO-115,2021-01-01,8,388.04,429.44,-41.4,0
PML,MTR,SIN,06CBO-115,2021-01-01,9,378.85,412.41,-33.56,0
PML,MTR,SIN,06CBO-115,2021-01-01,10,368.14,404.07,-35.92,0
PML,MTR,SIN,06CBO-115,2021-01-01,11,366.49,404.8,-38.3,0
PML,MTR,SIN,06CBO-115,2021-01-01,12,360.99,403.9,-42.91,0
PML,MTR,SIN,06CBO-115,2021-01-01,13,361.89,405.52,-43.62,0
PML,MTR,SIN,06CBO-115,2021-01-01,14,364.13,407.42,-43.29,0
PML,MTR,SIN,06CBO-115,2021-01-01,15,364.4,408.31,-43.92,0
PML,MTR,SIN,06CBO-115,2021-01-01,16,364.85,408.44,-43.59,0
PML,MTR,SIN,06CBO-115,2021-01-01,17,379.19,422.12,-42.93,0
PML,MTR,SIN,06CBO-115,2021-01-01,18,436.56,484.24,-47.67,0
PML,MTR,SIN,06CBO-115,2021-01-01,19,511.45,556.22,-44.77,0
PML,MTR,SIN,06CBO-115,2021-01-01,20,555.02,578.66,-53.34,29.7
PML,MTR,SIN,06CBO-115,2021-01-01,21,533.75,561.43,-50.73,23.06
PML,MTR,SIN,06CBO-115,2021-01-01,22,515.69,549.25,-56.86,23.29
PML,MTR,SIN,06CBO-115,2021-01-01,23,465.46,504,-51.7,13.16
PML,MTR,SIN,06CBO-115,2021-01-01,24,436.93,477.27,-51.8,11.46
PML,MTR,SIN,06CBO-115,2021-01-02,1,392.82,447.11,-54.3,0
PML,MTR,SIN,06CBO-115,2021-01-02,2,405.27,453.54,-48.27,0
PML,MTR,SIN,06CBO-115,2021-01-02,3,406.4,448.63,-42.23,0
PML,MTR,SIN,06CBO-115,2021-01-02,4,391.07,433.39,-42.32,0
PML,MTR,SIN,06CBO-115,2021-01-02,5,388.97,426.4,-37.43,0
PML,MTR,SIN,06CBO-115,2021-01-02,6,391.92,431.29,-39.36,0
PML,MTR,SIN,06CBO-115,2021-01-02,7,405.58,449.31,-43.74,0
PML,MTR,SIN,06CBO-115,2021-01-02,8,412.01,451.75,-39.73,0
PML,MTR,SIN,06CBO-115,2021-01-02,9,408.47,449.07,-40.6,0
PML,MTR,SIN,06CBO-115,2021-01-02,10,389.53,432.74,-43.2,0
PML,MTR,SIN,06CBO-115,2021-01-02,11,395.08,433.45,-38.37,0
PML,MTR,SIN,06CBO-115,2021-01-02,12,401.77,439.04,-37.27,0
PML,MTR,SIN,06CBO-115,2021-01-02,13,409.9,451.26,-41.36,0
PML,MTR,SIN,06CBO-115,2021-01-02,14,398.32,442.89,-44.57,0
PML,MTR,SIN,06CBO-115,2021-01-02,15,392.56,438.1,-45.54,0
PML,MTR,SIN,06CBO-115,2021-01-02,16,403.59,440.93,-37.33,0
PML,MTR,SIN,06CBO-115,2021-01-02,17,412.8,451.76,-38.96,0
PML,MTR,SIN,06CBO-115,2021-01-02,18,463.23,494.64,-31.41,0
PML,MTR,SIN,06CBO-115,2021-01-02,19,528.49,556.37,-27.88,0
PML,MTR,SIN,06CBO-115,2021-01-02,20,519.36,556.13,-36.77,0
PML,MTR,SIN,06CBO-115,2021-01-02,21,508.56,547.88,-39.32,0
PML,MTR,SIN,06CBO-115,2021-01-02,22,501.31,544.6,-43.28,0
PML,MTR,SIN,06CBO-115,2021-01-02,23,488.72,534.62,-45.9,0
PML,MTR,SIN,06CBO-115,2021-01-02,24,467.23,515.53,-48.3,0
PML,MTR,SIN,06CBO-115,2021-01-03,1,432.42,482.57,-50.15,0
PML,MTR,SIN,06CBO-115,2021-01-03,2,413.58,461.51,-47.93,0
PML,MTR,SIN,06CBO-115,2021-01-03,3,398.66,443.39,-44.73,0
PML,MTR,SIN,06CBO-115,2021-01-03,4,400.55,442.11,-41.56,0
PML,MTR,SIN,06CBO-115,2021-01-03,5,402.48,446.37,-43.89,0
PML,MTR,SIN,06CBO-115,2021-01-03,6,401.33,446.22,-44.89,0
PML,MTR,SIN,06CBO-115,2021-01-03,7,405.26,452.26,-47.01,0
PML,MTR,SIN,06CBO-115,2021-01-03,8,396.4,438.85,-42.44,0
PML,MTR,SIN,06CBO-115,2021-01-03,9,406.09,439.3,-33.21,0
PML,MTR,SIN,06CBO-115,2021-01-03,10,368.23,396.53,-28.31,0
PML,MTR,SIN,06CBO-115,2021-01-03,11,363.28,394.81,-31.53,0
PML,MTR,SIN,06CBO-115,2021-01-03,12,362.19,399.57,-37.37,0
PML,MTR,SIN,06CBO-115,2021-01-03,13,366,405.43,-39.43,0
PML,MTR,SIN,06CBO-115,2021-01-03,14,365.43,406.21,-40.78,0
PML,MTR,SIN,06CBO-115,2021-01-03,15,368.03,409.5,-41.47,0
PML,MTR,SIN,06CBO-115,2021-01-03,16,367.67,411.34,-43.67,0
PML,MTR,SIN,06CBO-115,2021-01-03,17,390.02,431.91,-41.89,0
PML,MTR,SIN,06CBO-115,2021-01-03,18,434.47,482.65,-48.17,0
PML,MTR,SIN,06CBO-115,2021-01-03,19,466.1,518.26,-52.17,0
PML,MTR,SIN,06CBO-115,2021-01-03,20,450.25,515.57,-65.32,0
PML,MTR,SIN,06CBO-115,2021-01-03,21,452.48,517.96,-65.48,0
PML,MTR,SIN,06CBO-115,2021-01-03,22,450.22,516.16,-65.94,0
PML,MTR,SIN,06CBO-115,2021-01-03,23,443.78,511.29,-67.51,0
PML,MTR,SIN,06CBO-115,2021-01-03,24,433.25,495.76,-62.51,0
PML,MTR,SIN,06CBO-115,2021-01-04,1,341.91,501.2,-44.67,-114.62
PML,MTR,SIN,06CBO-115,2021-01-04,2,335.33,486.37,-40.97,-110.07
PML,MTR,SIN,06CBO-115,2021-01-04,3,323.66,483,-39.49,-119.84
PML,MTR,SIN,06CBO-115,2021-01-04,4,333.36,480.4,-37.22,-109.83
PML,MTR,SIN,06CBO-115,2021-01-04,5,341.81,484.32,-37.83,-104.68
PML,MTR,SIN,06CBO-115,2021-01-04,6,350.5,491.92,-39.5,-101.93
PML,MTR,SIN,06CBO-115,2021-01-04,7,351.23,530.43,-44.66,-134.54
PML,MTR,SIN,06CBO-115,2021-01-04,8,368.34,540.74,-46.7,-125.7
PML,MTR,SIN,06CBO-115,2021-01-04,9,368.2,547.17,-53.64,-125.34
PML,MTR,SIN,06CBO-115,2021-01-04,10,358.79,528.52,-55.56,-114.17
PML,MTR,SIN,06CBO-115,2021-01-04,11,363.08,530.42,-56.53,-110.81
PML,MTR,SIN,06CBO-115,2021-01-04,12,372.35,529.01,-56.85,-99.8
PML,MTR,SIN,06CBO-115,2021-01-04,13,366.76,531.72,-56.57,-108.39
PML,MTR,SIN,06CBO-115,2021-01-04,14,363.64,551.68,-57.86,-130.18
PML,MTR,SIN,06CBO-115,2021-01-04,15,398.5,548.48,-57.71,-92.27
PML,MTR,SIN,06CBO-115,2021-01-04,16,367.17,533.67,-54.31,-112.19
PML,MTR,SIN,06CBO-115,2021-01-04,17,362.38,551.58,-55.98,-133.22
PML,MTR,SIN,06CBO-115,2021-01-04,18,367.73,571.21,-50.01,-153.46
PML,MTR,SIN,06CBO-115,2021-01-04,19,384.31,816.66,-66.54,-365.82
PML,MTR,SIN,06CBO-115,2021-01-04,20,381.29,575.93,-46.74,-147.91
PML,MTR,SIN,06CBO-115,2021-01-04,21,392.4,559.16,-45.46,-121.3
PML,MTR,SIN,06CBO-115,2021-01-04,22,400.71,577.22,-47.55,-128.95
PML,MTR,SIN,06CBO-115,2021-01-04,23,391.48,563.79,-47.92,-124.38
PML,MTR,SIN,06CBO-115,2021-01-04,24,392.67,554.13,-50.09,-111.37
