price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06CEM-115,2021-01-01,1,421.83,473.74,-51.91,0
PML,MTR,SIN,06CEM-115,2021-01-01,2,421.38,473.24,-51.86,0
PML,MTR,SIN,06CEM-115,2021-01-01,3,417.24,470.52,-53.28,0
PML,MTR,SIN,06CEM-115,2021-01-01,4,415.66,465.2,-49.54,0
PML,MTR,SIN,06CEM-115,2021-01-01,5,408.3,455.08,-46.78,0
PML,MTR,SIN,06CEM-115,2021-01-01,6,399.14,443.96,-44.82,0
PML,MTR,SIN,06CEM-115,2021-01-01,7,401.47,444.69,-43.21,0
PML,MTR,SIN,06CEM-115,2021-01-01,8,390.35,429.44,-39.09,0
PML,MTR,SIN,06CEM-115,2021-01-01,9,381.28,412.41,-31.13,0
PML,MTR,SIN,06CEM-115,2021-01-01,10,370.62,404.07,-33.45,0
PML,MTR,SIN,06CEM-115,2021-01-01,11,368.97,404.8,-35.83,0
PML,MTR,SIN,06CEM-115,2021-01-01,12,363.56,403.9,-40.33,0
PML,MTR,SIN,06CEM-115,2021-01-01,13,364.57,405.52,-40.94,0
PML,MTR,SIN,06CEM-115,2021-01-01,14,366.78,407.42,-40.64,0
PML,MTR,SIN,06CEM-115,2021-01-01,15,367.18,408.31,-41.13,0
PML,MTR,SIN,06CEM-115,2021-01-01,16,367.55,408.44,-40.9,0
PML,MTR,SIN,06CEM-115,2021-01-01,17,381.71,422.12,-40.41,0
PML,MTR,SIN,06CEM-115,2021-01-01,18,439.41,484.24,-44.82,0
PML,MTR,SIN,06CEM-115,2021-01-01,19,514.35,556.22,-41.88,0
PML,MTR,SIN,06CEM-115,2021-01-01,20,558.01,578.66,-50.28,29.63
PML,MTR,SIN,06CEM-115,2021-01-01,21,536.53,561.43,-47.91,23.01
PML,MTR,SIN,06CEM-115,2021-01-01,22,518.3,549.25,-54.19,23.24
PML,MTR,SIN,06CEM-115,2021-01-01,23,467.83,504,-49.31,13.13
PML,MTR,SIN,06CEM-115,2021-01-01,24,439.15,477.27,-49.56,11.44
PML,MTR,SIN,06CEM-115,2021-01-02,1,394.45,447.11,-52.66,0
PML,MTR,SIN,06CEM-115,2021-01-02,2,406.69,453.54,-46.85,0
PML,MTR,SIN,06CEM-115,2021-01-02,3,407.82,448.63,-40.81,0
PML,MTR,SIN,06CEM-115,2021-01-02,4,392.37,433.39,-41.02,0
PML,MTR,SIN,06CEM-115,2021-01-02,5,390.3,426.4,-36.1,0
PML,MTR,SIN,06CEM-115,2021-01-02,6,393.2,431.29,-38.09,0
PML,MTR,SIN,06CEM-115,2021-01-02,7,406.88,449.31,-42.44,0
PML,MTR,SIN,06CEM-115,2021-01-02,8,413.41,451.75,-38.34,0
PML,MTR,SIN,06CEM-115,2021-01-02,9,410.08,449.07,-39,0
PML,MTR,SIN,06CEM-115,2021-01-02,10,391.68,432.74,-41.05,0
PML,MTR,SIN,06CEM-115,2021-01-02,11,397.38,433.45,-36.07,0
PML,MTR,SIN,06CEM-115,2021-01-02,12,404.03,439.04,-35.01,0
PML,MTR,SIN,06CEM-115,2021-01-02,13,412.21,451.26,-39.05,0
PML,MTR,SIN,06CEM-115,2021-01-02,14,400.48,442.89,-42.42,0
PML,MTR,SIN,06CEM-115,2021-01-02,15,394.64,438.1,-43.46,0
PML,MTR,SIN,06CEM-115,2021-01-02,16,405.98,440.93,-34.95,0
PML,MTR,SIN,06CEM-115,2021-01-02,17,415.2,451.76,-36.56,0
PML,MTR,SIN,06CEM-115,2021-01-02,18,465.13,494.64,-29.51,0
PML,MTR,SIN,06CEM-115,2021-01-02,19,530.49,556.37,-25.88,0
PML,MTR,SIN,06CEM-115,2021-01-02,20,521.46,556.13,-34.67,0
PML,MTR,SIN,06CEM-115,2021-01-02,21,510.46,547.88,-37.41,0
PML,MTR,SIN,06CEM-115,2021-01-02,22,503.07,544.6,-41.53,0
PML,MTR,SIN,06CEM-115,2021-01-02,23,490.31,534.62,-44.32,0
PML,MTR,SIN,06CEM-115,2021-01-02,24,468.69,515.53,-46.84,0
PML,MTR,SIN,06CEM-115,2021-01-03,1,433.81,482.57,-48.76,0
PML,MTR,SIN,06CEM-115,2021-01-03,2,414.97,461.51,-46.54,0
PML,MTR,SIN,06CEM-115,2021-01-03,3,400.11,443.39,-43.29,0
PML,MTR,SIN,06CEM-115,2021-01-03,4,402.08,442.11,-40.03,0
PML,MTR,SIN,06CEM-115,2021-01-03,5,403.99,446.37,-42.38,0
PML,MTR,SIN,06CEM-115,2021-01-03,6,402.83,446.22,-43.39,0
PML,MTR,SIN,06CEM-115,2021-01-03,7,406.79,452.26,-45.47,0
PML,MTR,SIN,06CEM-115,2021-01-03,8,397.97,438.85,-40.88,0
PML,MTR,SIN,06CEM-115,2021-01-03,9,407.65,439.3,-31.64,0
PML,MTR,SIN,06CEM-115,2021-01-03,10,369.91,396.53,-26.63,0
PML,MTR,SIN,06CEM-115,2021-01-03,11,364.98,394.81,-29.83,0
PML,MTR,SIN,06CEM-115,2021-01-03,12,363.89,399.57,-35.67,0
PML,MTR,SIN,06CEM-115,2021-01-03,13,367.7,405.43,-37.73,0
PML,MTR,SIN,06CEM-115,2021-01-03,14,367.22,406.21,-38.98,0
PML,MTR,SIN,06CEM-115,2021-01-03,15,369.85,409.5,-39.66,0
PML,MTR,SIN,06CEM-115,2021-01-03,16,369.5,411.34,-41.84,0
PML,MTR,SIN,06CEM-115,2021-01-03,17,391.75,431.91,-40.17,0
PML,MTR,SIN,06CEM-115,2021-01-03,18,436.12,482.65,-46.53,0
PML,MTR,SIN,06CEM-115,2021-01-03,19,467.37,518.26,-50.89,0
PML,MTR,SIN,06CEM-115,2021-01-03,20,451.35,515.57,-64.22,0
