price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06CMN-115,2021-01-01,1,419.46,473.74,-54.28,0
PML,MTR,SIN,06CMN-115,2021-01-01,2,418.97,473.24,-54.28,0
PML,MTR,SIN,06CMN-115,2021-01-01,3,414.73,470.52,-55.78,0
PML,MTR,SIN,06CMN-115,2021-01-01,4,413.28,465.2,-51.91,0
PML,MTR,SIN,06CMN-115,2021-01-01,5,405.92,455.08,-49.16,0
PML,MTR,SIN,06CMN-115,2021-01-01,6,396.84,443.96,-47.12,0
PML,MTR,SIN,06CMN-115,2021-01-01,7,399.11,444.69,-45.58,0
PML,MTR,SIN,06CMN-115,2021-01-01,8,388.06,429.44,-41.38,0
PML,MTR,SIN,06CMN-115,2021-01-01,9,378.89,412.41,-33.52,0
PML,MTR,SIN,06CMN-115,2021-01-01,10,368.17,404.07,-35.89,0
PML,MTR,SIN,06CMN-115,2021-01-01,11,366.54,404.8,-38.26,0
PML,MTR,SIN,06CMN-115,2021-01-01,12,361.04,403.9,-42.85,0
PML,MTR,SIN,06CMN-115,2021-01-01,13,361.96,405.52,-43.56,0
PML,MTR,SIN,06CMN-115,2021-01-01,14,364.18,407.42,-43.24,0
PML,MTR,SIN,06CMN-115,2021-01-01,15,364.45,408.31,-43.87,0
PML,MTR,SIN,06CMN-115,2021-01-01,16,364.89,408.44,-43.56,0
PML,MTR,SIN,06CMN-115,2021-01-01,17,379.2,422.12,-42.92,0
PML,MTR,SIN,06CMN-115,2021-01-01,18,436.56,484.24,-47.68,0
PML,MTR,SIN,06CMN-115,2021-01-01,19,511.42,556.22,-44.8,0
PML,MTR,SIN,06CMN-115,2021-01-01,20,554.99,578.66,-53.36,29.69
PML,MTR,SIN,06CMN-115,2021-01-01,21,533.72,561.43,-50.76,23.05
PML,MTR,SIN,06CMN-115,2021-01-01,22,515.67,549.25,-56.87,23.29
PML,MTR,SIN,06CMN-115,2021-01-01,23,465.45,504,-51.71,13.16
