price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06LOL-115,2021-01-01,1,420.9,473.74,-52.85,0
PML,MTR,SIN,06LOL-115,2021-01-01,2,420.44,473.24,-52.8,0
PML,MTR,SIN,06LOL-115,2021-01-01,3,416.27,470.52,-54.25,0
PML,MTR,SIN,06LOL-115,2021-01-01,4,414.73,465.2,-50.47,0
PML,MTR,SIN,06LOL-115,2021-01-01,5,407.35,455.08,-47.73,0
PML,MTR,SIN,06LOL-115,2021-01-01,6,398.24,443.96,-45.72,0
PML,MTR,SIN,06LOL-115,2021-01-01,7,400.59,444.69,-44.1,0
PML,MTR,SIN,06LOL-115,2021-01-01,8,389.51,429.44,-39.93,0
PML,MTR,SIN,06LOL-115,2021-01-01,9,380.42,412.41,-31.99,0
PML,MTR,SIN,06LOL-115,2021-01-01,10,369.83,404.07,-34.23,0
PML,MTR,SIN,06LOL-115,2021-01-01,11,368.16,404.8,-36.63,0
PML,MTR,SIN,06LOL-115,2021-01-01,12,362.82,403.9,-41.08,0
PML,MTR,SIN,06LOL-115,2021-01-01,13,363.76,405.52,-41.76,0
PML,MTR,SIN,06LOL-115,2021-01-01,14,365.95,407.42,-41.47,0
PML,MTR,SIN,06LOL-115,2021-01-01,15,366.35,408.31,-41.97,0
PML,MTR,SIN,06LOL-115,2021-01-01,16,366.71,408.44,-41.73,0
PML,MTR,SIN,06LOL-115,2021-01-01,17,380.89,422.12,-41.23,0
PML,MTR,SIN,06LOL-115,2021-01-01,18,438.45,484.24,-45.79,0
PML,MTR,SIN,06LOL-115,2021-01-01,19,513.26,556.22,-42.96,0
PML,MTR,SIN,06LOL-115,2021-01-01,20,556.87,578.66,-51.43,29.64
PML,MTR,SIN,06LOL-115,2021-01-01,21,535.39,561.43,-49.05,23.02
PML,MTR,SIN,06LOL-115,2021-01-01,22,517.21,549.25,-55.29,23.25
PML,MTR,SIN,06LOL-115,2021-01-01,23,466.78,504,-50.36,13.14
PML,MTR,SIN,06LOL-115,2021-01-01,24,438.14,477.27,-50.57,11.44
PML,MTR,SIN,06LOL-115,2021-01-02,1,393.55,447.11,-53.56,0
PML,MTR,SIN,06LOL-115,2021-01-02,2,405.84,453.54,-47.7,0
PML,MTR,SIN,06LOL-115,2021-01-02,3,406.97,448.63,-41.66,0
PML,MTR,SIN,06LOL-115,2021-01-02,4,391.53,433.39,-41.86,0
PML,MTR,SIN,06LOL-115,2021-01-02,5,389.44,426.4,-36.96,0
