price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06LRR-115,2021-01-01,1,421.1,473.74,-52.64,0
PML,MTR,SIN,06LRR-115,2021-01-01,2,420.66,473.24,-52.58,0
PML,MTR,SIN,06LRR-115,2021-01-01,3,416.5,470.52,-54.01,0
PML,MTR,SIN,06LRR-115,2021-01-01,4,414.95,465.2,-50.25,0
PML,MTR,SIN,06LRR-115,2021-01-01,5,407.58,455.08,-47.5,0
PML,MTR,SIN,06LRR-115,2021-01-01,6,398.45,443.96,-45.51,0
PML,MTR,SIN,06LRR-115,2021-01-01,7,400.81,444.69,-43.88,0
PML,MTR,SIN,06LRR-115,2021-01-01,8,389.71,429.44,-39.73,0
PML,MTR,SIN,06LRR-115,2021-01-01,9,380.64,412.41,-31.77,0
PML,MTR,SIN,06LRR-115,2021-01-01,10,370.04,404.07,-34.03,0
PML,MTR,SIN,06LRR-115,2021-01-01,11,368.38,404.8,-36.42,0
PML,MTR,SIN,06LRR-115,2021-01-01,12,363.05,403.9,-40.85,0
PML,MTR,SIN,06LRR-115,2021-01-01,13,364.01,405.52,-41.51,0
PML,MTR,SIN,06LRR-115,2021-01-01,14,366.19,407.42,-41.23,0
PML,MTR,SIN,06LRR-115,2021-01-01,15,366.6,408.31,-41.72,0
PML,MTR,SIN,06LRR-115,2021-01-01,16,366.96,408.44,-41.48,0
PML,MTR,SIN,06LRR-115,2021-01-01,17,381.12,422.12,-41,0
PML,MTR,SIN,06LRR-115,2021-01-01,18,438.72,484.24,-45.52,0
PML,MTR,SIN,06LRR-115,2021-01-01,19,513.56,556.22,-42.66,0
PML,MTR,SIN,06LRR-115,2021-01-01,20,557.21,578.66,-51.08,29.63
PML,MTR,SIN,06LRR-115,2021-01-01,21,535.72,561.43,-48.71,23.01
PML,MTR,SIN,06LRR-115,2021-01-01,22,517.53,549.25,-54.96,23.24
PML,MTR,SIN,06LRR-115,2021-01-01,23,467.07,504,-50.06,13.13
PML,MTR,SIN,06LRR-115,2021-01-01,24,438.42,477.27,-50.29,11.44
PML,MTR,SIN,06LRR-115,2021-01-02,1,393.74,447.11,-53.37,0
PML,MTR,SIN,06LRR-115,2021-01-02,2,405.98,453.54,-47.56,0
