price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06MAV-115,2021-01-01,1,420.58,473.74,-53.16,0
PML,MTR,SIN,06MAV-115,2021-01-01,2,420,473.24,-53.24,0
PML,MTR,SIN,06MAV-115,2021-01-01,3,415.77,470.52,-54.74,0
PML,MTR,SIN,06MAV-115,2021-01-01,4,414.24,465.2,-50.96,0
PML,MTR,SIN,06MAV-115,2021-01-01,5,406.86,455.08,-48.22,0
PML,MTR,SIN,06MAV-115,2021-01-01,6,397.77,443.96,-46.19,0
PML,MTR,SIN,06MAV-115,2021-01-01,7,400.06,444.69,-44.63,0
PML,MTR,SIN,06MAV-115,2021-01-01,8,389.03,429.44,-40.41,0
PML,MTR,SIN,06MAV-115,2021-01-01,9,379.87,412.41,-32.53,0
PML,MTR,SIN,06MAV-115,2021-01-01,10,369.24,404.07,-34.82,0
PML,MTR,SIN,06MAV-115,2021-01-01,11,367.56,404.8,-37.24,0
PML,MTR,SIN,06MAV-115,2021-01-01,12,362.09,403.9,-41.8,0
PML,MTR,SIN,06MAV-115,2021-01-01,13,363.02,405.52,-42.5,0
PML,MTR,SIN,06MAV-115,2021-01-01,14,365.3,407.42,-42.12,0
PML,MTR,SIN,06MAV-115,2021-01-01,15,365.62,408.31,-42.7,0
PML,MTR,SIN,06MAV-115,2021-01-01,16,366.04,408.44,-42.4,0
PML,MTR,SIN,06MAV-115,2021-01-01,17,380.37,422.12,-41.75,0
PML,MTR,SIN,06MAV-115,2021-01-01,18,437.91,484.24,-46.33,0
PML,MTR,SIN,06MAV-115,2021-01-01,19,512.84,556.22,-43.38,0
PML,MTR,SIN,06MAV-115,2021-01-01,20,556.38,578.66,-51.97,29.69
PML,MTR,SIN,06MAV-115,2021-01-01,21,534.97,561.43,-49.51,23.05
PML,MTR,SIN,06MAV-115,2021-01-01,22,516.79,549.25,-55.75,23.28
PML,MTR,SIN,06MAV-115,2021-01-01,23,466.41,504,-50.75,13.15
PML,MTR,SIN,06MAV-115,2021-01-01,24,437.82,477.27,-50.91,11.46
PML,MTR,SIN,06MAV-115,2021-01-02,1,393.59,447.11,-53.53,0
PML,MTR,SIN,06MAV-115,2021-01-02,2,406.06,453.54,-47.48,0
PML,MTR,SIN,06MAV-115,2021-01-02,3,407.2,448.63,-41.43,0
PML,MTR,SIN,06MAV-115,2021-01-02,4,391.86,433.39,-41.53,0
PML,MTR,SIN,06MAV-115,2021-01-02,5,389.74,426.4,-36.66,0
PML,MTR,SIN,06MAV-115,2021-01-02,6,392.73,431.29,-38.56,0
PML,MTR,SIN,06MAV-115,2021-01-02,7,406.42,449.31,-42.89,0
PML,MTR,SIN,06MAV-115,2021-01-02,8,412.87,451.75,-38.87,0
PML,MTR,SIN,06MAV-115,2021-01-02,9,409.32,449.07,-39.76,0
PML,MTR,SIN,06MAV-115,2021-01-02,10,390.45,432.74,-42.28,0
PML,MTR,SIN,06MAV-115,2021-01-02,11,395.98,433.45,-37.47,0
PML,MTR,SIN,06MAV-115,2021-01-02,12,402.68,439.04,-36.36,0
PML,MTR,SIN,06MAV-115,2021-01-02,13,410.85,451.26,-40.41,0
PML,MTR,SIN,06MAV-115,2021-01-02,14,399.22,442.89,-43.67,0
PML,MTR,SIN,06MAV-115,2021-01-02,15,393.46,438.1,-44.64,0
PML,MTR,SIN,06MAV-115,2021-01-02,16,404.52,440.93,-36.41,0
PML,MTR,SIN,06MAV-115,2021-01-02,17,413.74,451.76,-38.02,0
PML,MTR,SIN,06MAV-115,2021-01-02,18,464.18,494.64,-30.46,0
PML,MTR,SIN,06MAV-115,2021-01-02,19,529.5,556.37,-26.87,0
PML,MTR,SIN,06MAV-115,2021-01-02,20,520.39,556.13,-35.74,0
PML,MTR,SIN,06MAV-115,2021-01-02,21,509.43,547.88,-38.44,0
PML,MTR,SIN,06MAV-115,2021-01-02,22,502.09,544.6,-42.51,0
PML,MTR,SIN,06MAV-115,2021-01-02,23,489.44,534.62,-45.18,0
PML,MTR,SIN,06MAV-115,2021-01-02,24,467.94,515.53,-47.59,0
PML,MTR,SIN,06MAV-115,2021-01-03,1,433.12,482.57,-49.45,0
PML,MTR,SIN,06MAV-115,2021-01-03,2,414.26,461.51,-47.25,0
PML,MTR,SIN,06MAV-115,2021-01-03,3,399.33,443.39,-44.06,0
PML,MTR,SIN,06MAV-115,2021-01-03,4,401.24,442.11,-40.87,0
PML,MTR,SIN,06MAV-115,2021-01-03,5,403.2,446.37,-43.17,0
PML,MTR,SIN,06MAV-115,2021-01-03,6,402,446.22,-44.22,0
PML,MTR,SIN,06MAV-115,2021-01-03,7,405.96,452.26,-46.3,0
PML,MTR,SIN,06MAV-115,2021-01-03,8,397.09,438.85,-41.76,0
PML,MTR,SIN,06MAV-115,2021-01-03,9,406.79,439.3,-32.5,0
PML,MTR,SIN,06MAV-115,2021-01-03,10,368.86,396.53,-27.67,0
PML,MTR,SIN,06MAV-115,2021-01-03,11,363.94,394.81,-30.87,0
PML,MTR,SIN,06MAV-115,2021-01-03,12,362.91,399.57,-36.65,0
PML,MTR,SIN,06MAV-115,2021-01-03,13,366.73,405.43,-38.7,0
PML,MTR,SIN,06MAV-115,2021-01-03,14,366.17,406.21,-40.03,0
PML,MTR,SIN,06MAV-115,2021-01-03,15,368.82,409.5,-40.68,0
PML,MTR,SIN,06MAV-115,2021-01-03,16,368.53,411.34,-42.81,0
PML,MTR,SIN,06MAV-115,2021-01-03,17,390.83,431.91,-41.08,0
PML,MTR,SIN,06MAV-115,2021-01-03,18,435.28,482.65,-47.37,0
PML,MTR,SIN,06MAV-115,2021-01-03,19,466.77,518.26,-51.5,0
PML,MTR,SIN,06MAV-115,2021-01-03,20,450.86,515.57,-64.71,0
PML,MTR,SIN,06MAV-115,2021-01-03,21,453.03,517.96,-64.93,0
PML,MTR,SIN,06MAV-115,2021-01-03,22,450.71,516.16,-65.46,0
PML,MTR,SIN,06MAV-115,2021-01-03,23,444.26,511.29,-67.04,0
PML,MTR,SIN,06MAV-115,2021-01-03,24,433.69,495.76,-62.07,0
PML,MTR,SIN,06MAV-115,2021-01-04,1,342.26,501.2,-44.26,-114.68
PML,MTR,SIN,06MAV-115,2021-01-04,2,335.73,486.37,-40.51,-110.14
PML,MTR,SIN,06MAV-115,2021-01-04,3,324.08,483,-39,-119.92
PML,MTR,SIN,06MAV-115,2021-01-04,4,333.8,480.4,-36.71,-109.89
PML,MTR,SIN,06MAV-115,2021-01-04,5,342.24,484.32,-37.35,-104.74
PML,MTR,SIN,06MAV-115,2021-01-04,6,350.96,491.92,-38.98,-101.99
PML,MTR,SIN,06MAV-115,2021-01-04,7,351.67,530.43,-44.14,-134.62
PML,MTR,SIN,06MAV-115,2021-01-04,8,368.81,540.74,-46.15,-125.78
