price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06SRD-115,2021-01-01,1,419.71,473.74,-54.03,0
PML,MTR,SIN,06SRD-115,2021-01-01,2,419.26,473.24,-53.99,0
PML,MTR,SIN,06SRD-115,2021-01-01,3,415.01,470.52,-55.51,0
PML,MTR,SIN,06SRD-115,2021-01-01,4,413.57,465.2,-51.63,0
PML,MTR,SIN,06SRD-115,2021-01-01,5,406.18,455.08,-48.9,0
PML,MTR,SIN,06SRD-115,2021-01-01,6,397.09,443.96,-46.87,0
PML,MTR,SIN,06SRD-115,2021-01-01,7,399.37,444.69,-45.31,0
PML,MTR,SIN,06SRD-115,2021-01-01,8,388.3,429.44,-41.14,0
PML,MTR,SIN,06SRD-115,2021-01-01,9,379.14,412.41,-33.27,0
PML,MTR,SIN,06SRD-115,2021-01-01,10,368.41,404.07,-35.65,0
PML,MTR,SIN,06SRD-115,2021-01-01,11,366.81,404.8,-37.99,0
PML,MTR,SIN,06SRD-115,2021-01-01,12,361.33,403.9,-42.56,0
PML,MTR,SIN,06SRD-115,2021-01-01,13,362.26,405.52,-43.26,0
PML,MTR,SIN,06SRD-115,2021-01-01,14,364.47,407.42,-42.94,0
PML,MTR,SIN,06SRD-115,2021-01-01,15,364.73,408.31,-43.58,0
PML,MTR,SIN,06SRD-115,2021-01-01,16,365.19,408.44,-43.25,0
PML,MTR,SIN,06SRD-115,2021-01-01,17,379.49,422.12,-42.63,0
PML,MTR,SIN,06SRD-115,2021-01-01,18,436.82,484.24,-47.41,0
PML,MTR,SIN,06SRD-115,2021-01-01,19,511.69,556.22,-44.53,0
PML,MTR,SIN,06SRD-115,2021-01-01,20,555.3,578.66,-53.05,29.69
PML,MTR,SIN,06SRD-115,2021-01-01,21,534.02,561.43,-50.45,23.05
PML,MTR,SIN,06SRD-115,2021-01-01,22,516,549.25,-56.54,23.29
PML,MTR,SIN,06SRD-115,2021-01-01,23,465.75,504,-51.41,13.15
PML,MTR,SIN,06SRD-115,2021-01-01,24,437.13,477.27,-51.6,11.46
PML,MTR,SIN,06SRD-115,2021-01-02,1,392.87,447.11,-54.24,0
PML,MTR,SIN,06SRD-115,2021-01-02,2,405.26,453.54,-48.28,0
PML,MTR,SIN,06SRD-115,2021-01-02,3,406.36,448.63,-42.27,0
PML,MTR,SIN,06SRD-115,2021-01-02,4,390.99,433.39,-42.4,0
PML,MTR,SIN,06SRD-115,2021-01-02,5,388.92,426.4,-37.48,0
PML,MTR,SIN,06SRD-115,2021-01-02,6,391.85,431.29,-39.44,0
PML,MTR,SIN,06SRD-115,2021-01-02,7,405.49,449.31,-43.83,0
PML,MTR,SIN,06SRD-115,2021-01-02,8,411.92,451.75,-39.83,0
