price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06CNY-115,2022-01-01,1,521.09,615.76,-70.06,-24.62
PML,MTR,SIN,06CNY-115,2022-01-01,2,524.86,605.54,-70.52,-10.15
PML,MTR,SIN,06CNY-115,2022-01-01,3,508.93,594.38,-70.92,-14.54
PML,MTR,SIN,06CNY-115,2022-01-01,4,504.27,567.47,-63.2,0
PML,MTR,SIN,06CNY-115,2022-01-01,5,483.63,571.55,-64.25,-23.67
PML,MTR,SIN,06CNY-115,2022-01-01,6,491.88,545.67,-53.79,0
PML,MTR,SIN,06CNY-115,2022-01-01,7,483.56,529.64,-46.09,0
PML,MTR,SIN,06CNY-115,2022-01-01,8,467.61,513.37,-45.76,0
PML,MTR,SIN,06CNY-115,2022-01-01,9,450.76,496.79,-46.03,0
PML,MTR,SIN,06CNY-115,2022-01-01,10,456.61,503.67,-47.06,0
PML,MTR,SIN,06CNY-115,2022-01-01,11,447.35,502,-54.64,0
PML,MTR,SIN,06CNY-115,2022-01-01,12,457.24,509.34,-52.09,0
PML,MTR,SIN,06CNY-115,2022-01-01,13,476.93,525.11,-48.18,0
PML,MTR,SIN,06CNY-115,2022-01-01,14,492.93,534.92,-41.99,0
PML,MTR,SIN,06CNY-115,2022-01-01,15,506.82,545.23,-38.4,0
PML,MTR,SIN,06CNY-115,2022-01-01,16,531.53,578.33,-46.81,0
PML,MTR,SIN,06CNY-115,2022-01-01,17,555.71,596.74,-41.03,0
PML,MTR,SIN,06CNY-115,2022-01-01,18,627.53,679.57,-52.04,0
PML,MTR,SIN,06CNY-115,2022-01-01,19,663.66,732.49,-68.84,0
PML,MTR,SIN,06CNY-115,2022-01-01,20,621.12,753.57,-82.27,-50.18
PML,MTR,SIN,06CNY-115,2022-01-01,21,629.47,747.4,-84.48,-33.45
PML,MTR,SIN,06CNY-115,2022-01-01,22,584.38,754.64,-88.23,-82.03
PML,MTR,SIN,06CNY-115,2022-01-01,23,590.91,742.66,-83.13,-68.63
PML,MTR,SIN,06CNY-115,2022-01-01,24,598.51,732.46,-81.69,-52.27
PML,MTR,SIN,06CNY-115,2022-01-02,1,580.43,713.32,-78.33,-54.56
PML,MTR,SIN,06CNY-115,2022-01-02,2,567.99,690.53,-69.09,-53.45
PML,MTR,SIN,06CNY-115,2022-01-02,3,560.7,658.1,-63.87,-33.53
PML,MTR,SIN,06CNY-115,2022-01-02,4,579.92,678.62,-66.91,-31.79
PML,MTR,SIN,06CNY-115,2022-01-02,5,536.3,678.25,-63.09,-78.86
PML,MTR,SIN,06CNY-115,2022-01-02,6,534.9,673.17,-65.34,-72.94
PML,MTR,SIN,06CNY-115,2022-01-02,7,530.09,670.83,-69.98,-70.77
PML,MTR,SIN,06CNY-115,2022-01-02,8,524.05,637.92,-66.31,-47.56
PML,MTR,SIN,06CNY-115,2022-01-02,9,533.39,596.21,-62.82,0
PML,MTR,SIN,06CNY-115,2022-01-02,10,449.72,590.16,-70.03,-70.41
PML,MTR,SIN,06CNY-115,2022-01-02,11,478.34,589.15,-71.64,-39.18
PML,MTR,SIN,06CNY-115,2022-01-02,12,525.02,594.86,-69.84,0
PML,MTR,SIN,06CNY-115,2022-01-02,13,507.11,617.14,-72.81,-37.22
PML,MTR,SIN,06CNY-115,2022-01-02,14,535.6,637.06,-74.14,-27.32
PML,MTR,SIN,06CNY-115,2022-01-02,15,536.02,655.78,-78.67,-41.09
PML,MTR,SIN,06CNY-115,2022-01-02,16,533.43,655.32,-81.34,-40.55
PML,MTR,SIN,06CNY-115,2022-01-02,17,580.84,659.56,-77.15,-1.58
PML,MTR,SIN,06CNY-115,2022-01-02,18,594.16,684.36,-75.02,-15.17
PML,MTR,SIN,06CNY-115,2022-01-02,19,634.7,721.77,-76.32,-10.76
