price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06DNA-115,2022-01-01,1,520.83,615.76,-70.33,-24.6
PML,MTR,SIN,06DNA-115,2022-01-01,2,524.58,605.54,-70.81,-10.15
PML,MTR,SIN,06DNA-115,2022-01-01,3,508.62,594.38,-71.23,-14.53
PML,MTR,SIN,06DNA-115,2022-01-01,4,503.87,567.47,-63.6,0
PML,MTR,SIN,06DNA-115,2022-01-01,5,483.27,571.55,-64.62,-23.66
PML,MTR,SIN,06DNA-115,2022-01-01,6,491.5,545.67,-54.16,0
PML,MTR,SIN,06DNA-115,2022-01-01,7,483.25,529.64,-46.39,0
PML,MTR,SIN,06DNA-115,2022-01-01,8,467.32,513.37,-46.06,0
PML,MTR,SIN,06DNA-115,2022-01-01,9,450.25,496.79,-46.54,0
PML,MTR,SIN,06DNA-115,2022-01-01,10,455.97,503.67,-47.7,0
PML,MTR,SIN,06DNA-115,2022-01-01,11,446.45,502,-55.54,0
PML,MTR,SIN,06DNA-115,2022-01-01,12,456.24,509.34,-53.1,0
PML,MTR,SIN,06DNA-115,2022-01-01,13,475.87,525.11,-49.24,0
PML,MTR,SIN,06DNA-115,2022-01-01,14,491.91,534.92,-43.01,0
PML,MTR,SIN,06DNA-115,2022-01-01,15,505.76,545.23,-39.47,0
PML,MTR,SIN,06DNA-115,2022-01-01,16,530.29,578.33,-48.05,0
PML,MTR,SIN,06DNA-115,2022-01-01,17,554.57,596.74,-42.17,0
PML,MTR,SIN,06DNA-115,2022-01-01,18,626.55,679.57,-53.02,0
PML,MTR,SIN,06DNA-115,2022-01-01,19,663.07,732.49,-69.42,0
PML,MTR,SIN,06DNA-115,2022-01-01,20,620.24,753.57,-82.77,-50.56
PML,MTR,SIN,06DNA-115,2022-01-01,21,628.62,747.4,-85.08,-33.7
PML,MTR,SIN,06DNA-115,2022-01-01,22,582.91,754.64,-89.08,-82.65
PML,MTR,SIN,06DNA-115,2022-01-01,23,589.44,742.66,-84.08,-69.15
PML,MTR,SIN,06DNA-115,2022-01-01,24,597.19,732.46,-82.61,-52.67
PML,MTR,SIN,06DNA-115,2022-01-02,1,579.59,713.32,-79.21,-54.52
PML,MTR,SIN,06DNA-115,2022-01-02,2,566.95,690.53,-70.16,-53.42
PML,MTR,SIN,06DNA-115,2022-01-02,3,559.72,658.1,-64.86,-33.51
PML,MTR,SIN,06DNA-115,2022-01-02,4,578.73,678.62,-67.86,-32.03
PML,MTR,SIN,06DNA-115,2022-01-02,5,535.02,678.25,-63.77,-79.46
PML,MTR,SIN,06DNA-115,2022-01-02,6,534.36,673.17,-65.92,-72.89
PML,MTR,SIN,06DNA-115,2022-01-02,7,529.69,670.83,-70.42,-70.73
PML,MTR,SIN,06DNA-115,2022-01-02,8,523.68,637.92,-66.71,-47.54
PML,MTR,SIN,06DNA-115,2022-01-02,9,532.41,596.21,-63.79,0
PML,MTR,SIN,06DNA-115,2022-01-02,10,448.58,590.16,-71.21,-70.37
PML,MTR,SIN,06DNA-115,2022-01-02,11,477.1,589.15,-72.9,-39.15
PML,MTR,SIN,06DNA-115,2022-01-02,12,523.76,594.86,-71.1,0
PML,MTR,SIN,06DNA-115,2022-01-02,13,505.79,617.14,-74.15,-37.2
PML,MTR,SIN,06DNA-115,2022-01-02,14,534.27,637.06,-75.49,-27.31
PML,MTR,SIN,06DNA-115,2022-01-02,15,534.63,655.78,-80.09,-41.06
PML,MTR,SIN,06DNA-115,2022-01-02,16,532,655.32,-82.79,-40.53
PML,MTR,SIN,06DNA-115,2022-01-02,17,579.45,659.56,-78.55,-1.57
PML,MTR,SIN,06DNA-115,2022-01-02,18,593.17,684.36,-76.02,-15.16
PML,MTR,SIN,06DNA-115,2022-01-02,19,634.25,721.77,-76.77,-10.75
PML,MTR,SIN,06DNA-115,2022-01-02,20,613.17,686.77,-73.6,0
PML,MTR,SIN,06DNA-115,2022-01-02,21,610.09,681.79,-71.07,-0.63
PML,MTR,SIN,06DNA-115,2022-01-02,22,611.46,681.26,-69.8,0
PML,MTR,SIN,06DNA-115,2022-01-02,23,610.65,677.92,-67.27,0
PML,MTR,SIN,06DNA-115,2022-01-02,24,597.9,656.96,-59.06,0
PML,MTR,SIN,06DNA-115,2022-01-03,1,596.77,655.17,-58.4,0
PML,MTR,SIN,06DNA-115,2022-01-03,2,588.64,643.71,-55.07,0
PML,MTR,SIN,06DNA-115,2022-01-03,3,586.71,636.35,-49.65,0
PML,MTR,SIN,06DNA-115,2022-01-03,4,569.72,615.66,-45.94,0
PML,MTR,SIN,06DNA-115,2022-01-03,5,571.29,615.41,-44.12,0
PML,MTR,SIN,06DNA-115,2022-01-03,6,592.3,636.02,-43.71,0
PML,MTR,SIN,06DNA-115,2022-01-03,7,620.72,665.89,-45.18,0
PML,MTR,SIN,06DNA-115,2022-01-03,8,647.65,691.85,-44.2,0
PML,MTR,SIN,06DNA-115,2022-01-03,9,668.99,726.99,-58,0
PML,MTR,SIN,06DNA-115,2022-01-03,10,656.71,729.05,-72.34,0
PML,MTR,SIN,06DNA-115,2022-01-03,11,666.56,745.19,-78.63,0
PML,MTR,SIN,06DNA-115,2022-01-03,12,670.13,766.28,-79.48,-16.67
PML,MTR,SIN,06DNA-115,2022-01-03,13,660.11,779,-82.05,-36.85
PML,MTR,SIN,06DNA-115,2022-01-03,14,653.15,737.2,-78.87,-5.18
PML,MTR,SIN,06DNA-115,2022-01-03,15,631.07,746.62,-82.18,-33.38
PML,MTR,SIN,06DNA-115,2022-01-03,16,627.52,799.37,-88.65,-83.21
PML,MTR,SIN,06DNA-115,2022-01-03,17,630.3,804.4,-88.91,-85.19
PML,MTR,SIN,06DNA-115,2022-01-03,18,802.49,904.52,-93.67,-8.36
