price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06ETZ-115,2022-01-01,1,521.25,615.76,-69.89,-24.61
PML,MTR,SIN,06ETZ-115,2022-01-01,2,525,605.54,-70.39,-10.15
PML,MTR,SIN,06ETZ-115,2022-01-01,3,509.03,594.38,-70.81,-14.53
PML,MTR,SIN,06ETZ-115,2022-01-01,4,504.35,567.47,-63.12,0
PML,MTR,SIN,06ETZ-115,2022-01-01,5,483.71,571.55,-64.17,-23.67
PML,MTR,SIN,06ETZ-115,2022-01-01,6,491.95,545.67,-53.72,0
PML,MTR,SIN,06ETZ-115,2022-01-01,7,483.6,529.64,-46.04,0
PML,MTR,SIN,06ETZ-115,2022-01-01,8,467.64,513.37,-45.73,0
PML,MTR,SIN,06ETZ-115,2022-01-01,9,450.79,496.79,-46,0
PML,MTR,SIN,06ETZ-115,2022-01-01,10,456.59,503.67,-47.08,0
PML,MTR,SIN,06ETZ-115,2022-01-01,11,447.29,502,-54.71,0
PML,MTR,SIN,06ETZ-115,2022-01-01,12,457.15,509.34,-52.19,0
PML,MTR,SIN,06ETZ-115,2022-01-01,13,476.81,525.11,-48.3,0
PML,MTR,SIN,06ETZ-115,2022-01-01,14,492.81,534.92,-42.11,0
PML,MTR,SIN,06ETZ-115,2022-01-01,15,506.71,545.23,-38.51,0
PML,MTR,SIN,06ETZ-115,2022-01-01,16,531.49,578.33,-46.85,0
PML,MTR,SIN,06ETZ-115,2022-01-01,17,555.73,596.74,-41.01,0
PML,MTR,SIN,06ETZ-115,2022-01-01,18,627.62,679.57,-51.95,0
PML,MTR,SIN,06ETZ-115,2022-01-01,19,663.79,732.49,-68.71,0
PML,MTR,SIN,06ETZ-115,2022-01-01,20,622.09,753.57,-82.1,-49.38
PML,MTR,SIN,06ETZ-115,2022-01-01,21,630.16,747.4,-84.32,-32.91
PML,MTR,SIN,06ETZ-115,2022-01-01,22,585.87,754.64,-88.05,-80.71
PML,MTR,SIN,06ETZ-115,2022-01-01,23,592.19,742.66,-82.95,-67.53
PML,MTR,SIN,06ETZ-115,2022-01-01,24,599.48,732.46,-81.55,-51.43
PML,MTR,SIN,06ETZ-115,2022-01-02,1,580.55,713.32,-78.22,-54.55
PML,MTR,SIN,06ETZ-115,2022-01-02,2,568.11,690.53,-68.98,-53.44
PML,MTR,SIN,06ETZ-115,2022-01-02,3,560.77,658.1,-63.8,-33.53
PML,MTR,SIN,06ETZ-115,2022-01-02,4,580.48,678.62,-66.85,-31.28
PML,MTR,SIN,06ETZ-115,2022-01-02,5,537.58,678.25,-63.06,-77.6
PML,MTR,SIN,06ETZ-115,2022-01-02,6,534.91,673.17,-65.34,-72.92
PML,MTR,SIN,06ETZ-115,2022-01-02,7,530.12,670.83,-69.96,-70.75
PML,MTR,SIN,06ETZ-115,2022-01-02,8,524.07,637.92,-66.3,-47.56
PML,MTR,SIN,06ETZ-115,2022-01-02,9,533.4,596.21,-62.81,0
PML,MTR,SIN,06ETZ-115,2022-01-02,10,449.68,590.16,-70.08,-70.4
PML,MTR,SIN,06ETZ-115,2022-01-02,11,478.22,589.15,-71.76,-39.17
PML,MTR,SIN,06ETZ-115,2022-01-02,12,524.86,594.86,-70,0
PML,MTR,SIN,06ETZ-115,2022-01-02,13,506.91,617.14,-73.02,-37.21
PML,MTR,SIN,06ETZ-115,2022-01-02,14,535.38,637.06,-74.36,-27.32
PML,MTR,SIN,06ETZ-115,2022-01-02,15,535.83,655.78,-78.86,-41.08
PML,MTR,SIN,06ETZ-115,2022-01-02,16,533.29,655.32,-81.49,-40.54
PML,MTR,SIN,06ETZ-115,2022-01-02,17,580.77,659.56,-77.21,-1.58
PML,MTR,SIN,06ETZ-115,2022-01-02,18,594.16,684.36,-75.02,-15.17
PML,MTR,SIN,06ETZ-115,2022-01-02,19,634.74,721.77,-76.27,-10.75
PML,MTR,SIN,06ETZ-115,2022-01-02,20,613.96,686.77,-72.81,0
PML,MTR,SIN,06ETZ-115,2022-01-02,21,610.95,681.79,-70.23,-0.61
PML,MTR,SIN,06ETZ-115,2022-01-02,22,612.25,681.26,-69.01,0
PML,MTR,SIN,06ETZ-115,2022-01-02,23,611.53,677.92,-66.4,0
PML,MTR,SIN,06ETZ-115,2022-01-02,24,598.85,656.96,-58.11,0
PML,MTR,SIN,06ETZ-115,2022-01-03,1,597.55,655.17,-57.62,0
PML,MTR,SIN,06ETZ-115,2022-01-03,2,589.45,643.71,-54.26,0
PML,MTR,SIN,06ETZ-115,2022-01-03,3,587.61,636.35,-48.74,0
PML,MTR,SIN,06ETZ-115,2022-01-03,4,570.63,615.66,-45.03,0
PML,MTR,SIN,06ETZ-115,2022-01-03,5,572.12,615.41,-43.29,0
PML,MTR,SIN,06ETZ-115,2022-01-03,6,593.08,636.02,-42.94,0
PML,MTR,SIN,06ETZ-115,2022-01-03,7,621.29,665.89,-44.6,0
PML,MTR,SIN,06ETZ-115,2022-01-03,8,648.13,691.85,-43.72,0
PML,MTR,SIN,06ETZ-115,2022-01-03,9,669.5,726.99,-57.49,0
PML,MTR,SIN,06ETZ-115,2022-01-03,10,657.29,729.05,-71.75,0
PML,MTR,SIN,06ETZ-115,2022-01-03,11,667.08,745.19,-78.11,0
PML,MTR,SIN,06ETZ-115,2022-01-03,12,670.92,766.28,-79.07,-16.28
PML,MTR,SIN,06ETZ-115,2022-01-03,13,661.27,779,-81.75,-35.98
PML,MTR,SIN,06ETZ-115,2022-01-03,14,653.57,737.2,-78.57,-5.06
PML,MTR,SIN,06ETZ-115,2022-01-03,15,632.14,746.62,-81.79,-32.69
PML,MTR,SIN,06ETZ-115,2022-01-03,16,630.1,799.37,-88.02,-81.26
PML,MTR,SIN,06ETZ-115,2022-01-03,17,632.86,804.4,-88.35,-83.19
PML,MTR,SIN,06ETZ-115,2022-01-03,18,803.24,904.52,-93.12,-8.16
PML,MTR,SIN,06ETZ-115,2022-01-03,19,1572.76,1727.66,-154.91,0
PML,MTR,SIN,06ETZ-115,2022-01-03,20,956.34,1052.6,-96.26,0
PML,MTR,SIN,06ETZ-115,2022-01-03,21,937.84,1033.84,-96.01,0
PML,MTR,SIN,06ETZ-115,2022-01-03,22,849.36,945.34,-95.97,0
PML,MTR,SIN,06ETZ-115,2022-01-03,23,855.85,960.09,-104.25,0
PML,MTR,SIN,06ETZ-115,2022-01-03,24,729.82,814.35,-84.52,0
PML,MTR,SIN,06ETZ-115,2022-01-04,1,666.55,741.92,-75.37,0
PML,MTR,SIN,06ETZ-115,2022-01-04,2,646.16,715.89,-69.73,0
PML,MTR,SIN,06ETZ-115,2022-01-04,3,637.12,701.77,-64.66,0
PML,MTR,SIN,06ETZ-115,2022-01-04,4,628.27,686.92,-58.64,0
PML,MTR,SIN,06ETZ-115,2022-01-04,5,625.8,680.78,-54.98,0
PML,MTR,SIN,06ETZ-115,2022-01-04,6,635.87,694.23,-58.36,0
PML,MTR,SIN,06ETZ-115,2022-01-04,7,646.75,711.32,-64.57,0
PML,MTR,SIN,06ETZ-115,2022-01-04,8,661.34,726.84,-65.51,0
PML,MTR,SIN,06ETZ-115,2022-01-04,9,654.82,717.87,-63.04,0
PML,MTR,SIN,06ETZ-115,2022-01-04,10,639.63,708.26,-68.63,0
PML,MTR,SIN,06ETZ-115,2022-01-04,11,623.89,699.44,-75.55,0
PML,MTR,SIN,06ETZ-115,2022-01-04,12,626.12,703.91,-77.79,0
PML,MTR,SIN,06ETZ-115,2022-01-04,13,610.16,692.02,-81.86,0
PML,MTR,SIN,06ETZ-115,2022-01-04,14,613.55,695.2,-81.65,0
PML,MTR,SIN,06ETZ-115,2022-01-04,15,614.01,695.05,-81.04,0
PML,MTR,SIN,06ETZ-115,2022-01-04,16,627,711.5,-84.5,0
PML,MTR,SIN,06ETZ-115,2022-01-04,17,628.97,713.06,-84.09,0
PML,MTR,SIN,06ETZ-115,2022-01-04,18,693.01,778.58,-85.57,0
PML,MTR,SIN,06ETZ-115,2022-01-04,19,698.67,782.41,-83.74,0
PML,MTR,SIN,06ETZ-115,2022-01-04,20,661.68,895.33,-94.48,-139.17
PML,MTR,SIN,06ETZ-115,2022-01-04,21,671.43,1052.32,-112.79,-268.11
PML,MTR,SIN,06ETZ-115,2022-01-04,22,687.36,784.39,-86.6,-10.43
PML,MTR,SIN,06ETZ-115,2022-01-04,23,665.83,778.55,-86.53,-26.19
PML,MTR,SIN,06ETZ-115,2022-01-04,24,634.74,722.01,-78.27,-9
PML,MTR,SIN,06ETZ-115,2022-01-05,1,613.38,680.56,-67.19,0
PML,MTR,SIN,06ETZ-115,2022-01-05,2,597.63,658.8,-61.16,0
PML,MTR,SIN,06ETZ-115,2022-01-05,3,591.96,648.67,-56.71,0
PML,MTR,SIN,06ETZ-115,2022-01-05,4,597.32,652.11,-54.8,0
PML,MTR,SIN,06ETZ-115,2022-01-05,5,593.4,651.65,-58.25,0
PML,MTR,SIN,06ETZ-115,2022-01-05,6,604.08,664.4,-60.32,0
PML,MTR,SIN,06ETZ-115,2022-01-05,7,630.35,698.28,-67.93,0
PML,MTR,SIN,06ETZ-115,2022-01-05,8,648.25,712.23,-63.98,0
PML,MTR,SIN,06ETZ-115,2022-01-05,9,634.7,704.1,-69.4,0
PML,MTR,SIN,06ETZ-115,2022-01-05,10,602.7,690.86,-77.89,-10.28
PML,MTR,SIN,06ETZ-115,2022-01-05,11,616.26,724.5,-85.29,-22.96
PML,MTR,SIN,06ETZ-115,2022-01-05,12,618.81,719.72,-86.65,-14.25
PML,MTR,SIN,06ETZ-115,2022-01-05,13,645.86,707.37,-83.98,22.48
PML,MTR,SIN,06ETZ-115,2022-01-05,14,631.23,715.83,-86.82,2.21
PML,MTR,SIN,06ETZ-115,2022-01-05,15,637.53,698.39,-85.29,24.42
PML,MTR,SIN,06ETZ-115,2022-01-05,16,637.96,719.16,-80.7,-0.5
PML,MTR,SIN,06ETZ-115,2022-01-05,17,645.12,727.57,-85.21,2.75
PML,MTR,SIN,06ETZ-115,2022-01-05,18,716.47,789.96,-73.48,0
PML,MTR,SIN,06ETZ-115,2022-01-05,19,735.96,823.77,-87.81,0
PML,MTR,SIN,06ETZ-115,2022-01-05,20,666.73,899.24,-102.54,-129.96
PML,MTR,SIN,06ETZ-115,2022-01-05,21,665.79,910.2,-105.09,-139.33
PML,MTR,SIN,06ETZ-115,2022-01-05,22,670.04,857.11,-99.68,-87.38
PML,MTR,SIN,06ETZ-115,2022-01-05,23,653.39,785.06,-90.37,-41.31
PML,MTR,SIN,06ETZ-115,2022-01-05,24,645.57,759.74,-88.41,-25.76
PML,MTR,SIN,06ETZ-115,2022-01-06,1,649.78,764.28,-90.81,-23.69
PML,MTR,SIN,06ETZ-115,2022-01-06,2,633.98,735.64,-84.42,-17.24
PML,MTR,SIN,06ETZ-115,2022-01-06,3,638.24,725.5,-81.35,-5.92
PML,MTR,SIN,06ETZ-115,2022-01-06,4,623.64,716.82,-80.43,-12.76
PML,MTR,SIN,06ETZ-115,2022-01-06,5,644.78,726.26,-81.48,0
PML,MTR,SIN,06ETZ-115,2022-01-06,6,647.31,724.62,-77.31,0
PML,MTR,SIN,06ETZ-115,2022-01-06,7,658.47,734.67,-76.2,0
PML,MTR,SIN,06ETZ-115,2022-01-06,8,696.16,773.08,-76.92,0
PML,MTR,SIN,06ETZ-115,2022-01-06,9,692.37,774.43,-82.06,0
PML,MTR,SIN,06ETZ-115,2022-01-06,10,685.08,760.67,-88.04,12.46
PML,MTR,SIN,06ETZ-115,2022-01-06,11,684.43,823.66,-88.37,-50.86
PML,MTR,SIN,06ETZ-115,2022-01-06,12,672.49,763.91,-82.92,-8.5
PML,MTR,SIN,06ETZ-115,2022-01-06,13,693.41,758.7,-80.66,15.37
