price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06LEO-115,2022-01-01,1,521.14,615.76,-70.02,-24.6
PML,MTR,SIN,06LEO-115,2022-01-01,2,524.86,605.54,-70.53,-10.15
PML,MTR,SIN,06LEO-115,2022-01-01,3,508.9,594.38,-70.96,-14.52
PML,MTR,SIN,06LEO-115,2022-01-01,4,504.13,567.47,-63.34,0
PML,MTR,SIN,06LEO-115,2022-01-01,5,483.55,571.55,-64.34,-23.65
PML,MTR,SIN,06LEO-115,2022-01-01,6,491.74,545.67,-53.93,0
PML,MTR,SIN,06LEO-115,2022-01-01,7,483.5,529.64,-46.15,0
PML,MTR,SIN,06LEO-115,2022-01-01,8,467.55,513.37,-45.83,0
PML,MTR,SIN,06LEO-115,2022-01-01,9,450.4,496.79,-46.39,0
PML,MTR,SIN,06LEO-115,2022-01-01,10,456.03,503.67,-47.64,0
PML,MTR,SIN,06LEO-115,2022-01-01,11,446.45,502,-55.55,0
PML,MTR,SIN,06LEO-115,2022-01-01,12,456.23,509.34,-53.11,0
PML,MTR,SIN,06LEO-115,2022-01-01,13,475.85,525.11,-49.27,0
PML,MTR,SIN,06LEO-115,2022-01-01,14,491.91,534.92,-43.01,0
PML,MTR,SIN,06LEO-115,2022-01-01,15,505.77,545.23,-39.46,0
PML,MTR,SIN,06LEO-115,2022-01-01,16,530.37,578.33,-47.96,0
PML,MTR,SIN,06LEO-115,2022-01-01,17,554.72,596.74,-42.02,0
PML,MTR,SIN,06LEO-115,2022-01-01,18,626.87,679.57,-52.7,0
PML,MTR,SIN,06LEO-115,2022-01-01,19,663.52,732.49,-68.98,0
PML,MTR,SIN,06LEO-115,2022-01-01,20,620.75,753.57,-82.28,-50.53
PML,MTR,SIN,06LEO-115,2022-01-01,21,629.09,747.4,-84.63,-33.68
PML,MTR,SIN,06LEO-115,2022-01-01,22,583.38,754.64,-88.66,-82.6
PML,MTR,SIN,06LEO-115,2022-01-01,23,589.85,742.66,-83.7,-69.11
PML,MTR,SIN,06LEO-115,2022-01-01,24,597.55,732.46,-82.28,-52.64
PML,MTR,SIN,06LEO-115,2022-01-02,1,579.9,713.32,-78.9,-54.51
PML,MTR,SIN,06LEO-115,2022-01-02,2,567.27,690.53,-69.85,-53.41
PML,MTR,SIN,06LEO-115,2022-01-02,3,560,658.1,-64.59,-33.51
PML,MTR,SIN,06LEO-115,2022-01-02,4,579.08,678.62,-67.52,-32.01
PML,MTR,SIN,06LEO-115,2022-01-02,5,535.45,678.25,-63.38,-79.42
PML,MTR,SIN,06LEO-115,2022-01-02,6,534.78,673.17,-65.51,-72.88
PML,MTR,SIN,06LEO-115,2022-01-02,7,530.12,670.83,-70.01,-70.71
PML,MTR,SIN,06LEO-115,2022-01-02,8,524.1,637.92,-66.3,-47.53
PML,MTR,SIN,06LEO-115,2022-01-02,9,532.7,596.21,-63.51,0
PML,MTR,SIN,06LEO-115,2022-01-02,10,448.85,590.16,-70.96,-70.35
PML,MTR,SIN,06LEO-115,2022-01-02,11,477.3,589.15,-72.71,-39.14
PML,MTR,SIN,06LEO-115,2022-01-02,12,523.92,594.86,-70.94,0
PML,MTR,SIN,06LEO-115,2022-01-02,13,505.98,617.14,-73.97,-37.19
PML,MTR,SIN,06LEO-115,2022-01-02,14,534.46,637.06,-75.3,-27.3
PML,MTR,SIN,06LEO-115,2022-01-02,15,534.84,655.78,-79.88,-41.06
PML,MTR,SIN,06LEO-115,2022-01-02,16,532.25,655.32,-82.55,-40.52
PML,MTR,SIN,06LEO-115,2022-01-02,17,579.74,659.56,-78.26,-1.56
PML,MTR,SIN,06LEO-115,2022-01-02,18,593.58,684.36,-75.62,-15.16
PML,MTR,SIN,06LEO-115,2022-01-02,19,634.83,721.77,-76.2,-10.75
PML,MTR,SIN,06LEO-115,2022-01-02,20,613.66,686.77,-73.1,0
PML,MTR,SIN,06LEO-115,2022-01-02,21,610.59,681.79,-70.57,-0.63
PML,MTR,SIN,06LEO-115,2022-01-02,22,611.97,681.26,-69.29,0
PML,MTR,SIN,06LEO-115,2022-01-02,23,611.14,677.92,-66.78,0
PML,MTR,SIN,06LEO-115,2022-01-02,24,598.33,656.96,-58.63,0
PML,MTR,SIN,06LEO-115,2022-01-03,1,597.19,655.17,-57.98,0
PML,MTR,SIN,06LEO-115,2022-01-03,2,589.05,643.71,-54.66,0
PML,MTR,SIN,06LEO-115,2022-01-03,3,587.11,636.35,-49.24,0
PML,MTR,SIN,06LEO-115,2022-01-03,4,570.09,615.66,-45.57,0
PML,MTR,SIN,06LEO-115,2022-01-03,5,571.68,615.41,-43.73,0
PML,MTR,SIN,06LEO-115,2022-01-03,6,592.7,636.02,-43.32,0
PML,MTR,SIN,06LEO-115,2022-01-03,7,621.21,665.89,-44.68,0
PML,MTR,SIN,06LEO-115,2022-01-03,8,648.14,691.85,-43.71,0
PML,MTR,SIN,06LEO-115,2022-01-03,9,669.41,726.99,-57.58,0
PML,MTR,SIN,06LEO-115,2022-01-03,10,657.14,729.05,-71.9,0
PML,MTR,SIN,06LEO-115,2022-01-03,11,666.93,745.19,-78.26,0
PML,MTR,SIN,06LEO-115,2022-01-03,12,670.51,766.28,-79.11,-16.66
PML,MTR,SIN,06LEO-115,2022-01-03,13,660.54,779,-81.64,-36.83
PML,MTR,SIN,06LEO-115,2022-01-03,14,653.55,737.2,-78.47,-5.18
PML,MTR,SIN,06LEO-115,2022-01-03,15,631.52,746.62,-81.75,-33.36
PML,MTR,SIN,06LEO-115,2022-01-03,16,627.97,799.37,-88.25,-83.16
PML,MTR,SIN,06LEO-115,2022-01-03,17,630.89,804.4,-88.37,-85.14
PML,MTR,SIN,06LEO-115,2022-01-03,18,803.22,904.52,-92.95,-8.35
PML,MTR,SIN,06LEO-115,2022-01-03,19,1573.46,1727.66,-154.21,0
PML,MTR,SIN,06LEO-115,2022-01-03,20,956.72,1052.6,-95.88,0
PML,MTR,SIN,06LEO-115,2022-01-03,21,938.34,1033.84,-95.5,0
PML,MTR,SIN,06LEO-115,2022-01-03,22,850.06,945.34,-95.27,0
PML,MTR,SIN,06LEO-115,2022-01-03,23,856.48,960.09,-103.61,0
PML,MTR,SIN,06LEO-115,2022-01-03,24,730.47,814.35,-83.88,0
PML,MTR,SIN,06LEO-115,2022-01-04,1,667.21,741.92,-74.71,0
PML,MTR,SIN,06LEO-115,2022-01-04,2,646.79,715.89,-69.09,0
PML,MTR,SIN,06LEO-115,2022-01-04,3,637.66,701.77,-64.11,0
PML,MTR,SIN,06LEO-115,2022-01-04,4,628.77,686.92,-58.15,0
PML,MTR,SIN,06LEO-115,2022-01-04,5,626.27,680.78,-54.51,0
PML,MTR,SIN,06LEO-115,2022-01-04,6,636.32,694.23,-57.91,0
PML,MTR,SIN,06LEO-115,2022-01-04,7,647.35,711.32,-63.97,0
PML,MTR,SIN,06LEO-115,2022-01-04,8,662.14,726.84,-64.71,0
PML,MTR,SIN,06LEO-115,2022-01-04,9,655.29,717.87,-62.57,0
PML,MTR,SIN,06LEO-115,2022-01-04,10,639.94,708.26,-68.32,0
PML,MTR,SIN,06LEO-115,2022-01-04,11,624.17,699.44,-75.26,0
PML,MTR,SIN,06LEO-115,2022-01-04,12,626.64,703.91,-77.27,0
PML,MTR,SIN,06LEO-115,2022-01-04,13,610.91,692.02,-81.1,0
