price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06MIO-115,2022-01-01,1,520.48,615.76,-70.67,-24.62
PML,MTR,SIN,06MIO-115,2022-01-01,2,524.27,605.54,-71.11,-10.15
PML,MTR,SIN,06MIO-115,2022-01-01,3,508.35,594.38,-71.5,-14.54
PML,MTR,SIN,06MIO-115,2022-01-01,4,503.73,567.47,-63.75,0
PML,MTR,SIN,06MIO-115,2022-01-01,5,483.1,571.55,-64.78,-23.67
PML,MTR,SIN,06MIO-115,2022-01-01,6,491.38,545.67,-54.29,0
PML,MTR,SIN,06MIO-115,2022-01-01,7,483.06,529.64,-46.58,0
PML,MTR,SIN,06MIO-115,2022-01-01,8,467.14,513.37,-46.23,0
PML,MTR,SIN,06MIO-115,2022-01-01,9,450.32,496.79,-46.48,0
PML,MTR,SIN,06MIO-115,2022-01-01,10,456.15,503.67,-47.52,0
PML,MTR,SIN,06MIO-115,2022-01-01,11,446.89,502,-55.11,0
PML,MTR,SIN,06MIO-115,2022-01-01,12,456.74,509.34,-52.59,0
PML,MTR,SIN,06MIO-115,2022-01-01,13,476.38,525.11,-48.73,0
PML,MTR,SIN,06MIO-115,2022-01-01,14,492.34,534.92,-42.58,0
PML,MTR,SIN,06MIO-115,2022-01-01,15,506.2,545.23,-39.03,0
PML,MTR,SIN,06MIO-115,2022-01-01,16,530.86,578.33,-47.48,0
PML,MTR,SIN,06MIO-115,2022-01-01,17,555,596.74,-41.74,0
PML,MTR,SIN,06MIO-115,2022-01-01,18,626.72,679.57,-52.85,0
PML,MTR,SIN,06MIO-115,2022-01-01,19,662.75,732.49,-69.74,0
PML,MTR,SIN,06MIO-115,2022-01-01,20,620.27,753.57,-83.19,-50.11
PML,MTR,SIN,06MIO-115,2022-01-01,21,628.61,747.4,-85.38,-33.4
PML,MTR,SIN,06MIO-115,2022-01-01,22,583.62,754.64,-89.1,-81.91
PML,MTR,SIN,06MIO-115,2022-01-01,23,590.17,742.66,-83.96,-68.53
PML,MTR,SIN,06MIO-115,2022-01-01,24,597.77,732.46,-82.49,-52.2
PML,MTR,SIN,06MIO-115,2022-01-02,1,579.67,713.32,-79.09,-54.56
PML,MTR,SIN,06MIO-115,2022-01-02,2,567.29,690.53,-69.79,-53.45
PML,MTR,SIN,06MIO-115,2022-01-02,3,560.04,658.1,-64.52,-33.53
PML,MTR,SIN,06MIO-115,2022-01-02,4,579.31,678.62,-67.57,-31.74
PML,MTR,SIN,06MIO-115,2022-01-02,5,535.77,678.25,-63.73,-78.76
PML,MTR,SIN,06MIO-115,2022-01-02,6,534.26,673.17,-65.98,-72.93
PML,MTR,SIN,06MIO-115,2022-01-02,7,529.46,670.83,-70.61,-70.77
