price_type,market_type,grid_type,node,date,hour,price,price_energy,price_losses,price_congestion
PML,MTR,SIN,06TEC-115,2022-01-01,1,520.34,615.76,-70.8,-24.62
PML,MTR,SIN,06TEC-115,2022-01-01,2,524.14,605.54,-71.25,-10.15
PML,MTR,SIN,06TEC-115,2022-01-01,3,508.22,594.38,-71.63,-14.54
PML,MTR,SIN,06TEC-115,2022-01-01,4,503.61,567.47,-63.86,0
PML,MTR,SIN,06TEC-115,2022-01-01,5,482.98,571.55,-64.89,-23.67
PML,MTR,SIN,06TEC-115,2022-01-01,6,491.27,545.67,-54.4,0
PML,MTR,SIN,06TEC-115,2022-01-01,7,482.96,529.64,-46.69,0
PML,MTR,SIN,06TEC-115,2022-01-01,8,467.04,513.37,-46.33,0
PML,MTR,SIN,06TEC-115,2022-01-01,9,450.23,496.79,-46.56,0
PML,MTR,SIN,06TEC-115,2022-01-01,10,456.08,503.67,-47.6,0
PML,MTR,SIN,06TEC-115,2022-01-01,11,446.82,502,-55.18,0
PML,MTR,SIN,06TEC-115,2022-01-01,12,456.68,509.34,-52.66,0
PML,MTR,SIN,06TEC-115,2022-01-01,13,476.31,525.11,-48.8,0
PML,MTR,SIN,06TEC-115,2022-01-01,14,492.26,534.92,-42.66,0
PML,MTR,SIN,06TEC-115,2022-01-01,15,506.11,545.23,-39.11,0
PML,MTR,SIN,06TEC-115,2022-01-01,16,530.77,578.33,-47.57,0
PML,MTR,SIN,06TEC-115,2022-01-01,17,554.9,596.74,-41.84,0
PML,MTR,SIN,06TEC-115,2022-01-01,18,626.58,679.57,-52.99,0
PML,MTR,SIN,06TEC-115,2022-01-01,19,662.57,732.49,-69.92,0
PML,MTR,SIN,06TEC-115,2022-01-01,20,620.16,753.57,-83.38,-50.02
PML,MTR,SIN,06TEC-115,2022-01-01,21,628.49,747.4,-85.57,-33.34
PML,MTR,SIN,06TEC-115,2022-01-01,22,583.59,754.64,-89.27,-81.78
PML,MTR,SIN,06TEC-115,2022-01-01,23,590.13,742.66,-84.12,-68.42
PML,MTR,SIN,06TEC-115,2022-01-01,24,597.71,732.46,-82.64,-52.11
PML,MTR,SIN,06TEC-115,2022-01-02,1,579.53,713.32,-79.23,-54.56
PML,MTR,SIN,06TEC-115,2022-01-02,2,567.17,690.53,-69.91,-53.45
PML,MTR,SIN,06TEC-115,2022-01-02,3,559.93,658.1,-64.64,-33.53
PML,MTR,SIN,06TEC-115,2022-01-02,4,579.24,678.62,-67.69,-31.69
PML,MTR,SIN,06TEC-115,2022-01-02,5,535.77,678.25,-63.86,-78.62
PML,MTR,SIN,06TEC-115,2022-01-02,6,534.12,673.17,-66.12,-72.94
PML,MTR,SIN,06TEC-115,2022-01-02,7,529.32,670.83,-70.75,-70.77
PML,MTR,SIN,06TEC-115,2022-01-02,8,523.31,637.92,-67.05,-47.56
PML,MTR,SIN,06TEC-115,2022-01-02,9,532.71,596.21,-63.5,0
PML,MTR,SIN,06TEC-115,2022-01-02,10,449.05,590.16,-70.69,-70.41
PML,MTR,SIN,06TEC-115,2022-01-02,11,477.65,589.15,-72.32,-39.18
PML,MTR,SIN,06TEC-115,2022-01-02,12,524.31,594.86,-70.55,0
PML,MTR,SIN,06TEC-115,2022-01-02,13,506.34,617.14,-73.58,-37.22
PML,MTR,SIN,06TEC-115,2022-01-02,14,534.79,637.06,-74.95,-27.32
PML,MTR,SIN,06TEC-115,2022-01-02,15,535.19,655.78,-79.5,-41.09
PML,MTR,SIN,06TEC-115,2022-01-02,16,532.57,655.32,-82.2,-40.55
PML,MTR,SIN,06TEC-115,2022-01-02,17,579.96,659.56,-78.03,-1.58
PML,MTR,SIN,06TEC-115,2022-01-02,18,593.22,684.36,-75.97,-15.17
PML,MTR,SIN,06TEC-115,2022-01-02,19,633.62,721.77,-77.4,-10.76
PML,MTR,SIN,06TEC-115,2022-01-02,20,612.81,686.77,-73.96,0
PML,MTR,SIN,06TEC-115,2022-01-02,21,609.79,681.79,-71.38,-0.62
PML,MTR,SIN,06TEC-115,2022-01-02,22,611.13,681.26,-70.14,0
PML,MTR,SIN,06TEC-115,2022-01-02,23,610.44,677.92,-67.48,0
PML,MTR,SIN,06TEC-115,2022-01-02,24,597.84,656.96,-59.12,0
PML,MTR,SIN,06TEC-115,2022-01-03,1,596.6,655.17,-58.57,0
PML,MTR,SIN,06TEC-115,2022-01-03,2,588.54,643.71,-55.17,0
PML,MTR,SIN,06TEC-115,2022-01-03,3,586.73,636.35,-49.62,0
PML,MTR,SIN,06TEC-115,2022-01-03,4,569.78,615.66,-45.88,0
PML,MTR,SIN,06TEC-115,2022-01-03,5,571.28,615.41,-44.13,0
PML,MTR,SIN,06TEC-115,2022-01-03,6,592.19,636.02,-43.83,0
PML,MTR,SIN,06TEC-115,2022-01-03,7,620.29,665.89,-45.6,0
PML,MTR,SIN,06TEC-115,2022-01-03,8,647.03,691.85,-44.82,0
PML,MTR,SIN,06TEC-115,2022-01-03,9,668.36,726.99,-58.63,0
PML,MTR,SIN,06TEC-115,2022-01-03,10,656.22,729.05,-72.83,0
PML,MTR,SIN,06TEC-115,2022-01-03,11,666.08,745.19,-79.12,0
PML,MTR,SIN,06TEC-115,2022-01-03,12,669.74,766.28,-80.04,-16.49
PML,MTR,SIN,06TEC-115,2022-01-03,13,659.85,779,-82.69,-36.46
PML,MTR,SIN,06TEC-115,2022-01-03,14,652.61,737.2,-79.46,-5.13
PML,MTR,SIN,06TEC-115,2022-01-03,15,630.82,746.62,-82.73,-33.08
PML,MTR,SIN,06TEC-115,2022-01-03,16,627.95,799.37,-89.09,-82.33
PML,MTR,SIN,06TEC-115,2022-01-03,17,630.58,804.4,-89.53,-84.29
PML,MTR,SIN,06TEC-115,2022-01-03,18,801.65,904.52,-94.6,-8.27
PML,MTR,SIN,06TEC-115,2022-01-03,19,1569.57,1727.66,-158.1,0
PML,MTR,SIN,06TEC-115,2022-01-03,20,954.23,1052.6,-98.37,0
PML,MTR,SIN,06TEC-115,2022-01-03,21,935.76,1033.84,-98.09,0
PML,MTR,SIN,06TEC-115,2022-01-03,22,847.49,945.34,-97.85,0
PML,MTR,SIN,06TEC-115,2022-01-03,23,854.02,960.09,-106.07,0
PML,MTR,SIN,06TEC-115,2022-01-03,24,728.37,814.35,-85.98,0
PML,MTR,SIN,06TEC-115,2022-01-04,1,665.29,741.92,-76.63,0
PML,MTR,SIN,06TEC-115,2022-01-04,2,645,715.89,-70.89,0
PML,MTR,SIN,06TEC-115,2022-01-04,3,636.01,701.77,-65.76,0
PML,MTR,SIN,06TEC-115,2022-01-04,4,627.21,686.92,-59.71,0
PML,MTR,SIN,06TEC-115,2022-01-04,5,624.74,680.78,-56.04,0
PML,MTR,SIN,06TEC-115,2022-01-04,6,634.78,694.23,-59.45,0
PML,MTR,SIN,06TEC-115,2022-01-04,7,645.59,711.32,-65.73,0
PML,MTR,SIN,06TEC-115,2022-01-04,8,660.12,726.84,-66.72,0
PML,MTR,SIN,06TEC-115,2022-01-04,9,653.6,717.87,-64.27,0
PML,MTR,SIN,06TEC-115,2022-01-04,10,638.49,708.26,-69.77,0
PML,MTR,SIN,06TEC-115,2022-01-04,11,622.85,699.44,-76.59,0
PML,MTR,SIN,06TEC-115,2022-01-04,12,625.14,703.91,-78.77,0
PML,MTR,SIN,06TEC-115,2022-01-04,13,609.25,692.02,-82.77,0
PML,MTR,SIN,06TEC-115,2022-01-04,14,612.64,695.2,-82.56,0
PML,MTR,SIN,06TEC-115,2022-01-04,15,613.07,695.05,-81.98,0
PML,MTR,SIN,06TEC-115,2022-01-04,16,625.99,711.5,-85.51,0
PML,MTR,SIN,06TEC-115,2022-01-04,17,627.86,713.06,-85.19,0
PML,MTR,SIN,06TEC-115,2022-01-04,18,691.7,778.58,-86.88,0
PML,MTR,SIN,06TEC-115,2022-01-04,19,697.21,782.41,-85.19,0
PML,MTR,SIN,06TEC-115,2022-01-04,20,659.28,895.33,-96.26,-139.79
PML,MTR,SIN,06TEC-115,2022-01-04,21,668.42,1052.32,-114.9,-269
PML,MTR,SIN,06TEC-115,2022-01-04,22,685.8,784.39,-88.14,-10.45
PML,MTR,SIN,06TEC-115,2022-01-04,23,664.3,778.55,-88,-26.26
PML,MTR,SIN,06TEC-115,2022-01-04,24,633.48,722.01,-79.54,-9
PML,MTR,SIN,06TEC-115,2022-01-05,1,612.26,680.56,-68.31,0
PML,MTR,SIN,06TEC-115,2022-01-05,2,596.61,658.8,-62.19,0
PML,MTR,SIN,06TEC-115,2022-01-05,3,590.99,648.67,-57.68,0
PML,MTR,SIN,06TEC-115,2022-01-05,4,596.36,652.11,-55.75,0
PML,MTR,SIN,06TEC-115,2022-01-05,5,592.45,651.65,-59.19,0
PML,MTR,SIN,06TEC-115,2022-01-05,6,603.11,664.4,-61.3,0
PML,MTR,SIN,06TEC-115,2022-01-05,7,629.3,698.28,-68.98,0
PML,MTR,SIN,06TEC-115,2022-01-05,8,647.1,712.23,-65.13,0
PML,MTR,SIN,06TEC-115,2022-01-05,9,633.56,704.1,-70.54,0
PML,MTR,SIN,06TEC-115,2022-01-05,10,601.53,690.86,-78.93,-10.41
