Year,state,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10,oral_cavity_and_pharynx,testis,larynx,esophagus,colon_and_rectum,hodgkin_lymphoma,non_hodgkin_lymphoma,kidney_and_renal_pelvis,all_types_of_cancer,corpus_and_uterus_nos,kaposi_sarcoma,pancreas,leukemias,liver_and_intrahepatic_bile_duct,urinary_bladder,myeloma,cervix,lung_and_bronchus,stomach,female_breast,prostate,melanomas_of_the_skin,thyroid,ovary,mesothelioma,brain_and_other_nervous_system
2000,California,363.2790003359129,129.05540450377492,131.61430722987717,64.64169232549499,32.70119151251633,5.252649841442461,0.013754922806967888,213.9356658679627,129.7261865276654,71.79098591245955,3.729155224507773,74.43684647662317,176.91183482323763,104.68623145767106,3.5149323538732538,10.6,5.3,3.2,4.0,49.5,2.2,19.0,10.5,460.5,22.2,0.9,10.9,12.9,6.7,19.8,5.5,10.0,60.0,9.0,134.6,162.7,18.1,6.9,13.8,1.1,6.2
2001,California,363.108766993959,122.00774275512107,133.73779495025704,70.29756938174611,30.293274911687995,6.704132501154745,0.06825249399221996,227.46971086378446,129.55817875675424,73.90614513139968,1.5227031991048114,61.481326330593696,183.97655169057467,112.11551652001027,4.012669253675624,10.5,5.2,3.2,4.4,48.7,2.5,19.2,11.0,467.4,23.1,1.0,10.9,12.9,7.3,19.8,5.3,9.1,59.1,8.4,133.4,163.8,19.3,7.2,13.6,1.0,6.2
2002,California,362.7540634431051,117.55117777973479,139.33829250148895,62.87788970603017,32.526241759003106,10.341602306479757,0.11885939036832667,217.84776984686474,136.18893320321496,73.85958634305616,1.829375436222284,53.05462613490201,191.02421305922954,112.90844381239039,3.9374050003608922,10.3,5.0,3.0,4.2,47.5,2.5,19.0,11.6,463.0,21.7,0.8,11.4,12.5,7.3,19.5,5.3,9.1,57.6,8.5,132.0,166.2,18.9,7.7,13.8,1.0,6.4
2003,California,362.199117815229,126.83296041639848,134.92848748675257,55.05704952568931,31.569968552321797,13.794659792048705,0.01599204201813517,225.94748791165065,141.43840088203166,70.9920244310588,1.2186718075392904,49.90931175841574,208.1057239154086,100.43864503036451,2.526765303500887,10.1,5.3,2.9,3.9,47.2,2.5,18.8,12.3,448.5,21.0,0.8,10.8,12.6,7.4,19.7,5.5,8.3,56.2,8.3,122.0,151.9,18.3,7.9,13.4,1.0,6.5
2004,California,363.16839444551636,118.87588304636434,151.10275043053218,58.618595875886186,31.092621258507766,3.464968858659061,0.013574975566820531,190.54188092080147,128.566860220625,69.28837307857162,0.22206788915769507,37.27701111602847,202.73764359131079,120.85355749566767,2.078114353351675,10.2,5.3,2.7,4.2,44.8,2.5,19.3,12.5,452.7,21.3,0.9,11.2,12.7,7.8,20.4,5.8,8.2,55.5,8.4,120.3,157.8,19.8,8.4,13.1,1.0,6.4
2005,California,362.1415149063958,139.10776105678192,143.85412305138482,48.45078250794359,24.8027782114089,5.916872565081394,0.009197513795307756,190.43375423478813,124.25306657990386,63.766146663792554,0.7557702656834081,43.11709977321334,201.72951765609318,114.74845443959758,1.790672771808306,10.3,5.5,2.8,4.1,44.9,2.6,19.3,13.0,449.7,22.0,0.8,11.8,12.4,8.6,19.7,5.9,8.6,54.9,8.3,122.3,142.5,21.2,9.2,13.2,1.0,6.3
2006,California,362.41646156061097,135.51420549486386,145.97204551919174,50.10319042101925,25.53254055764158,5.2863275911781065,0.008151976716379426,204.7760390116909,127.32710005068682,64.61925340525838,0.48355340835100397,42.82924670309447,204.81328327133556,109.7232570140219,4.567121163807914,10.2,5.5,2.6,3.9,44.3,2.6,19.1,13.3,447.9,22.2,0.7,11.7,12.6,8.6,19.2,5.5,8.2,54.2,7.9,121.4,149.5,20.0,9.4,13.0,1.0,6.0
2007,California,363.1507340171509,132.6834021920529,150.41277855519635,56.09878635248123,20.686753639161882,3.126105704306923,0.14290757395157244,261.72711820320666,118.04772433538571,65.4499747878025,0.25840840372376395,42.81645561606353,199.04142096877453,115.11436483951823,5.92008418907082,10.4,5.5,2.7,3.8,44.5,2.7,19.3,13.7,457.7,22.7,0.7,11.5,13.0,9.0,19.5,5.5,8.3,52.8,8.2,124.7,156.3,21.1,10.2,12.7,0.9,6.4
2008,California,364.1196749718484,113.88965670925826,170.23344102640073,49.460938112333515,25.037538366013834,5.435433866757372,0.0626668910845182,206.43350354904666,129.90948832101506,68.23089788513312,0.11448995784297364,40.14583870211883,190.6829202779987,127.37538688380012,5.801039150087599,10.8,5.7,2.5,3.9,44.4,2.7,19.3,14.7,453.4,23.1,0.6,11.7,13.4,9.0,19.2,5.8,8.5,51.0,7.6,126.2,142.3,21.5,11.1,13.0,1.0,6.2
2009,California,363.1011272108944,124.16204036397168,168.5037402300665,45.1187714023254,23.579070733822185,1.730581550737937,0.006922929970753949,190.86005568159004,119.62186235744491,63.68174624279946,0.07722787031784036,23.556330553835206,195.40231086471718,137.4701728938722,6.5950850281520665,10.5,5.6,2.3,4.1,42.2,2.4,19.6,14.8,448.7,23.8,0.7,11.6,13.3,9.6,19.0,6.1,7.8,52.0,8.2,124.1,136.3,20.8,11.6,12.6,1.1,6.4
