Incidence Rate Report for California by County

"Bladder (All Stages^), 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,16 ,15.9, 16.2,N/A , 45 , 46,6920,falling,-2.4 ,-2.8, -2.0
"US (SEER+NPCR)(1)",00000,19.4 ,19.3, 19.4,N/A , N/A , N/A,75642,falling,-2.7 ,-3.4, -2.0
"Lake County(7)",06033,27 ,22.5, 32.3,1 , 1 , 16,28,falling,-1.6 ,-3.0, -0.2
"Mariposa County(7)",06043,25.6 ,18.4, 35.8,2 , 1 , 46,9,*,*,*,*
"Glenn County(7)",06021,24.9 ,17.7, 34,3 , 1 , 50,8,stable,-1.1 ,-2.9, 0.8
"Tuolumne County(7)",06109,24.8 ,20.4, 30.1,4 , 1 , 25,24,stable,-0.4 ,-2.0, 1.4
"Modoc County(7)",06049,24.4 ,13.4, 42,5 , 1 , 54,4,stable,1.6 ,-3.9, 7.4
"Calaveras County(7)",06009,24 ,19.4, 29.7,6 , 1 , 31,21,stable,-1.0 ,-2.9, 1.0
"Shasta County(7)",06089,22 ,19.5, 24.9,7 , 2 , 23,58,stable,-1.1 ,-2.5, 0.4
"Humboldt County(7)",06023,22 ,18.9, 25.5,8 , 1 , 30,38,stable,-0.2 ,-1.9, 1.4
"Napa County(7)",06055,21.2 ,18.4, 24.3,9 , 2 , 32,43,stable,-0.5 ,-2.1, 1.1
"Marin County(7)",06041,20.9 ,18.9, 23,10 , 3 , 25,87,falling,-1.1 ,-1.8, -0.4
"El Dorado County(7)",06017,20.7 ,18.3, 23.2,11 , 3 , 30,61,falling,-1.3 ,-2.3, -0.2
"Butte County(7)",06007,19.9 ,17.7, 22.4,12 , 4 , 35,61,falling,-1.9 ,-3.0, -0.7
