Incidence Rate Report for California by County

"Brain & ONS (All Stages^), 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,5.9 ,5.7, 6,N/A , 38 , 48,2444,falling,-0.5 ,-0.7, -0.3
"US (SEER+NPCR)(1)",00000,6.4 ,6.4, 6.5,N/A , N/A , N/A,22944,falling,-1.7 ,-2.5, -0.8
"San Benito County(7)",06069,9.5 ,6.4, 13.6,1 , 1 , 43,6,stable,1.9 ,-1.7, 5.7
"Napa County(7)",06055,8.9 ,6.9, 11.2,2 , 1 , 29,15,stable,1.4 ,-0.7, 3.6
"Shasta County(7)",06089,8.7 ,7, 10.8,3 , 1 , 26,19,stable,1.1 ,-1.7, 4.0
"Tehama County(7)",06103,8.7 ,5.9, 12.3,4 , 1 , 44,7,*,*,*,*
"Calaveras County(7)",06009,8 ,4.7, 12.9,5 , 1 , 46,5,stable,0.8 ,-3.2, 5.1
"Sutter County(7)",06101,7.9 ,5.6, 10.8,6 , 1 , 45,8,stable,0.0 ,-2.8, 2.7
"Marin County(7)",06041,7.7 ,6.3, 9.3,7 , 1 , 31,25,stable,-0.1 ,-1.0, 0.8
"Siskiyou County(7)",06093,7.7 ,4.6, 12.2,8 , 1 , 46,5,stable,1.6 ,-1.9, 5.2
"Sonoma County(7)",06097,7.7 ,6.7, 8.8,9 , 2 , 24,46,stable,-0.4 ,-1.4, 0.5
"Amador County(7)",06005,7.5 ,4.3, 12.5,10 , 1 , 46,4,stable,0.3 ,-3.5, 4.1
"Santa Barbara County(7)",06083,7.5 ,6.4, 8.7,11 , 2 , 29,35,stable,5.0 ,-1.6, 12.0
"Lake County(7)",06033,7.2 ,4.6, 10.7,12 , 1 , 46,6,stable,1.6 ,-2.0, 5.4
"Santa Cruz County(7)",06087,7 ,5.6, 8.6,13 , 2 , 42,20,stable,-0.1 ,-2.1, 1.8
"San Luis Obispo County(7)",06079,7 ,5.7, 8.5,14 , 3 , 41,23,stable,-1.2 ,-2.6, 0.2
"Placer County(7)",06061,6.7 ,5.7, 7.9,15 , 4 , 40,31,stable,-1.0 ,-2.5, 0.6
"Ventura County(7)",06111,6.7 ,6, 7.5,16 , 6 , 33,63,stable,0.0 ,-1.3, 1.3
"Yolo County(7)",06113,6.7 ,5.1, 8.5,17 , 2 , 45,14,stable,-0.4 ,-2.5, 1.8
"San Diego County(7)",06073,6.5 ,6.1, 6.9,18 , 10 , 29,226,stable,-0.2 ,-0.7, 0.4
"Solano County(7)",06095,6.5 ,5.5, 7.7,19 , 5 , 42,31,stable,-0.5 ,-2.1, 1.0
"Sacramento County(7)",06067,6.4 ,5.8, 7,20 , 10 , 34,103,stable,-0.5 ,-1.4, 0.3
"Nevada County(7)",06057,6.3 ,4.3, 8.9,21 , 1 , 46,8,stable,-1.5 ,-4.2, 1.2
"Contra Costa County(7)",06013,6.2 ,5.6, 6.8,22 , 11 , 38,79,stable,-0.4 ,-1.1, 0.4
"El Dorado County(7)",06017,6.2 ,4.7, 7.9,23 , 4 , 46,15,stable,-1.8 ,-4.0, 0.5
"Mendocino County(7)",06045,6.1 ,4.1, 8.8,24 , 2 , 46,7,stable,-0.8 ,-4.5, 3.1
"Madera County(7)",06039,6.1 ,4.5, 8.1,25 , 3 , 46,10,stable,0.9 ,-1.3, 3.2
"San Joaquin County(7)",06077,6.1 ,5.3, 6.9,26 , 10 , 43,47,stable,-0.2 ,-1.3, 0.9
"Orange County(7)",06059,6.1 ,5.7, 6.5,27 , 15 , 35,211,stable,-0.7 ,-1.4, 0.0
"Imperial County(7)",06025,6.1 ,4.5, 8,28 , 3 , 46,11,stable,2.1 ,-0.6, 4.8
"Butte County(7)",06007,5.9 ,4.6, 7.5,29 , 6 , 46,16,stable,-1.1 ,-3.0, 0.8
