Incidence Rate Report for California by County

"Breast (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,123.1 ,122.4, 123.8,N/A , 36 , 44,27737,stable,0.1 ,-0.1, 0.3
"US (SEER+NPCR)(1)",00000,128.1 ,127.9, 128.3,N/A , N/A , N/A,253845,rising,0.4 ,0.3, 0.5
"Marin County(7)",06041,155.7 ,147.4, 164.4,1 , 1 , 5,306,stable,2.2 ,-0.6, 5.0
"Placer County(7)",06061,142.8 ,136.2, 149.7,2 , 1 , 14,385,stable,-0.3 ,-0.6, 0.1
"San Luis Obispo County(7)",06079,141.1 ,132.9, 149.8,3 , 1 , 20,263,stable,0.6 ,-0.1, 1.3
"Santa Barbara County(7)",06083,139.9 ,133.1, 147,4 , 2 , 18,346,stable,0.2 ,-0.3, 0.8
"Santa Cruz County(7)",06087,139.6 ,131.3, 148.4,5 , 1 , 22,233,stable,0.4 ,-0.5, 1.3
"Lassen County(7)",06035,138.1 ,111.4, 169.6,6 , 1 , 51,21,rising,3.1 ,1.0, 5.1
"Nevada County(7)",06057,137.9 ,125.1, 151.7,7 , 1 , 33,113,stable,-0.5 ,-1.5, 0.6
"Shasta County(7)",06089,136.6 ,127, 146.8,8 , 2 , 29,174,stable,-4.6 ,-11.3, 2.6
"San Mateo County(7)",06081,136.4 ,131.7, 141.3,9 , 3 , 19,657,stable,-0.2 ,-0.4, 0.1
"Amador County(7)",06005,135.5 ,114.9, 159.2,10 , 1 , 46,43,stable,-0.8 ,-2.3, 0.7
"Contra Costa County(7)",06013,133.3 ,129.5, 137.2,11 , 5 , 23,961,falling,-0.6 ,-0.8, -0.3
"Ventura County(7)",06111,131.1 ,126.5, 135.7,12 , 6 , 27,678,stable,-0.1 ,-0.5, 0.4
"Yolo County(7)",06113,130.9 ,121.2, 141,13 , 2 , 35,144,stable,-0.6 ,-1.3, 0.2
"Glenn County(7)",06021,130.4 ,106.2, 158.6,14 , 1 , 52,22,stable,-0.2 ,-1.9, 1.6
"Sonoma County(7)",06097,130 ,124.4, 135.8,15 , 6 , 30,459,falling,-0.7 ,-1.3, -0.2
"Orange County(7)",06059,129.9 ,127.6, 132.3,16 , 9 , 25,2455,stable,0.3 ,0.0, 0.7
"Inyo County(7)",06027,129.7 ,100.8, 164.9,17 , 1 , 53,17,stable,0.7 ,-1.4, 2.9
"San Diego County(7)",06073,129.2 ,126.9, 131.6,18 , 10 , 26,2402,stable,-0.2 ,-0.5, 0.0
"Butte County(7)",06007,129.2 ,120.4, 138.5,19 , 3 , 36,186,stable,-0.5 ,-1.4, 0.4
"Napa County(7)",06055,128.8 ,118.3, 140.1,20 , 2 , 40,119,stable,-0.6 ,-1.6, 0.3
"El Dorado County(7)",06017,128.2 ,119.3, 137.7,21 , 4 , 37,175,stable,-0.9 ,-2.0, 0.2
"Plumas County(7)",06063,128.1 ,99.8, 162.9,22 , 1 , 54,20,stable,-0.3 ,-2.3, 1.8
"Sacramento County(7)",06067,128.1 ,124.7, 131.6,23 , 10 , 29,1137,stable,-0.4 ,-0.8, 0.0
"Solano County(7)",06095,126.7 ,120.6, 133,24 , 8 , 35,349,stable,-0.3 ,-0.8, 0.1
"Tuolumne County(7)",06109,124.2 ,107.2, 143.4,25 , 2 , 50,52,falling,-2.1 ,-3.3, -0.8
"Santa Clara County(7)",06085,124 ,121, 127.1,26 , 17 , 33,1329,stable,0.7 ,-0.1, 1.5
"San Francisco County(7)",06075,124 ,119.5, 128.6,27 , 14 , 36,617,stable,-0.2 ,-0.4, 0.1
"Alameda County(7)",06001,122.6 ,119.4, 125.8,28 , 19 , 35,1185,falling,-0.4 ,-0.6, -0.1
"Stanislaus County(7)",06099,122.5 ,116.8, 128.4,29 , 13 , 39,359,stable,0.1 ,-0.5, 0.7
"Lake County(7)",06033,121.5 ,106.5, 138.1,30 , 2 , 51,57,stable,1.5 ,0.0, 3.2
"Los Angeles County(7)",06037,119.2 ,118, 120.5,31 , 26 , 38,6867,stable,0.1 ,-0.2, 0.4
"Monterey County(7)",06053,118.2 ,111.8, 124.9,32 , 19 , 45,265,stable,0.0 ,-0.7, 0.6
"Sutter County(7)",06101,117.8 ,105.1, 131.7,33 , 7 , 50,66,stable,-0.2 ,-1.9, 1.5
"San Joaquin County(7)",06077,116.5 ,111.7, 121.5,34 , 24 , 44,460,stable,-0.1 ,-0.7, 0.4
"Mendocino County(7)",06045,115.4 ,102.8, 129.2,35 , 9 , 52,72,stable,-1.1 ,-2.2, 0.1
"Kern County(7)",06029,114.7 ,110.1, 119.5,36 , 27 , 45,476,stable,-0.2 ,-0.8, 0.3
"Calaveras County(7)",06009,113.6 ,97, 132.6,37 , 5 , 54,44,falling,-1.5 ,-2.8, -0.2
