Incidence Rate Report for California by County

"Cervix (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,7.4 ,7.2, 7.6,N/A , 21 , 32,1499,falling,-1.1 ,-1.5, -0.6
"US (SEER+NPCR)(1)",00000,7.7 ,7.6, 7.8,N/A , N/A , N/A,13000,stable,-0.9 ,-2.5, 0.7
"Lake County(7)",06033,12 ,7.1, 19.1,1 , 1 , 39,4,stable,46.2 ,-5.7, 126.6
"Tulare County(7)",06107,11.1 ,9.1, 13.3,2 , 1 , 16,23,stable,-0.3 ,-2.3, 1.7
"Yuba County(7)",06115,10.7 ,6.3, 16.9,3 , 1 , 40,4,*,*,*,*
"Kings County(7)",06031,10 ,6.7, 14.4,4 , 1 , 38,6,stable,0.1 ,-2.8, 3.1
"Merced County(7)",06047,9.9 ,7.5, 12.9,5 , 1 , 32,12,stable,1.1 ,-1.1, 3.4
"Shasta County(7)",06089,9.8 ,6.9, 13.3,6 , 1 , 35,9,stable,1.0 ,-2.6, 4.7
"Mendocino County(7)",06045,9.7 ,5.9, 15.1,7 , 1 , 40,4,stable,1.9 ,-1.9, 5.8
"Humboldt County(7)",06023,9.7 ,6.6, 13.8,8 , 1 , 36,7,stable,-1.4 ,-4.2, 1.6
"Monterey County(7)",06053,9.5 ,7.6, 11.6,9 , 1 , 29,19,stable,0.2 ,-1.6, 2.1
"San Bernardino County(7)",06071,9.4 ,8.6, 10.3,10 , 3 , 17,97,stable,-0.1 ,-1.2, 0.9
"Yolo County(7)",06113,9.3 ,6.7, 12.5,11 , 1 , 36,9,stable,1.0 ,-1.6, 3.7
"Madera County(7)",06039,9.3 ,6.4, 13,12 , 1 , 39,7,falling,-2.7 ,-5.1, -0.1
"Kern County(7)",06029,9 ,7.7, 10.5,13 , 3 , 25,36,falling,-1.6 ,-3.0, -0.3
"Fresno County(7)",06019,8.9 ,7.6, 10.2,14 , 3 , 26,39,stable,-1.2 ,-2.8, 0.4
"Butte County(7)",06007,8.3 ,5.9, 11.2,15 , 1 , 39,9,stable,0.6 ,-2.5, 3.7
"Stanislaus County(7)",06099,8.3 ,6.8, 10,16 , 3 , 33,22,stable,-0.1 ,-2.1, 2.0
"Imperial County(7)",06025,8.2 ,5.6, 11.5,17 , 1 , 40,7,falling,-3.2 ,-5.9, -0.4
"Los Angeles County(7)",06037,7.8 ,7.5, 8.2,18 , 12 , 25,419,stable,0.5 ,-3.0, 4.0
