Incidence Rate Report for California by County

"Colon & Rectum (All Stages^), 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,34.5 ,34.2, 34.7,N/A , 36 , 44,14858,falling,-1.3 ,-1.7, -0.9
"US (SEER+NPCR)(1)",00000,37.7 ,37.6, 37.7,N/A , N/A , N/A,143166,falling,-1.7 ,-2.0, -1.3
"Glenn County(7)",06021,44.6 ,35, 56.2,1 , 1 , 50,15,stable,-0.3 ,-2.9, 2.4
"Colusa County(7)",06011,42.6 ,30.9, 57.3,2 , 1 , 55,9,stable,-0.2 ,-2.7, 2.4
"Amador County(7)",06005,41.2 ,34.2, 49.5,3 , 1 , 48,28,falling,-1.7 ,-3.2, -0.2
"Yuba County(7)",06115,41 ,34.5, 48.3,4 , 1 , 47,30,falling,-1.6 ,-2.9, -0.2
"Merced County(7)",06047,39.9 ,36.3, 43.6,5 , 1 , 30,97,falling,-1.5 ,-2.4, -0.6
"Mendocino County(7)",06045,38.6 ,33.7, 44.2,6 , 1 , 48,50,stable,-1.2 ,-2.5, 0.1
"Solano County(7)",06095,38.4 ,35.9, 40.9,7 , 2 , 28,195,stable,0.7 ,-2.1, 3.7
"Inyo County(7)",06027,38.2 ,27.8, 51.6,8 , 1 , 55,10,stable,-2.4 ,-5.0, 0.1
"San Joaquin County(7)",06077,37.9 ,35.9, 39.9,9 , 3 , 26,284,falling,-1.1 ,-1.8, -0.4
"Stanislaus County(7)",06099,37.8 ,35.5, 40.2,10 , 3 , 31,209,falling,-1.8 ,-2.4, -1.2
"Lake County(7)",06033,37.3 ,31.6, 43.7,11 , 1 , 51,36,stable,-1.4 ,-3.0, 0.2
"Tehama County(7)",06103,37.2 ,31.4, 43.8,12 , 1 , 52,32,falling,-2.8 ,-3.9, -1.7
"Butte County(7)",06007,37 ,33.7, 40.5,13 , 2 , 43,103,falling,-1.2 ,-2.1, -0.4
"San Bernardino County(7)",06071,37 ,35.8, 38.2,14 , 6 , 26,753,falling,-1.9 ,-2.3, -1.5
"Sacramento County(7)",06067,36.9 ,35.6, 38.3,15 , 5 , 27,611,falling,-2.4 ,-3.2, -1.7
"Shasta County(7)",06089,36.8 ,33.3, 40.6,16 , 2 , 47,91,stable,-0.1 ,-1.8, 1.7
"Imperial County(7)",06025,36.6 ,32.7, 40.8,17 , 2 , 49,66,falling,-1.6 ,-2.8, -0.3
"Madera County(7)",06039,35.7 ,31.6, 40.2,18 , 3 , 51,58,stable,7.5 ,-8.8, 26.7
"Tulare County(7)",06107,35.7 ,33.1, 38.4,19 , 5 , 45,149,falling,-1.9 ,-2.8, -1.1
"Riverside County(7)",06065,35.6 ,34.6, 36.7,20 , 11 , 33,932,falling,-1.8 ,-2.1, -1.5
"Los Angeles County(7)",06037,35.3 ,34.8, 35.8,21 , 15 , 31,3822,falling,-1.0 ,-1.7, -0.3
"Contra Costa County(7)",06013,35.2 ,33.8, 36.7,22 , 10 , 38,474,falling,-3.0 ,-3.8, -2.3
"Mariposa County(7)",06043,34.8 ,25.9, 46.7,23 , 1 , 55,11,stable,-2.1 ,-4.5, 0.3
"San Benito County(7)",06069,34.6 ,28.1, 42.2,24 , 1 , 55,21,stable,-1.0 ,-3.3, 1.4
"Humboldt County(7)",06023,34.4 ,30.4, 38.8,25 , 4 , 53,58,falling,-3.0 ,-4.1, -1.8
"Ventura County(7)",06111,34.4 ,32.7, 36.1,26 , 13 , 45,339,stable,0.1 ,-1.7, 1.9
"Santa Barbara County(7)",06083,34.4 ,32, 36.8,27 , 9 , 49,168,falling,-1.3 ,-2.1, -0.5
"Sonoma County(7)",06097,34.2 ,32.2, 36.4,28 , 11 , 48,227,falling,-2.7 ,-3.2, -2.2
"Placer County(7)",06061,34.2 ,31.9, 36.6,29 , 11 , 50,177,falling,-1.9 ,-2.5, -1.3
"Yolo County(7)",06113,34.2 ,30.6, 38,30 , 5 , 52,69,falling,-1.9 ,-3.0, -0.7
"Santa Cruz County(7)",06087,34.1 ,31.2, 37.2,31 , 7 , 51,110,falling,-2.0 ,-3.1, -0.9
"San Diego County(7)",06073,34 ,33.2, 34.9,32 , 20 , 41,1216,falling,-2.0 ,-2.3, -1.7
"El Dorado County(7)",06017,33.9 ,30.7, 37.3,33 , 7 , 52,92,falling,-1.7 ,-2.7, -0.6
"Del Norte County(7)",06015,33.9 ,25.4, 44.3,34 , 1 , 55,12,falling,-2.9 ,-5.6, -0.2
"Sutter County(7)",06101,33.8 ,28.9, 39.2,35 , 3 , 54,36,stable,2.2 ,-1.0, 5.4
"Fresno County(7)",06019,33.7 ,32, 35.4,36 , 16 , 48,314,falling,-2.1 ,-2.6, -1.6
"Kern County(7)",06029,33.3 ,31.5, 35.1,37 , 18 , 50,266,falling,-2.4 ,-3.2, -1.7
"Modoc County(7)",06049,33.1 ,21.2, 51,38 , 1 , 56,5,stable,-2.0 ,-4.5, 0.5
"Alameda County(7)",06001,32.6 ,31.4, 33.8,39 , 26 , 49,591,falling,-1.6 ,-2.7, -0.5
"Marin County(7)",06041,32.6 ,30, 35.4,40 , 14 , 53,125,falling,-2.2 ,-2.7, -1.7
"Calaveras County(7)",06009,32.5 ,26.8, 39.3,41 , 3 , 55,26,stable,5.8 ,-6.6, 19.8
"Monterey County(7)",06053,32.5 ,30.1, 35,42 , 17 , 53,144,stable,1.3 ,-1.7, 4.4
"San Francisco County(7)",06075,32.4 ,30.9, 34.1,43 , 23 , 51,336,falling,-4.0 ,-5.0, -2.9
"San Luis Obispo County(7)",06079,32.4 ,29.8, 35.2,44 , 15 , 53,124,falling,-2.5 ,-3.2, -1.9
"Orange County(7)",06059,32.2 ,31.4, 33,45 , 32 , 50,1157,falling,-2.4 ,-2.8, -2.1
"Santa Clara County(7)",06085,32.1 ,31, 33.2,46 , 30 , 51,672,falling,-2.4 ,-2.7, -2.1
"Napa County(7)",06055,31.9 ,28.2, 35.9,47 , 10 , 54,59,falling,-3.6 ,-4.4, -2.7
"Siskiyou County(7)",06093,31.7 ,25.6, 39,48 , 3 , 55,22,falling,-2.8 ,-3.8, -1.8
"San Mateo County(7)",06081,30.8 ,29.2, 32.5,49 , 34 , 54,287,stable,-1.3 ,-4.1, 1.5
"Plumas County(7)",06063,30.3 ,21.9, 41.6,50 , 1 , 56,10,stable,-1.7 ,-4.2, 0.7
