Incidence Rate Report for California by County

"Esophagus (All Stages^), 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,3.5 ,3.4, 3.6,N/A , 46 , 50,1538,falling,-1.1 ,-1.4, -0.8
"US (SEER+NPCR)(1)",00000,4.6 ,4.5, 4.6,N/A , N/A , N/A,18157,stable,-0.2 ,-0.6, 0.1
"Lake County(7)",06033,6.9 ,4.6, 10.1,1 , 1 , 36,7,stable,2.0 ,-1.6, 5.7
"Tehama County(7)",06103,6.7 ,4.5, 9.7,2 , 1 , 38,6,stable,0.7 ,-2.9, 4.5
"Yuba County(7)",06115,6.6 ,4.2, 9.9,3 , 1 , 41,5,*,*,*,*
"Amador County(7)",06005,6.6 ,4.2, 10.5,4 , 1 , 42,5,*,*,*,*
"Tuolumne County(7)",06109,5.8 ,3.8, 8.9,5 , 1 , 44,6,stable,0.5 ,-3.2, 4.3
"Siskiyou County(7)",06093,5.8 ,3.4, 9.4,6 , 1 , 45,4,*,*,*,*
"Sutter County(7)",06101,5.5 ,3.7, 7.8,7 , 1 , 44,6,stable,-0.1 ,-3.1, 3.1
"Nevada County(7)",06057,5.4 ,4, 7.3,8 , 1 , 39,11,stable,0.5 ,-2.2, 3.4
"Butte County(7)",06007,5 ,3.8, 6.3,9 , 2 , 40,14,falling,-2.0 ,-3.4, -0.5
"El Dorado County(7)",06017,4.9 ,3.8, 6.3,10 , 2 , 40,15,stable,1.6 ,-0.4, 3.7
"Shasta County(7)",06089,4.9 ,3.8, 6.2,11 , 2 , 40,14,stable,-0.6 ,-2.8, 1.7
"Sonoma County(7)",06097,4.7 ,4, 5.5,12 , 4 , 31,34,stable,0.2 ,-0.8, 1.3
"Kings County(7)",06031,4.7 ,3.2, 6.7,13 , 1 , 45,6,stable,-0.3 ,-4.1, 3.8
"Monterey County(7)",06053,4.7 ,3.8, 5.7,14 , 3 , 38,21,stable,-0.5 ,-2.5, 1.4
"Humboldt County(7)",06023,4.5 ,3.1, 6.2,15 , 2 , 45,8,stable,-0.4 ,-3.4, 2.7
"Napa County(7)",06055,4.4 ,3.2, 6,16 , 3 , 44,9,stable,-2.0 ,-4.4, 0.3
"Placer County(7)",06061,4.3 ,3.5, 5.2,17 , 6 , 40,24,stable,0.7 ,-1.7, 3.1
"Santa Barbara County(7)",06083,4.3 ,3.5, 5.2,18 , 6 , 42,22,stable,0.6 ,-0.8, 1.9
"Madera County(7)",06039,4.3 ,3, 5.9,19 , 3 , 45,7,stable,0.4 ,-3.0, 4.0
