Incidence Rate Report for California by County

"Liver & Bile Duct (All Stages^), 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,9.8 ,9.7, 9.9,N/A , 4 , 8,4461,falling,-1.5 ,-2.8, -0.2
"US (SEER+NPCR)(1)",00000,8.6 ,8.6, 8.7,N/A , N/A , N/A,35262,falling,-0.9 ,-1.5, -0.4
"Imperial County(7)",06025,17 ,14.4, 19.9,1 , 1 , 7,32,rising,4.0 ,1.5, 6.5
"Amador County(7)",06005,15.8 ,11.8, 21.1,2 , 1 , 24,11,rising,4.7 ,1.2, 8.3
"San Francisco County(7)",06075,14.4 ,13.4, 15.5,3 , 1 , 8,154,falling,-13.5 ,-21.3, -5.1
"Sutter County(7)",06101,14 ,11.1, 17.5,4 , 1 , 26,16,rising,8.0 ,5.3, 10.8
"Fresno County(7)",06019,13.1 ,12.1, 14.2,5 , 2 , 13,129,rising,2.4 ,1.4, 3.5
"San Joaquin County(7)",06077,12.4 ,11.3, 13.6,6 , 3 , 17,99,rising,4.1 ,2.5, 5.7
"Lake County(7)",06033,12.4 ,9.5, 16.1,7 , 1 , 40,14,rising,17.8 ,8.5, 27.9
"Merced County(7)",06047,12.3 ,10.4, 14.4,8 , 2 , 28,32,rising,3.5 ,1.9, 5.0
"Kings County(7)",06031,12.2 ,9.7, 15.1,9 , 1 , 38,17,rising,3.1 ,0.2, 6.1
"Solano County(7)",06095,11.6 ,10.3, 13,10 , 4 , 25,67,rising,4.1 ,2.4, 5.8
"Yuba County(7)",06115,11.5 ,8.5, 15.3,11 , 1 , 44,10,stable,2.6 ,-0.1, 5.4
"Sacramento County(7)",06067,11.5 ,10.8, 12.3,12 , 6 , 19,204,rising,2.5 ,1.4, 3.7
"Madera County(7)",06039,11.5 ,9.3, 14,13 , 2 , 39,20,rising,4.3 ,1.3, 7.4
"Mariposa County(7)",06043,11 ,5.8, 19.8,14 , 1 , 49,3,*,*,*,*
"Humboldt County(7)",06023,11 ,8.9, 13.5,15 , 3 , 40,21,rising,4.0 ,1.3, 6.7
"San Bernardino County(7)",06071,10.7 ,10, 11.3,16 , 10 , 26,229,stable,-3.0 ,-8.6, 2.9
"Kern County(7)",06029,10.6 ,9.7, 11.7,17 , 8 , 30,90,rising,4.1 ,2.6, 5.6
"Santa Clara County(7)",06085,10.5 ,9.9, 11.1,18 , 10 , 27,226,stable,-1.4 ,-3.0, 0.2
"San Diego County(7)",06073,10.3 ,9.8, 10.7,19 , 13 , 28,388,rising,1.2 ,0.5, 1.8
"Stanislaus County(7)",06099,10.2 ,9.1, 11.5,20 , 9 , 37,61,rising,4.1 ,2.2, 5.9
"Yolo County(7)",06113,9.9 ,8.1, 11.9,21 , 6 , 44,22,stable,2.6 ,-0.2, 5.5
"Alameda County(7)",06001,9.8 ,9.2, 10.5,22 , 14 , 35,185,stable,-2.1 ,-4.3, 0.1
"Monterey County(7)",06053,9.8 ,8.5, 11.1,23 , 9 , 41,47,stable,-3.6 ,-8.0, 1.0
"Napa County(7)",06055,9.8 ,7.9, 12,24 , 7 , 45,19,rising,3.4 ,0.8, 6.1
"Santa Barbara County(7)",06083,9.7 ,8.5, 11,25 , 10 , 41,50,rising,3.2 ,2.0, 4.5
"Tehama County(7)",06103,9.5 ,6.8, 13.1,26 , 4 , 49,9,stable,3.3 ,-0.3, 7.0
"Lassen County(7)",06035,9.5 ,5.6, 15.3,27 , 1 , 49,4,*,*,*,*
"Mendocino County(7)",06045,9.5 ,7.2, 12.2,28 , 5 , 47,13,stable,0.4 ,-2.8, 3.7
"Los Angeles County(7)",06037,9.4 ,9.1, 9.6,29 , 21 , 34,1044,falling,-1.6 ,-2.7, -0.5
"Tulare County(7)",06107,9.2 ,8, 10.6,30 , 12 , 43,41,rising,2.3 ,0.8, 3.8
"Riverside County(7)",06065,9 ,8.5, 9.6,31 , 22 , 40,252,rising,3.0 ,2.1, 3.9
"San Mateo County(7)",06081,9 ,8.2, 9.9,32 , 19 , 42,89,falling,-1.5 ,-2.8, -0.1
"Sonoma County(7)",06097,8.8 ,7.9, 9.9,33 , 18 , 43,65,rising,2.2 ,1.0, 3.4
"Orange County(7)",06059,8.8 ,8.4, 9.3,34 , 25 , 41,332,rising,1.5 ,0.7, 2.3
"San Benito County(7)",06069,8.7 ,5.9, 12.5,35 , 5 , 49,6,*,*,*,*
"Ventura County(7)",06111,8.6 ,7.8, 9.5,36 , 22 , 43,91,rising,3.9 ,2.2, 5.5
"Contra Costa County(7)",06013,8.6 ,7.9, 9.3,37 , 23 , 43,124,stable,-1.3 ,-5.4, 3.0
"Shasta County(7)",06089,8.6 ,7, 10.3,38 , 14 , 47,24,stable,-8.8 ,-18.6, 2.1
"Del Norte County(7)",06015,8.3 ,4.9, 13.7,39 , 2 , 49,4,falling,-3.6 ,-6.3, -0.8
"Butte County(7)",06007,8.1 ,6.7, 9.7,40 , 19 , 48,26,rising,3.1 ,0.4, 5.9
"Santa Cruz County(7)",06087,8 ,6.7, 9.6,41 , 19 , 48,28,rising,2.7 ,0.3, 5.2
"San Luis Obispo County(7)",06079,7.7 ,6.5, 9,42 , 24 , 48,32,stable,1.9 ,-0.1, 3.9
"Tuolumne County(7)",06109,7.1 ,4.9, 10.1,43 , 17 , 49,8,stable,0.8 ,-2.3, 4.1
"Calaveras County(7)",06009,7 ,4.7, 10.5,44 , 13 , 49,7,*,*,*,*
"Marin County(7)",06041,7 ,5.9, 8.2,45 , 33 , 49,30,rising,1.6 ,0.3, 2.9
"El Dorado County(7)",06017,6.8 ,5.5, 8.3,46 , 32 , 49,21,rising,2.9 ,0.5, 5.4
"Placer County(7)",06061,6.5 ,5.6, 7.6,47 , 38 , 49,37,stable,-2.5 ,-7.2, 2.5
"Siskiyou County(7)",06093,6.4 ,4, 10.1,48 , 14 , 49,5,stable,1.0 ,-3.5, 5.6
"Nevada County(7)",06057,5.6 ,4.2, 7.5,49 , 37 , 49,11,stable,-0.9 ,-3.2, 1.5
"Alpine County(7)",06003,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Colusa County(7)",06011,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Glenn County(7)",06021,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Inyo County(7)",06027,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Modoc County(7)",06049,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Mono County(7)",06051,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Plumas County(7)",06063,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Sierra County(7)",06091,* ,*, *,* , * , *,3 or fewer,*,*,*,*
"Trinity County(7)",06105,* ,*, *,* , * , *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 01/16/2023 11:01 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

