Incidence Rate Report for California by County

"Lung & Bronchus (All Stages^), 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,39.4 ,39.1, 39.6,N/A , 46 , 48,17021,falling,-3.0 ,-3.2, -2.7
"US (SEER+NPCR)(1)",00000,56.3 ,56.2, 56.4,N/A , N/A , N/A,223216,falling,-2.6 ,-3.5, -1.8
"Yuba County(7)",06115,72.7 ,64.1, 82.1,1 , 1 , 4,55,falling,-2.4 ,-3.8, -1.0
"Lake County(7)",06033,66.7 ,59.7, 74.4,2 , 1 , 6,72,falling,-2.7 ,-3.6, -1.9
"Shasta County(7)",06089,59.7 ,55.6, 64.1,3 , 2 , 9,165,falling,-2.3 ,-3.1, -1.6
"Trinity County(7)",06105,59.7 ,46.4, 77,4 , 1 , 37,15,falling,-3.3 ,-5.7, -0.9
"Glenn County(7)",06021,54.4 ,43.7, 67.1,5 , 1 , 42,18,stable,-1.0 ,-3.1, 1.1
"Tehama County(7)",06103,54.4 ,47.8, 61.6,6 , 2 , 22,51,falling,-4.0 ,-5.2, -2.9
"Butte County(7)",06007,54.1 ,50.4, 58,7 , 3 , 16,167,falling,-2.4 ,-2.9, -1.9
"Del Norte County(7)",06015,54 ,43.9, 66,8 , 1 , 41,21,falling,-2.3 ,-4.2, -0.4
"Humboldt County(7)",06023,52.5 ,47.7, 57.7,9 , 3 , 22,94,falling,-2.5 ,-3.4, -1.7
"Amador County(7)",06005,51.4 ,44.3, 59.8,10 , 3 , 31,39,falling,-1.7 ,-2.8, -0.7
"Sutter County(7)",06101,51 ,45.3, 57.3,11 , 3 , 25,59,falling,-2.2 ,-2.8, -1.5
"Siskiyou County(7)",06093,50.1 ,43, 58.3,12 , 3 , 38,38,falling,-2.6 ,-3.9, -1.3
"Tuolumne County(7)",06109,49.4 ,43.3, 56.4,13 , 4 , 32,50,falling,-3.4 ,-4.6, -2.1
"Sacramento County(7)",06067,49.3 ,47.7, 50.8,14 , 8 , 20,816,falling,-2.2 ,-2.5, -1.9
"Colusa County(7)",06011,49.2 ,37.1, 64.1,15 , 1 , 55,11,stable,-1.8 ,-4.5, 0.9
"Solano County(7)",06095,48.9 ,46.2, 51.7,16 , 7 , 22,257,falling,-2.2 ,-2.8, -1.6
"Stanislaus County(7)",06099,48.5 ,45.9, 51.2,17 , 7 , 23,268,falling,-2.1 ,-2.7, -1.5
"Calaveras County(7)",06009,47 ,40.6, 54.4,18 , 4 , 46,42,falling,-1.9 ,-2.9, -0.8
"San Joaquin County(7)",06077,45.9 ,43.7, 48.2,19 , 12 , 26,343,falling,-2.8 ,-3.4, -2.3
"Plumas County(7)",06063,45.8 ,36.4, 57.8,20 , 3 , 55,18,falling,-4.4 ,-6.2, -2.5
"Kern County(7)",06029,44.7 ,42.5, 46.9,21 , 15 , 29,346,falling,-2.8 ,-3.3, -2.4
"Mendocino County(7)",06045,44.2 ,39.1, 49.8,22 , 9 , 46,60,falling,-3.0 ,-4.1, -1.9
