Incidence Rate Report for California by County

"Non-Hodgkin Lymphoma (All Stages^), 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,18 ,17.8, 18.2,N/A , 26 , 37,7721,falling,-1.7 ,-2.5, -0.8
"US (SEER+NPCR)(1)",00000,19 ,18.9, 19,N/A , N/A , N/A,71841,falling,-1.8 ,-2.4, -1.3
"Glenn County(7)",06021,28.5 ,20.7, 38.3,1 , 1 , 39,9,stable,1.0 ,-2.1, 4.1
"Santa Cruz County(7)",06087,23 ,20.6, 25.6,2 , 1 , 16,74,stable,0.2 ,-0.7, 1.2
"Marin County(7)",06041,22 ,19.8, 24.3,3 , 1 , 20,85,stable,0.2 ,-0.4, 0.8
"Del Norte County(7)",06015,20.3 ,14.1, 28.6,4 , 1 , 52,7,stable,-2.0 ,-5.4, 1.5
"Butte County(7)",06007,20.3 ,17.9, 22.9,5 , 1 , 39,56,stable,-0.1 ,-1.4, 1.3
"Santa Clara County(7)",06085,20 ,19.1, 20.9,6 , 3 , 22,413,stable,-0.3 ,-0.8, 0.2
"Yuba County(7)",06115,19.9 ,15.5, 25.1,7 , 1 , 50,15,stable,-0.5 ,-2.4, 1.5
"Contra Costa County(7)",06013,19.7 ,18.6, 20.8,8 , 4 , 27,265,stable,0.0 ,-0.5, 0.5
"San Mateo County(7)",06081,19.6 ,18.4, 21,9 , 3 , 30,182,stable,-0.2 ,-0.6, 0.2
"Humboldt County(7)",06023,19.5 ,16.5, 23,10 , 1 , 46,32,stable,-0.9 ,-2.0, 0.1
"Orange County(7)",06059,19.4 ,18.8, 20.1,11 , 6 , 25,691,stable,0.1 ,-0.3, 0.4
"Monterey County(7)",06053,19.4 ,17.6, 21.4,12 , 3 , 38,85,stable,0.2 ,-0.8, 1.2
"Shasta County(7)",06089,19.4 ,16.9, 22.2,13 , 2 , 44,49,stable,-0.4 ,-1.5, 0.7
"San Luis Obispo County(7)",06079,19.4 ,17.4, 21.6,14 , 2 , 41,75,stable,-0.2 ,-1.7, 1.3
"Mendocino County(7)",06045,19.3 ,15.7, 23.5,15 , 1 , 48,23,stable,0.2 ,-1.4, 1.8
"Santa Barbara County(7)",06083,19.2 ,17.4, 21,16 , 3 , 39,95,stable,-0.3 ,-1.1, 0.5
"Yolo County(7)",06113,19 ,16.4, 21.9,17 , 2 , 46,39,stable,-0.6 ,-2.4, 1.2
"Tehama County(7)",06103,18.8 ,14.9, 23.5,18 , 1 , 50,17,falling,-2.2 ,-3.9, -0.5
"Alameda County(7)",06001,18.8 ,17.9, 19.7,19 , 7 , 33,334,stable,-0.2 ,-0.6, 0.1
"Placer County(7)",06061,18.8 ,17.1, 20.6,20 , 4 , 41,99,stable,-3.6 ,-7.5, 0.5
"Solano County(7)",06095,18.6 ,16.9, 20.4,21 , 4 , 42,95,stable,-0.5 ,-1.4, 0.5
"San Diego County(7)",06073,18.6 ,18, 19.2,22 , 10 , 32,661,falling,-0.9 ,-1.3, -0.4
"Madera County(7)",06039,18.6 ,15.7, 21.8,23 , 2 , 48,30,stable,0.5 ,-0.7, 1.8
"Amador County(7)",06005,18.5 ,13.8, 24.6,24 , 1 , 52,12,stable,-0.1 ,-2.9, 2.8
"Sutter County(7)",06101,18.3 ,14.9, 22.4,25 , 2 , 50,20,stable,0.1 ,-1.4, 1.7
"San Joaquin County(7)",06077,18 ,16.7, 19.5,26 , 7 , 42,134,stable,0.2 ,-0.6, 1.0
"Fresno County(7)",06019,18 ,16.7, 19.2,27 , 9 , 42,167,stable,-0.3 ,-1.1, 0.5
"San Francisco County(7)",06075,17.9 ,16.8, 19.1,28 , 10 , 41,186,falling,-1.6 ,-2.4, -0.8
"Sonoma County(7)",06097,17.8 ,16.4, 19.4,29 , 8 , 45,122,falling,-1.0 ,-1.8, -0.2
"Ventura County(7)",06111,17.7 ,16.5, 18.9,30 , 12 , 43,175,stable,-0.5 ,-1.2, 0.1
