Incidence Rate Report for California by County

"Oral Cavity & Pharynx (All Stages^), 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,10.2 ,10.1, 10.4,N/A , 45 , 48,4518,falling,-0.4 ,-0.7, -0.2
"US (SEER+NPCR)(1)",00000,12 ,11.9, 12,N/A , N/A , N/A,46911,stable,-0.5 ,-1.2, 0.3
"Inyo County(7)",06027,18.7 ,11.7, 28.8,1 , 1 , 52,5,*,*,*,*
"Colusa County(7)",06011,17.2 ,10.5, 26.7,2 , 1 , 53,4,*,*,*,*
"Humboldt County(7)",06023,16.4 ,13.7, 19.5,3 , 1 , 19,28,rising,2.1 ,0.5, 3.7
"Lake County(7)",06033,15.4 ,11.9, 19.7,4 , 1 , 39,15,stable,2.2 ,-0.3, 4.9
"Tehama County(7)",06103,15.2 ,11.7, 19.5,5 , 1 , 40,14,stable,2.6 ,-0.2, 5.6
"Shasta County(7)",06089,15.1 ,13, 17.5,6 , 1 , 22,40,stable,1.4 ,-0.5, 3.4
"Trinity County(7)",06105,14.4 ,8.7, 24.5,7 , 1 , 54,4,*,*,*,*
"Plumas County(7)",06063,14.2 ,8, 23.9,8 , 1 , 54,4,*,*,*,*
"Placer County(7)",06061,13.8 ,12.4, 15.4,9 , 3 , 24,73,rising,2.3 ,1.1, 3.4
"El Dorado County(7)",06017,13.4 ,11.5, 15.6,10 , 3 , 35,38,stable,-0.1 ,-1.7, 1.4
"Tuolumne County(7)",06109,13.3 ,10.1, 17.3,11 , 1 , 51,13,stable,-1.1 ,-3.0, 0.9
"Yuba County(7)",06115,13.2 ,9.8, 17.5,12 , 1 , 51,10,stable,0.6 ,-2.5, 3.8
"Siskiyou County(7)",06093,13.2 ,9.8, 17.7,13 , 1 , 52,11,stable,-0.1 ,-2.6, 2.4
"Calaveras County(7)",06009,13.2 ,9.3, 18.3,14 , 1 , 53,10,stable,-1.4 ,-5.4, 2.7
"Glenn County(7)",06021,13.1 ,8.4, 19.9,15 , 1 , 54,5,stable,0.2 ,-2.5, 3.0
"Butte County(7)",06007,12.9 ,11, 15,16 , 4 , 39,38,stable,0.5 ,-0.6, 1.6
"Lassen County(7)",06035,12.8 ,8.1, 19.4,17 , 1 , 54,5,*,*,*,*
"San Francisco County(7)",06075,12.7 ,11.7, 13.7,18 , 7 , 28,131,falling,-0.9 ,-1.4, -0.5
"Santa Barbara County(7)",06083,12.6 ,11.2, 14.1,19 , 6 , 34,63,rising,1.7 ,0.2, 3.1
"Del Norte County(7)",06015,12.6 ,7.8, 19.4,20 , 1 , 54,5,stable,0.6 ,-3.1, 4.5
"San Luis Obispo County(7)",06079,12.4 ,10.8, 14.1,21 , 6 , 39,48,stable,1.0 ,-0.3, 2.3
"Ventura County(7)",06111,11.9 ,11, 12.9,22 , 11 , 35,123,rising,1.6 ,0.6, 2.5
"Nevada County(7)",06057,11.9 ,9.6, 14.7,23 , 4 , 51,22,stable,1.6 ,0.0, 3.3
"Sacramento County(7)",06067,11.8 ,11.1, 12.6,24 , 12 , 33,200,stable,0.5 ,-0.1, 1.1
"San Diego County(7)",06073,11.5 ,11, 12.1,25 , 16 , 33,421,stable,-0.3 ,-0.6, 0.0
"Amador County(7)",06005,11.5 ,7.7, 16.7,26 , 1 , 54,7,stable,-0.5 ,-3.0, 2.0
"San Joaquin County(7)",06077,11.5 ,10.4, 12.6,27 , 11 , 41,88,stable,0.3 ,-0.7, 1.3
"Mariposa County(7)",06043,11.5 ,7.1, 19,28 , 1 , 54,4,stable,-0.3 ,-3.3, 2.7
"Marin County(7)",06041,11.3 ,9.9, 12.9,29 , 10 , 46,47,stable,-0.6 ,-1.6, 0.4
"Santa Cruz County(7)",06087,11.2 ,9.6, 13,30 , 10 , 49,38,rising,1.4 ,0.2, 2.7
"Sonoma County(7)",06097,11 ,9.9, 12.2,31 , 14 , 46,78,stable,-0.8 ,-1.7, 0.2
"Stanislaus County(7)",06099,10.8 ,9.6, 12,32 , 15 , 48,62,stable,-0.1 ,-1.6, 1.4
"Orange County(7)",06059,10.6 ,10.1, 11.1,33 , 24 , 42,392,stable,-0.1 ,-0.5, 0.3
"Mendocino County(7)",06045,10.5 ,8, 13.6,34 , 6 , 54,13,stable,-0.6 ,-2.9, 1.7
"Contra Costa County(7)",06013,10.1 ,9.4, 10.9,35 , 25 , 48,141,falling,-0.7 ,-1.2, -0.2
"Kern County(7)",06029,10.1 ,9.2, 11.2,36 , 21 , 50,82,stable,-0.3 ,-1.5, 1.0
"Fresno County(7)",06019,10.1 ,9.2, 11.1,37 , 23 , 50,97,stable,0.6 ,-0.3, 1.4
"San Mateo County(7)",06081,10.1 ,9.2, 11,38 , 23 , 49,97,falling,-1.0 ,-1.6, -0.3
"Riverside County(7)",06065,10 ,9.5, 10.6,39 , 28 , 48,270,stable,-0.3 ,-0.9, 0.2
"Solano County(7)",06095,9.9 ,8.7, 11.2,40 , 20 , 52,53,stable,-0.9 ,-2.4, 0.6
"Yolo County(7)",06113,9.9 ,8, 12,41 , 13 , 54,21,stable,-1.5 ,-2.9, 0.0
"San Bernardino County(7)",06071,9.8 ,9.2, 10.4,42 , 29 , 50,208,stable,-0.5 ,-1.0, 0.0
"Madera County(7)",06039,9.8 ,7.7, 12.2,43 , 12 , 54,16,stable,0.6 ,-1.8, 3.0
"Alameda County(7)",06001,9.7 ,9.1, 10.4,44 , 29 , 50,179,falling,-0.8 ,-1.2, -0.4
"Napa County(7)",06055,9.7 ,7.8, 12,45 , 13 , 54,18,stable,-0.4 ,-2.3, 1.5
"Sutter County(7)",06101,9.7 ,7.3, 12.7,46 , 10 , 54,11,stable,0.4 ,-1.8, 2.6
"Kings County(7)",06031,9.5 ,7.3, 12.3,47 , 11 , 54,12,stable,1.4 ,-1.5, 4.4
"Merced County(7)",06047,9.5 ,7.8, 11.4,48 , 19 , 54,24,stable,0.3 ,-1.5, 2.2
"Santa Clara County(7)",06085,9 ,8.5, 9.7,49 , 37 , 53,190,stable,-0.2 ,-0.8, 0.4
"Monterey County(7)",06053,8.8 ,7.6, 10.1,50 , 30 , 54,40,stable,-0.7 ,-1.9, 0.5
"Tulare County(7)",06107,8.6 ,7.3, 9.9,51 , 32 , 54,37,stable,-0.6 ,-1.9, 0.7
"Los Angeles County(7)",06037,8.5 ,8.3, 8.8,52 , 45 , 54,940,falling,-1.6 ,-2.1, -1.1
"San Benito County(7)",06069,7.7 ,4.9, 11.4,53 , 15 , 54,5,stable,-1.0 ,-5.3, 3.4
