Incidence Rate Report for California by County

"Ovary (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,10.9 ,10.7, 11.1,N/A , 5 , 16,2455,falling,-3.1 ,-4.7, -1.4
"US (SEER+NPCR)(1)",00000,10.4 ,10.4, 10.5,N/A , N/A , N/A,20692,falling,-3.8 ,-4.6, -2.9
"Mendocino County(7)",06045,14.7 ,10.3, 20.3,1 , 1 , 40,9,stable,-2.5 ,-5.0, 0.1
"Kings County(7)",06031,14.2 ,10.3, 19,2 , 1 , 40,9,stable,1.6 ,-0.6, 3.8
"El Dorado County(7)",06017,14.1 ,11.1, 17.6,3 , 1 , 34,19,stable,-0.3 ,-2.4, 1.7
"Yuba County(7)",06115,13.4 ,8.5, 20.1,4 , 1 , 42,5,*,*,*,*
"Yolo County(7)",06113,12.7 ,9.8, 16.2,5 , 1 , 40,14,stable,-0.4 ,-2.4, 1.7
"Santa Cruz County(7)",06087,12.3 ,9.8, 15.1,6 , 1 , 40,19,stable,-0.7 ,-2.8, 1.5
"Nevada County(7)",06057,12 ,8.8, 16.3,7 , 1 , 42,11,stable,-1.0 ,-4.2, 2.2
"Shasta County(7)",06089,11.9 ,9.1, 15.4,8 , 1 , 42,14,stable,-0.7 ,-2.5, 1.1
"Alameda County(7)",06001,11.9 ,10.9, 13,9 , 3 , 27,114,falling,-0.8 ,-1.3, -0.3
"Santa Barbara County(7)",06083,11.8 ,9.9, 14,10 , 2 , 38,29,stable,-0.5 ,-2.1, 1.1
"San Bernardino County(7)",06071,11.7 ,10.8, 12.6,11 , 4 , 28,128,falling,-1.0 ,-1.6, -0.3
"San Benito County(7)",06069,11.6 ,6.9, 18.4,12 , 1 , 43,4,stable,-1.6 ,-6.0, 3.0
"Los Angeles County(7)",06037,11.4 ,11, 11.8,13 , 7 , 24,659,falling,-1.2 ,-1.5, -0.8
"Imperial County(7)",06025,11.4 ,8.4, 15.1,14 , 1 , 42,10,stable,0.3 ,-2.5, 3.2
"Humboldt County(7)",06023,11.4 ,8.2, 15.4,15 , 1 , 42,10,stable,-1.8 ,-4.1, 0.6
"Orange County(7)",06059,11.3 ,10.7, 12.1,16 , 6 , 29,214,falling,-1.2 ,-1.8, -0.7
"Kern County(7)",06029,11.3 ,9.9, 12.8,17 , 4 , 38,47,stable,-0.9 ,-1.9, 0.1
"Ventura County(7)",06111,11.2 ,9.9, 12.6,18 , 4 , 36,58,falling,-1.7 ,-2.8, -0.7
