Incidence Rate Report for California by County

"Pancreas (All Stages^), 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,12.2 ,12, 12.3,N/A , 37 , 46,5300,rising,0.6 ,0.4, 0.7
"US (SEER+NPCR)(1)",00000,13.2 ,13.2, 13.3,N/A , N/A , N/A,51851,stable,0.3 ,-0.7, 1.3
"Trinity County(7)",06105,14.5 ,8.4, 25.2,1 , 1 , 52,4,*,*,*,*
"Nevada County(7)",06057,14 ,11.4, 17,2 , 1 , 49,24,stable,0.6 ,-1.6, 2.9
"Shasta County(7)",06089,13.8 ,11.8, 16,3 , 1 , 47,37,rising,2.0 ,0.3, 3.6
"Tehama County(7)",06103,13.7 ,10.5, 17.6,4 , 1 , 51,13,stable,0.4 ,-1.7, 2.4
"Merced County(7)",06047,13.6 ,11.6, 15.9,5 , 1 , 47,33,stable,0.4 ,-0.6, 1.4
"Butte County(7)",06007,13.5 ,11.7, 15.6,6 , 1 , 47,41,stable,0.0 ,-1.2, 1.2
"Solano County(7)",06095,13.4 ,12, 14.9,7 , 1 , 44,72,stable,1.1 ,0.0, 2.2
"Sacramento County(7)",06067,13.2 ,12.4, 14,8 , 3 , 34,218,stable,0.2 ,-0.5, 1.0
"Sutter County(7)",06101,13.2 ,10.4, 16.5,9 , 1 , 51,15,stable,24.5 ,-6.8, 66.3
"Fresno County(7)",06019,13 ,12, 14.1,10 , 3 , 42,124,stable,0.5 ,-0.4, 1.4
"Del Norte County(7)",06015,13 ,8.2, 19.9,11 , 1 , 52,5,stable,0.5 ,-3.3, 4.6
"Napa County(7)",06055,13 ,10.8, 15.6,12 , 1 , 50,26,stable,0.0 ,-1.8, 1.9
"Lake County(7)",06033,12.9 ,9.9, 16.8,13 , 1 , 51,13,stable,-1.1 ,-3.7, 1.6
"Humboldt County(7)",06023,12.9 ,10.5, 15.6,14 , 1 , 50,23,stable,1.6 ,-1.1, 4.4
"Stanislaus County(7)",06099,12.8 ,11.5, 14.3,15 , 2 , 47,72,stable,1.2 ,-0.2, 2.7
"Placer County(7)",06061,12.8 ,11.5, 14.3,16 , 2 , 47,71,stable,0.1 ,-0.7, 1.0
"Kings County(7)",06031,12.8 ,10.1, 16,17 , 1 , 51,16,stable,0.2 ,-2.3, 2.8
"El Dorado County(7)",06017,12.8 ,10.9, 14.9,18 , 1 , 50,36,stable,-0.3 ,-2.1, 1.6
"Contra Costa County(7)",06013,12.7 ,11.9, 13.6,19 , 5 , 43,176,rising,0.6 ,0.1, 1.2
"Santa Barbara County(7)",06083,12.7 ,11.4, 14.2,20 , 2 , 48,65,stable,0.5 ,-0.7, 1.8
"Tuolumne County(7)",06109,12.7 ,9.7, 16.6,21 , 1 , 51,13,stable,1.7 ,-0.6, 4.0
"Yuba County(7)",06115,12.7 ,9.4, 16.8,22 , 1 , 52,11,stable,-0.3 ,-2.2, 1.8
"San Diego County(7)",06073,12.7 ,12.1, 13.2,23 , 8 , 37,455,rising,0.5 ,0.1, 0.9
"Santa Cruz County(7)",06087,12.6 ,10.9, 14.6,24 , 1 , 49,42,stable,0.9 ,-0.3, 2.1
"Madera County(7)",06039,12.6 ,10.3, 15.3,25 , 1 , 51,21,stable,1.6 ,-0.4, 3.7
"Mendocino County(7)",06045,12.4 ,9.8, 15.6,26 , 1 , 51,17,stable,-0.1 ,-2.6, 2.5
"San Luis Obispo County(7)",06079,12.4 ,10.9, 14.1,27 , 3 , 49,51,stable,0.6 ,-0.6, 1.8
