Incidence Rate Report for California by County

"Prostate (All Stages^), 2015-2019"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,95.2 ,94.6, 95.8,N/A , 43 , 47,20180,stable,1.5 ,-1.3, 4.3
"US (SEER+NPCR)(1)",00000,109.9 ,109.7, 110.2,N/A , N/A , N/A,211245,stable,1.9 ,-0.8, 4.6
"Glenn County(7)",06021,130.5 ,107.2, 157.7,1 , 1 , 24,23,stable,-2.4 ,-4.8, 0.0
"San Luis Obispo County(7)",06079,118.3 ,111.6, 125.4,2 , 1 , 9,242,stable,3.3 ,-2.0, 8.8
"Santa Barbara County(7)",06083,117.5 ,111.4, 123.9,3 , 1 , 9,284,rising,9.0 ,4.8, 13.3
"Santa Cruz County(7)",06087,113.2 ,105.9, 121,4 , 1 , 16,195,rising,12.1 ,3.7, 21.3
"Placer County(7)",06061,111.4 ,105.7, 117.3,5 , 1 , 15,293,falling,-3.0 ,-3.6, -2.4
"San Benito County(7)",06069,111.2 ,94.8, 129.7,6 , 1 , 39,35,falling,-2.5 ,-4.5, -0.5
"Butte County(7)",06007,110.2 ,102.6, 118.4,7 , 1 , 21,163,falling,-3.7 ,-4.8, -2.5
"Ventura County(7)",06111,109.6 ,105.5, 114,8 , 3 , 15,542,rising,6.7 ,1.1, 12.7
"San Bernardino County(7)",06071,107.1 ,104.1, 110.1,9 , 5 , 16,1076,stable,0.6 ,-3.9, 5.4
"Marin County(7)",06041,104.6 ,98.4, 111.3,10 , 4 , 26,214,rising,9.0 ,0.8, 17.8
"San Diego County(7)",06073,104.3 ,102.1, 106.5,11 , 8 , 19,1820,stable,3.1 ,-0.5, 6.9
"Amador County(7)",06005,103 ,88.8, 119.5,12 , 1 , 45,39,falling,-3.4 ,-5.2, -1.7
