Incidence Rate Report for California by County

"Uterus (Corpus & Uterus, NOS) (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,27 ,26.7, 27.3,N/A , 25 , 32,6336,rising,1.7 ,1.5, 1.9
"US (SEER+NPCR)(1)",00000,27.7 ,27.5, 27.8,N/A , N/A , N/A,57691,stable,0.5 ,-0.5, 1.5
"Glenn County(7)",06021,34.1 ,22.6, 49.8,1 , 1 , 50,6,stable,0.2 ,-3.2, 3.7
"Inyo County(7)",06027,33.3 ,19.6, 53.7,2 , 1 , 50,4,stable,2.0 ,-2.4, 6.6
"Solano County(7)",06095,31.4 ,28.5, 34.5,3 , 1 , 22,93,rising,1.8 ,0.5, 3.2
"Lassen County(7)",06035,30.6 ,19.2, 46.9,4 , 1 , 50,5,stable,0.5 ,-3.6, 4.6
"Yolo County(7)",06113,29.9 ,25.5, 34.8,5 , 1 , 42,35,rising,2.0 ,0.1, 4.0
"Sacramento County(7)",06067,29.7 ,28.2, 31.4,6 , 2 , 21,277,rising,2.4 ,1.6, 3.1
"San Bernardino County(7)",06071,29.5 ,28.1, 30.9,7 , 2 , 20,339,rising,2.2 ,1.7, 2.7
"Tuolumne County(7)",06109,29.1 ,21.9, 38.4,8 , 1 , 49,14,stable,1.5 ,-1.3, 4.2
"Santa Barbara County(7)",06083,29 ,26, 32.2,9 , 1 , 38,74,rising,2.2 ,1.1, 3.4
"Mendocino County(7)",06045,28.9 ,23, 35.9,10 , 1 , 48,20,rising,2.5 ,0.3, 4.8
"Kings County(7)",06031,28.4 ,22.8, 34.9,11 , 1 , 48,18,stable,1.8 ,-0.4, 4.0
"Alameda County(7)",06001,28.2 ,26.7, 29.8,12 , 4 , 30,284,rising,1.0 ,0.6, 1.3
"Shasta County(7)",06089,28.1 ,24.1, 32.7,13 , 1 , 45,39,stable,1.2 ,-0.6, 3.0
"Tehama County(7)",06103,27.9 ,21.3, 36.2,14 , 1 , 49,13,stable,1.6 ,-1.8, 5.1
