Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Brain and Other Nervous System,1999,6.6,2049,33499204
California,Brain and Other Nervous System,2000,6.2,1963,33987977
California,Brain and Other Nervous System,2001,6.2,2003,34479458
California,Brain and Other Nervous System,2002,6.4,2107,34871843
California,Brain and Other Nervous System,2003,6.5,2166,35253159
California,Brain and Other Nervous System,2004,6.4,2150,35574576
California,Brain and Other Nervous System,2005,6.3,2152,35827943
California,Brain and Other Nervous System,2006,6,2097,36021202
California,Brain and Other Nervous System,2007,6.4,2244,36250311
California,Brain and Other Nervous System,2008,6.2,2230,36604337
California,Brain and Other Nervous System,2009,6.4,2313,36961229
California,Brain and Other Nervous System,2010,6.2,2318,37319550
California,Brain and Other Nervous System,2011,6,2275,37636311
California,Brain and Other Nervous System,2012,6,2329,37944551
California,Brain and Other Nervous System,2013,6.2,2447,38253768
California,Brain and Other Nervous System,2014,6.1,2436,38586706
California,Brain and Other Nervous System,2015,6.1,2457,38904296
California,Brain and Other Nervous System,2016,5.8,2403,39149186
California,Brain and Other Nervous System,2017,5.9,2488,39337785
California,Brain and Other Nervous System,2018,5.7,2446,39437463
California,Brain and Other Nervous System,2019,5.6,2415,39437610
