Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Cervix,1999,10.4,1691,16800161
California,Cervix,2000,10,1673,17050415
California,Cervix,2001,9.1,1537,17294223
California,Cervix,2002,9.1,1558,17498462
California,Cervix,2003,8.3,1452,17709509
California,Cervix,2004,8.2,1449,17871415
California,Cervix,2005,8.6,1533,17996230
California,Cervix,2006,8.2,1475,18097471
California,Cervix,2007,8.3,1521,18214926
California,Cervix,2008,8.5,1566,18396972
California,Cervix,2009,7.8,1452,18583075
California,Cervix,2010,7.7,1456,18773276
California,Cervix,2011,7.3,1404,18941522
California,Cervix,2012,7.8,1501,19097277
California,Cervix,2013,7.2,1419,19257182
California,Cervix,2014,7.2,1427,19422017
California,Cervix,2015,7.3,1459,19575981
California,Cervix,2016,7.6,1535,19696031
California,Cervix,2017,7.4,1508,19783962
California,Cervix,2018,7.5,1540,19829641
California,Cervix,2019,7.1,1455,19829085
