Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Colon and Rectum,1999,50.8,14569,33499204
California,Colon and Rectum,2000,49.5,14529,33987977
California,Colon and Rectum,2001,48.7,14594,34479458
California,Colon and Rectum,2002,47.5,14549,34871843
California,Colon and Rectum,2003,47.2,14772,35253159
California,Colon and Rectum,2004,44.8,14313,35574576
California,Colon and Rectum,2005,44.9,14673,35827943
California,Colon and Rectum,2006,44.3,14708,36021202
California,Colon and Rectum,2007,44.5,15114,36250311
California,Colon and Rectum,2008,44.4,15415,36604337
California,Colon and Rectum,2009,42.2,15051,36961229
California,Colon and Rectum,2010,40.1,14723,37319550
California,Colon and Rectum,2011,38.3,14419,37636311
California,Colon and Rectum,2012,37.1,14290,37944551
California,Colon and Rectum,2013,35.9,14216,38253768
California,Colon and Rectum,2014,36.5,14826,38586706
California,Colon and Rectum,2015,35.8,14878,38904296
California,Colon and Rectum,2016,34.8,14776,39149186
California,Colon and Rectum,2017,34.1,14713,39337785
California,Colon and Rectum,2018,33.9,14904,39437463
California,Colon and Rectum,2019,33.8,15026,39437610
