Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Corpus and Uterus NOS,1999,22.6,3595,16800161
California,Corpus and Uterus NOS,2000,22.2,3616,17050415
California,Corpus and Uterus NOS,2001,23.1,3850,17294223
California,Corpus and Uterus NOS,2002,21.7,3703,17498462
California,Corpus and Uterus NOS,2003,21,3666,17709509
California,Corpus and Uterus NOS,2004,21.3,3800,17871415
California,Corpus and Uterus NOS,2005,22,3983,17996230
California,Corpus and Uterus NOS,2006,22.2,4106,18097471
California,Corpus and Uterus NOS,2007,22.7,4304,18214926
California,Corpus and Uterus NOS,2008,23.1,4473,18396972
California,Corpus and Uterus NOS,2009,23.8,4741,18583075
California,Corpus and Uterus NOS,2010,24.2,4929,18773276
California,Corpus and Uterus NOS,2011,24.5,5106,18941522
California,Corpus and Uterus NOS,2012,25.4,5408,19097277
California,Corpus and Uterus NOS,2013,24.5,5336,19257182
California,Corpus and Uterus NOS,2014,25.7,5731,19422017
California,Corpus and Uterus NOS,2015,26.3,5968,19575981
California,Corpus and Uterus NOS,2016,27,6246,19696031
California,Corpus and Uterus NOS,2017,26.9,6346,19783962
California,Corpus and Uterus NOS,2018,27.2,6486,19829641
California,Corpus and Uterus NOS,2019,27.7,6636,19829085
