Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
California,Esophagus,1999,4.5,1287,33499204
California,Esophagus,2000,4,1176,33987977
California,Esophagus,2001,4.4,1319,34479458
California,Esophagus,2002,4.2,1277,34871843
California,Esophagus,2003,3.9,1210,35253159
California,Esophagus,2004,4.2,1343,35574576
California,Esophagus,2005,4.1,1324,35827943
California,Esophagus,2006,3.9,1292,36021202
California,Esophagus,2007,3.8,1282,36250311
California,Esophagus,2008,3.9,1376,36604337
California,Esophagus,2009,4.1,1458,36961229
California,Esophagus,2010,3.8,1419,37319550
California,Esophagus,2011,3.9,1471,37636311
California,Esophagus,2012,3.8,1455,37944551
California,Esophagus,2013,3.5,1388,38253768
California,Esophagus,2014,3.6,1478,38586706
California,Esophagus,2015,3.6,1504,38904296
California,Esophagus,2016,3.5,1502,39149186
California,Esophagus,2017,3.4,1488,39337785
California,Esophagus,2018,3.5,1564,39437463
California,Esophagus,2019,3.5,1636,39437610
